LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv15_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14956977587163264035<CUDNN_BAT...,17.354539,205520896
resnetv15_relu0_fwd,Relu,ACTIVATION_FWD9583543823496601561<CUDNN_ACTIVATION_RE...,6.619657,308281344
resnetv15_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14639808687571574663<CUDNN_BAT...,4.349940,51380224
resnetv15_stage1_relu0_fwd,Relu,ACTIVATION_FWD9242866265924482173<CUDNN_ACTIVATION_RE...,1.669130,77070336
resnetv15_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14639808687571574663<CUDNN_BAT...,4.349940,51380224
resnetv15_stage1_activation0,Relu,ACTIVATION_FWD9242866265924482173<CUDNN_ACTIVATION_RE...,1.669130,77070336
resnetv15_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14639808687571574663<CUDNN_BAT...,4.349940,51380224
resnetv15_stage1_relu1_fwd,Relu,ACTIVATION_FWD9242866265924482173<CUDNN_ACTIVATION_RE...,1.669130,77070336
resnetv15_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14639808687571574663<CUDNN_BAT...,4.349940,51380224
resnetv15_stage1_activation1,Relu,ACTIVATION_FWD9242866265924482173<CUDNN_ACTIVATION_RE...,1.669130,77070336
resnetv15_stage2_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1527544652351167844<CUDNN_BATC...,2.199565,25690112
resnetv15_stage2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1527544652351167844<CUDNN_BATC...,2.199565,25690112
resnetv15_stage2_relu0_fwd,Relu,ACTIVATION_FWD6799485797667927710<CUDNN_ACTIVATION_CL...,0.840912,38535168
resnetv15_stage2_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1527544652351167844<CUDNN_BATC...,2.199565,25690112
resnetv15_stage2_activation0,Relu,ACTIVATION_FWD6799485797667927710<CUDNN_ACTIVATION_CL...,0.840912,38535168
resnetv15_stage2_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1527544652351167844<CUDNN_BATC...,2.199565,25690112
resnetv15_stage2_relu1_fwd,Relu,ACTIVATION_FWD6799485797667927710<CUDNN_ACTIVATION_CL...,0.840912,38535168
resnetv15_stage2_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1527544652351167844<CUDNN_BATC...,2.199565,25690112
resnetv15_stage2_activation1,Relu,ACTIVATION_FWD6799485797667927710<CUDNN_ACTIVATION_CL...,0.840912,38535168
resnetv15_stage3_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4111009754183053891<CUDNN_BATC...,1.026143,12845056
resnetv15_stage3_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4111009754183053891<CUDNN_BATC...,1.026143,12845056
resnetv15_stage3_relu0_fwd,Relu,ACTIVATION_FWD8242555014862608825<CUDNN_ACTIVATION_RE...,0.428735,19267584
resnetv15_stage3_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4111009754183053891<CUDNN_BATC...,1.026143,12845056
resnetv15_stage3_activation0,Relu,ACTIVATION_FWD8242555014862608825<CUDNN_ACTIVATION_RE...,0.428735,19267584
resnetv15_stage3_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4111009754183053891<CUDNN_BATC...,1.026143,12845056
resnetv15_stage3_relu1_fwd,Relu,ACTIVATION_FWD8242555014862608825<CUDNN_ACTIVATION_RE...,0.428735,19267584
resnetv15_stage3_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4111009754183053891<CUDNN_BATC...,1.026143,12845056
resnetv15_stage3_activation1,Relu,ACTIVATION_FWD8242555014862608825<CUDNN_ACTIVATION_RE...,0.428735,19267584
resnetv15_stage4_conv2_fwd,Conv,CONV_FWD_06054919009880040114<CUDNN_CONVOLUTION_FWD_A...,2.001390,1644167168
resnetv15_stage4_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10775093444449351339<CUDNN_BAT...,0.328435,6422528
resnetv15_stage4_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10775093444449351339<CUDNN_BAT...,0.328435,6422528
resnetv15_stage4_relu0_fwd,Relu,ACTIVATION_FWD16061700958344977745<CUDNN_ACTIVATION_C...,0.222422,9633792
resnetv15_stage4_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10775093444449351339<CUDNN_BAT...,0.328435,6422528
resnetv15_stage4_activation0,Relu,ACTIVATION_FWD16061700958344977745<CUDNN_ACTIVATION_C...,0.222422,9633792
resnetv15_stage4_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10775093444449351339<CUDNN_BAT...,0.328435,6422528
resnetv15_stage4_relu1_fwd,Relu,ACTIVATION_FWD16061700958344977745<CUDNN_ACTIVATION_C...,0.222422,9633792
resnetv15_stage4_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10775093444449351339<CUDNN_BAT...,0.328435,6422528
resnetv15_stage4_activation1,Relu,ACTIVATION_FWD16061700958344977745<CUDNN_ACTIVATION_C...,0.222422,9633792
resnetv15_dense0_fwd,Gemm,GEMM_FWD17676855649145509353,0.171677,131200000
,,Total,69.685857,3297506304
