LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv1_1_3x3_s2,Conv,CONV_FWD_113178010934615266002<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.243746,1105920000
conv1_1_3x3_s2/bn,BatchNorm,BATCHNORM_FWD_INFERENCE15723146203950082366<CUDNN_BATCHNORM_PER_ACTI...,0.569467,40960000
conv1_1_3x3_s2/relu,Relu,ACTIVATION_FWD18113828047369600648<CUDNN_ACTIVATION_RELU>,0.349076,61440000
conv1_2_3x3,Conv,CONV_FWD_37576671616180977032<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.560413,23592960000
conv1_2_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE15723146203950082366<CUDNN_BATCHNORM_PER_ACTI...,0.569467,40960000
conv1_2_3x3/relu,Relu,ACTIVATION_FWD18113828047369600648<CUDNN_ACTIVATION_RELU>,0.349076,61440000
conv1_3_3x3,Conv,CONV_FWD_13305391325050986039<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,3.019550,47185920000
conv1_3_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE3331574439069540177<CUDNN_BATCHNORM_PER_ACTIV...,1.136913,81920000
conv1_3_3x3/relu,Relu,ACTIVATION_FWD1112048004468295911<CUDNN_ACTIVATION_RELU>,0.775261,122880000
pool1_3x3_s2,Pooling,POOLING_FWD11917782786444039336<CUDNN_POOLING_MAX_DETERMINISTIC>,0.402565,91240704
conv2_1_1x1_reduce,Conv,CONV_FWD_27742445185715226888<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.145575,1297645568
conv2_1_1x1_reduce/bn,BatchNorm,BATCHNORM_FWD_INFERENCE8745590638297879893<CUDNN_BATCHNORM_PER_ACTIV...,0.144026,10137856
conv2_1_1x1_reduce/relu,Relu,ACTIVATION_FWD6344583211388699363<CUDNN_ACTIVATION_CLIPPED_RELU>,0.079711,15206784
conv2_1_3x3,Conv,CONV_FWD_03639447032397305824<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.444559,5839405056
conv2_1_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE8745590638297879893<CUDNN_BATCHNORM_PER_ACTIV...,0.144026,10137856
conv2_1_3x3/relu,Relu,ACTIVATION_FWD6344583211388699363<CUDNN_ACTIVATION_CLIPPED_RELU>,0.079711,15206784
conv2_1_1x1_increase,Conv,CONV_FWD_22787373112884636716<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.333385,2595291136
conv2_1_1x1_increase/bn,BatchNorm,BATCHNORM_FWD_INFERENCE2957429005728612297<CUDNN_BATCHNORM_PER_ACTIV...,0.563611,40551424
conv2_1_1x1_proj,Conv,CONV_FWD_28720177185664435565<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.505630,5190582272
conv2_1_1x1_proj/bn,BatchNorm,BATCHNORM_FWD_INFERENCE2957429005728612297<CUDNN_BATCHNORM_PER_ACTIV...,0.563611,40551424
conv2_1,ElementWise,OP_TENSOR_ADD_FWD4810397389771365752,0.443025,20275712
conv2_1_relu,Relu,ACTIVATION_FWD601246541874915455<CUDNN_ACTIVATION_RELU>,0.348604,60827136
conv2_2_1x1_reduce,Conv,CONV_FWD_46198988165477950125<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.248285,2595291136
conv2_2_1x1_reduce/bn,BatchNorm,BATCHNORM_FWD_INFERENCE8745590638297879893<CUDNN_BATCHNORM_PER_ACTIV...,0.144026,10137856
conv2_2_1x1_reduce/relu,Relu,ACTIVATION_FWD6344583211388699363<CUDNN_ACTIVATION_CLIPPED_RELU>,0.079711,15206784
conv2_2_3x3,Conv,CONV_FWD_03639447032397305824<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.444559,5839405056
conv2_2_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE8745590638297879893<CUDNN_BATCHNORM_PER_ACTIV...,0.144026,10137856
conv2_2_3x3/relu,Relu,ACTIVATION_FWD6344583211388699363<CUDNN_ACTIVATION_CLIPPED_RELU>,0.079711,15206784
conv2_2_1x1_increase,Conv,CONV_FWD_22787373112884636716<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.333385,2595291136
conv2_2_1x1_increase/bn,BatchNorm,BATCHNORM_FWD_INFERENCE2957429005728612297<CUDNN_BATCHNORM_PER_ACTIV...,0.563611,40551424
conv2_2,ElementWise,OP_TENSOR_ADD_FWD4810397389771365752,0.443025,20275712
conv2_2_relu,Relu,ACTIVATION_FWD601246541874915455<CUDNN_ACTIVATION_RELU>,0.348604,60827136
conv2_3_1x1_reduce,Conv,CONV_FWD_46198988165477950125<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.248285,2595291136
conv2_3_1x1_reduce/bn,BatchNorm,BATCHNORM_FWD_INFERENCE8745590638297879893<CUDNN_BATCHNORM_PER_ACTIV...,0.144026,10137856
conv2_3_1x1_reduce/relu,Relu,ACTIVATION_FWD6344583211388699363<CUDNN_ACTIVATION_CLIPPED_RELU>,0.079711,15206784
conv2_3_3x3,Conv,CONV_FWD_03639447032397305824<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.444559,5839405056
conv2_3_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE8745590638297879893<CUDNN_BATCHNORM_PER_ACTIV...,0.144026,10137856
conv2_3_3x3/relu,Relu,ACTIVATION_FWD6344583211388699363<CUDNN_ACTIVATION_CLIPPED_RELU>,0.079711,15206784
conv2_3_1x1_increase,Conv,CONV_FWD_22787373112884636716<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.333385,2595291136
conv2_3_1x1_increase/bn,BatchNorm,BATCHNORM_FWD_INFERENCE2957429005728612297<CUDNN_BATCHNORM_PER_ACTIV...,0.563611,40551424
conv2_3,ElementWise,OP_TENSOR_ADD_FWD4810397389771365752,0.443025,20275712
conv2_3_relu,Relu,ACTIVATION_FWD601246541874915455<CUDNN_ACTIVATION_RELU>,0.348604,60827136
conv3_1_1x1_reduce,Conv,CONV_FWD_312126092813347854832<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.192490,1310720000
conv3_1_1x1_reduce/bn,BatchNorm,BATCHNORM_FWD_INFERENCE7936852159528315543<CUDNN_BATCHNORM_PER_ACTIV...,0.075022,5120000
conv3_1_1x1_reduce/relu,Relu,ACTIVATION_FWD5726243866961198369<CUDNN_ACTIVATION_CLIPPED_RELU>,0.043286,7680000
conv3_1_3x3,Conv,CONV_FWD_311882448595753482396<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.419672,5898240000
conv3_1_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE7936852159528315543<CUDNN_BATCHNORM_PER_ACTIV...,0.075022,5120000
conv3_1_3x3/relu,Relu,ACTIVATION_FWD5726243866961198369<CUDNN_ACTIVATION_CLIPPED_RELU>,0.043286,7680000
conv3_1_1x1_increase,Conv,CONV_FWD_05007569041453145314<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.261255,2621440000
conv3_1_1x1_increase/bn,BatchNorm,BATCHNORM_FWD_INFERENCE7870134968035035864<CUDNN_BATCHNORM_PER_ACTIV...,0.286539,20480000
conv3_1_1x1_proj,Conv,CONV_FWD_411832933614251196770<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.729492,5242880000
conv3_1_1x1_proj/bn,BatchNorm,BATCHNORM_FWD_INFERENCE7870134968035035864<CUDNN_BATCHNORM_PER_ACTIV...,0.286539,20480000
conv3_1,ElementWise,OP_TENSOR_ADD_FWD500822035123005545,0.221520,10240000
conv3_1_relu,Relu,ACTIVATION_FWD5506422985203572078<CUDNN_ACTIVATION_RELU>,0.158008,30720000
conv3_2_1x1_reduce,Conv,CONV_FWD_311230660031676837698<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.300308,2621440000
conv3_2_1x1_reduce/bn,BatchNorm,BATCHNORM_FWD_INFERENCE7936852159528315543<CUDNN_BATCHNORM_PER_ACTIV...,0.075022,5120000
conv3_2_1x1_reduce/relu,Relu,ACTIVATION_FWD5726243866961198369<CUDNN_ACTIVATION_CLIPPED_RELU>,0.043286,7680000
conv3_2_3x3,Conv,CONV_FWD_311882448595753482396<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.419672,5898240000
conv3_2_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE7936852159528315543<CUDNN_BATCHNORM_PER_ACTIV...,0.075022,5120000
conv3_2_3x3/relu,Relu,ACTIVATION_FWD5726243866961198369<CUDNN_ACTIVATION_CLIPPED_RELU>,0.043286,7680000
conv3_2_1x1_increase,Conv,CONV_FWD_05007569041453145314<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.261255,2621440000
conv3_2_1x1_increase/bn,BatchNorm,BATCHNORM_FWD_INFERENCE7870134968035035864<CUDNN_BATCHNORM_PER_ACTIV...,0.286539,20480000
conv3_2,ElementWise,OP_TENSOR_ADD_FWD500822035123005545,0.221520,10240000
conv3_2_relu,Relu,ACTIVATION_FWD5506422985203572078<CUDNN_ACTIVATION_RELU>,0.158008,30720000
conv3_3_1x1_reduce,Conv,CONV_FWD_311230660031676837698<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.300308,2621440000
conv3_3_1x1_reduce/bn,BatchNorm,BATCHNORM_FWD_INFERENCE7936852159528315543<CUDNN_BATCHNORM_PER_ACTIV...,0.075022,5120000
conv3_3_1x1_reduce/relu,Relu,ACTIVATION_FWD5726243866961198369<CUDNN_ACTIVATION_CLIPPED_RELU>,0.043286,7680000
conv3_3_3x3,Conv,CONV_FWD_311882448595753482396<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.419672,5898240000
conv3_3_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE7936852159528315543<CUDNN_BATCHNORM_PER_ACTIV...,0.075022,5120000
conv3_3_3x3/relu,Relu,ACTIVATION_FWD5726243866961198369<CUDNN_ACTIVATION_CLIPPED_RELU>,0.043286,7680000
conv3_3_1x1_increase,Conv,CONV_FWD_05007569041453145314<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.261255,2621440000
conv3_3_1x1_increase/bn,BatchNorm,BATCHNORM_FWD_INFERENCE7870134968035035864<CUDNN_BATCHNORM_PER_ACTIV...,0.286539,20480000
conv3_3,ElementWise,OP_TENSOR_ADD_FWD500822035123005545,0.221520,10240000
conv3_3_relu,Relu,ACTIVATION_FWD5506422985203572078<CUDNN_ACTIVATION_RELU>,0.158008,30720000
conv3_4_1x1_reduce,Conv,CONV_FWD_311230660031676837698<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.300308,2621440000
