LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
squeezenet0_conv0_fwd,Conv,CONV_FWD_12399302184393766410<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.035260,85162752
squeezenet0_conv0_fwd,Conv,ADD_TENSOR13179572092923287885,0.018902,85162752
squeezenet0_relu0_fwd,Relu,ACTIVATION_FWD13132106344061199032<CUDNN_ACTIVATION_CLIPPED_RELU>,0.024265,4731264
squeezenet0_pool0_fwd,Pooling,POOLING_FWD15269672840262255129<CUDNN_POOLING_MAX>,0.021272,3484800
squeezenet0_conv1_fwd,Conv,CONV_FWD_39468308443118208412<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.017554,12390400
squeezenet0_conv1_fwd,Conv,ADD_TENSOR17586621447544641284,0.008630,12390400
squeezenet0_relu1_fwd,Relu,ACTIVATION_FWD154067566408925781<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008053,290400
squeezenet0_conv2_fwd,Conv,CONV_FWD_19717656250638191262<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.023375,12390400
squeezenet0_conv2_fwd,Conv,ADD_TENSOR2050584721017823962,0.010350,12390400
squeezenet0_relu2_fwd,Relu,ACTIVATION_FWD13667284123619255814<CUDNN_ACTIVATION_RELU>,0.009025,1161600
squeezenet0_conv3_fwd,Conv,CONV_FWD_02945249438711979732<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.027016,111513600
squeezenet0_conv3_fwd,Conv,ADD_TENSOR2050584721017823962,0.010350,111513600
squeezenet0_relu3_fwd,Relu,ACTIVATION_FWD13667284123619255814<CUDNN_ACTIVATION_RELU>,0.009025,1161600
squeezenet0_conv4_fwd,Conv,CONV_FWD_210888330904349072796<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.023281,24780800
squeezenet0_conv4_fwd,Conv,ADD_TENSOR17586621447544641284,0.008630,24780800
squeezenet0_relu4_fwd,Relu,ACTIVATION_FWD154067566408925781<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008053,290400
squeezenet0_conv5_fwd,Conv,CONV_FWD_19717656250638191262<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.023375,12390400
squeezenet0_conv5_fwd,Conv,ADD_TENSOR2050584721017823962,0.010350,12390400
squeezenet0_relu5_fwd,Relu,ACTIVATION_FWD13667284123619255814<CUDNN_ACTIVATION_RELU>,0.009025,1161600
squeezenet0_conv6_fwd,Conv,CONV_FWD_02945249438711979732<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.027016,111513600
squeezenet0_conv6_fwd,Conv,ADD_TENSOR2050584721017823962,0.010350,111513600
squeezenet0_relu6_fwd,Relu,ACTIVATION_FWD13667284123619255814<CUDNN_ACTIVATION_RELU>,0.009025,1161600
squeezenet0_pool1_fwd,Pooling,POOLING_FWD156943281399586048<CUDNN_POOLING_MAX>,0.011071,1679616
squeezenet0_conv7_fwd,Conv,CONV_FWD_02874083178246393351<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.018876,11943936
squeezenet0_conv7_fwd,Conv,ADD_TENSOR18278983752917145391,0.007994,11943936
squeezenet0_relu7_fwd,Relu,ACTIVATION_FWD7434709271380756585<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007833,139968
squeezenet0_conv8_fwd,Conv,CONV_FWD_35267518453077949543<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.018194,11943936
squeezenet0_conv8_fwd,Conv,ADD_TENSOR16386123383804900303,0.009020,11943936
