LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
relu_1,Relu,ACTIVATION_FWD2427895342727703615<CUDNN_ACTIVATION_RE...,3.047285,616562688
relu_2,Relu,ACTIVATION_FWD12765051768404204215<CUDNN_ACTIVATION_R...,0.730041,154140672
relu_3,Relu,ACTIVATION_FWD11841614068758124697<CUDNN_ACTIVATION_R...,2.251986,462422016
relu_4,Relu,ACTIVATION_FWD5458419290263439411<CUDNN_ACTIVATION_CL...,0.185172,38535168
relu_5,Relu,ACTIVATION_FWD12767539828503129757<CUDNN_ACTIVATION_R...,0.275325,57802752
relu_6,Relu,ACTIVATION_FWD5224402096529463936<CUDNN_ACTIVATION_CL...,0.364888,77070336
relu_7,Relu,ACTIVATION_FWD2996632461915788472<CUDNN_ACTIVATION_CL...,0.050579,9633792
relu_8,Relu,ACTIVATION_FWD3399922880853161830<CUDNN_ACTIVATION_CL...,0.095211,19267584
relu_9,Relu,ACTIVATION_FWD3399922880853161830<CUDNN_ACTIVATION_CL...,0.095211,19267584
relu_10,Relu,ACTIVATION_FWD5224402096529463936<CUDNN_ACTIVATION_CL...,0.364888,77070336
relu_11,Relu,ACTIVATION_FWD5224402096529463936<CUDNN_ACTIVATION_CL...,0.364888,77070336
relu_12,Relu,ACTIVATION_FWD9673321208068760105<CUDNN_ACTIVATION_RE...,0.547064,115605504
relu_13,Relu,ACTIVATION_FWD3399922880853161830<CUDNN_ACTIVATION_CL...,0.095211,19267584
relu_14,Relu,ACTIVATION_FWD12767539828503129757<CUDNN_ACTIVATION_R...,0.275325,57802752
relu_15,Relu,ACTIVATION_FWD5458419290263439411<CUDNN_ACTIVATION_CL...,0.185172,38535168
relu_16,Relu,ACTIVATION_FWD1431378728061420285<CUDNN_ACTIVATION_CL...,0.139768,28901376
relu_17,Relu,ACTIVATION_FWD861675160864923661<CUDNN_ACTIVATION_CLI...,0.072956,14450688
relu_18,Relu,ACTIVATION_FWD16814679035775582044<CUDNN_ACTIVATION_C...,0.151192,31309824
relu_19,Relu,ACTIVATION_FWD15372589956286395856<CUDNN_ACTIVATION_R...,0.015737,2408448
relu_20,Relu,ACTIVATION_FWD16436019750890754064<CUDNN_ACTIVATION_C...,0.039497,7225344
relu_21,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_C...,0.050586,9633792
relu_22,Relu,ACTIVATION_FWD3479484957309618925<CUDNN_ACTIVATION_RE...,0.117583,24084480
relu_23,Relu,ACTIVATION_FWD14483018783822395955<CUDNN_ACTIVATION_C...,0.084068,16859136
relu_24,Relu,ACTIVATION_FWD10068207120859112613<CUDNN_ACTIVATION_R...,0.162451,33718272
relu_25,Relu,ACTIVATION_FWD3161993798545685543<CUDNN_ACTIVATION_CL...,0.022896,3612672
relu_26,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_C...,0.050586,9633792
relu_27,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_C...,0.050586,9633792
relu_28,Relu,ACTIVATION_FWD916104966596756244<CUDNN_ACTIVATION_CLI...,0.095254,19267584
relu_29,Relu,ACTIVATION_FWD916104966596756244<CUDNN_ACTIVATION_CLI...,0.095254,19267584
relu_30,Relu,ACTIVATION_FWD8929215504087982075<CUDNN_ACTIVATION_CL...,0.185231,38535168
relu_31,Relu,ACTIVATION_FWD3161993798545685543<CUDNN_ACTIVATION_CL...,0.022896,3612672
relu_32,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_C...,0.050586,9633792
relu_33,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_C...,0.050586,9633792
relu_34,Relu,ACTIVATION_FWD14483018783822395955<CUDNN_ACTIVATION_C...,0.084068,16859136
relu_35,Relu,ACTIVATION_FWD16437139463705847361<CUDNN_ACTIVATION_C...,0.106345,21676032
relu_36,Relu,ACTIVATION_FWD15159496797756573957<CUDNN_ACTIVATION_C...,0.207647,43352064
relu_37,Relu,ACTIVATION_FWD14276671056251864410<CUDNN_ACTIVATION_R...,0.028474,4816896
relu_38,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_C...,0.050586,9633792
relu_39,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_C...,0.050586,9633792
relu_40,Relu,ACTIVATION_FWD8929215504087982075<CUDNN_ACTIVATION_CL...,0.185231,38535168
