LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
Convolution28,Conv,CONV_FWD_21135488812822367115<CUDNN_CONVOLUTION_FWD_A...,0.986859,160563200
Plus30,ElementWise,OP_TENSOR_ADD_FWD8551782650023042214,0.393348,3211264
ReLU32,Relu,ACTIVATION_FWD10037917313412784661<CUDNN_ACTIVATION_R...,0.221344,9633792
Pooling66,Pooling,POOLING_FWD1089878775462880191<CUDNN_POOLING_MAX_DETE...,0.180088,3211264
Convolution110,Conv,CONV_FWD_213727704454083261987<CUDNN_CONVOLUTION_FWD_...,2.081021,642252800
Plus112,ElementWise,OP_TENSOR_ADD_FWD16725398830243896758,0.226692,1605632
ReLU114,Relu,ACTIVATION_FWD1585086752402793221<CUDNN_ACTIVATION_RE...,0.118212,4816896
Pooling160,Pooling,POOLING_FWD15905300823699088611<CUDNN_POOLING_MAX>,0.090587,1179648
Times212,Gemm,GEMV_FWD9263975424934515533,0.013752,5130
,,Total,4.298151,826479626
