LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv24_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE5383714041317910107<CUDNN_BATCHNORM_SPATIAL>,0.118620,2408448
resnetv24_conv0_fwd,Conv,CONV_FWD_46931408578737242223<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,1.298022,1888223232
resnetv24_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3955180099896498992<CUDNN_BATCHNORM_PER_ACTIV...,1.018134,12845056
resnetv24_relu0_fwd,Relu,ACTIVATION_FWD6449059682728522274<CUDNN_ACTIVATION_RELU>,0.588326,19267584
resnetv24_pool0_fwd,Pooling,POOLING_FWD18307926197624827978<CUDNN_POOLING_MAX>,0.508393,14450688
resnetv24_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4283986814073947568<CUDNN_BATCHNORM_PER_ACTIV...,0.258849,3211264
resnetv24_stage1_activation0,Relu,ACTIVATION_FWD6120376001579986082<CUDNN_ACTIVATION_RELU>,0.159262,4816896
resnetv24_stage1_conv0_fwd,Conv,CONV_FWD_12599475212760731793<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.198993,205520896
resnetv24_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4283986814073947568<CUDNN_BATCHNORM_PER_ACTIV...,0.258849,3211264
resnetv24_stage1_activation1,Relu,ACTIVATION_FWD6120376001579986082<CUDNN_ACTIVATION_RELU>,0.159262,4816896
resnetv24_stage1_conv1_fwd,Conv,CONV_FWD_418219924603069308467<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,1.204854,1849688064
resnetv24_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4283986814073947568<CUDNN_BATCHNORM_PER_ACTIV...,0.258849,3211264
resnetv24_stage1_activation2,Relu,ACTIVATION_FWD6120376001579986082<CUDNN_ACTIVATION_RELU>,0.159262,4816896
resnetv24_stage1_conv2_fwd,Conv,CONV_FWD_3452031173127637486<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRE...,0.675880,822083584
resnetv24_stage1_conv3_fwd,Conv,CONV_FWD_3452031173127637486<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRE...,0.675880,822083584
resnetv24_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD15738530095251692753,1.117900,6422528
resnetv24_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14152381087296592040<CUDNN_BATCHNORM_PER_ACTI...,1.017889,12845056
resnetv24_stage1_activation3,Relu,ACTIVATION_FWD12392619029784752570<CUDNN_ACTIVATION_RELU>,0.588317,19267584
resnetv24_stage1_conv4_fwd,Conv,CONV_FWD_112498308170152614192<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.570042,822083584
resnetv24_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4283986814073947568<CUDNN_BATCHNORM_PER_ACTIV...,0.258849,3211264
resnetv24_stage1_activation4,Relu,ACTIVATION_FWD6120376001579986082<CUDNN_ACTIVATION_RELU>,0.159262,4816896
resnetv24_stage1_conv5_fwd,Conv,CONV_FWD_418219924603069308467<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,1.204854,1849688064
resnetv24_stage1_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4283986814073947568<CUDNN_BATCHNORM_PER_ACTIV...,0.258849,3211264
resnetv24_stage1_activation5,Relu,ACTIVATION_FWD6120376001579986082<CUDNN_ACTIVATION_RELU>,0.159262,4816896
