LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
vgg0_conv0_fwd,Conv,CONV_FWD_09360063573861841547<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.194427,1387266048
vgg0_conv0_fwd,Conv,ADD_TENSOR15696665459825818293,0.189205,1387266048
vgg0_relu0_fwd,Relu,ACTIVATION_FWD7398989864926418640<CUDNN_ACTIVATION_RELU>,0.281524,77070336
vgg0_conv1_fwd,Conv,CONV_FWD_212850432369675846762<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.340431,29595009024
vgg0_conv1_fwd,Conv,ADD_TENSOR15696665459825818293,0.189205,29595009024
vgg0_relu1_fwd,Relu,ACTIVATION_FWD7398989864926418640<CUDNN_ACTIVATION_RELU>,0.281524,77070336
vgg0_pool0_fwd,Pooling,POOLING_FWD13053183506076938602<CUDNN_POOLING_MAX>,0.166582,25690112
vgg0_conv2_fwd,Conv,CONV_FWD_48808304219822221242<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.669569,14797504512
vgg0_conv2_fwd,Conv,ADD_TENSOR9024135841580852973,0.099363,14797504512
vgg0_relu2_fwd,Relu,ACTIVATION_FWD11494204409581170513<CUDNN_ACTIVATION_RELU>,0.143758,38535168
vgg0_conv3_fwd,Conv,CONV_FWD_176612481102123833<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.230646,29595009024
vgg0_conv3_fwd,Conv,ADD_TENSOR9024135841580852973,0.099363,29595009024
vgg0_relu3_fwd,Relu,ACTIVATION_FWD11494204409581170513<CUDNN_ACTIVATION_RELU>,0.143758,38535168
vgg0_pool1_fwd,Pooling,POOLING_FWD7947798230750171919<CUDNN_POOLING_MAX>,0.089755,12845056
vgg0_conv4_fwd,Conv,CONV_FWD_014262349906789927127<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.709282,14797504512
vgg0_conv4_fwd,Conv,ADD_TENSOR16087447631852014770,0.053717,14797504512
vgg0_relu4_fwd,Relu,ACTIVATION_FWD12392619029784752570<CUDNN_ACTIVATION_RELU>,0.075138,19267584
vgg0_conv5_fwd,Conv,CONV_FWD_14848886231216604725<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.356629,29595009024
vgg0_conv5_fwd,Conv,ADD_TENSOR16087447631852014770,0.053717,29595009024
vgg0_relu5_fwd,Relu,ACTIVATION_FWD12392619029784752570<CUDNN_ACTIVATION_RELU>,0.075138,19267584
vgg0_conv6_fwd,Conv,CONV_FWD_14848886231216604725<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.356629,29595009024
vgg0_conv6_fwd,Conv,ADD_TENSOR16087447631852014770,0.053717,29595009024
vgg0_relu6_fwd,Relu,ACTIVATION_FWD12392619029784752570<CUDNN_ACTIVATION_RELU>,0.075138,19267584
vgg0_conv7_fwd,Conv,CONV_FWD_14848886231216604725<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.356629,29595009024
vgg0_conv7_fwd,Conv,ADD_TENSOR16087447631852014770,0.053717,29595009024
vgg0_relu7_fwd,Relu,ACTIVATION_FWD12392619029784752570<CUDNN_ACTIVATION_RELU>,0.075138,19267584
vgg0_pool2_fwd,Pooling,POOLING_FWD11031391345291000699<CUDNN_POOLING_MAX>,0.048840,6422528
vgg0_conv8_fwd,Conv,CONV_FWD_26899860762629969596<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.786671,14797504512
vgg0_conv8_fwd,Conv,ADD_TENSOR4748563101301973790,0.030878,14797504512
vgg0_relu8_fwd,Relu,ACTIVATION_FWD13952687925410928534<CUDNN_ACTIVATION_CLIPPED_RELU>,0.041266,9633792
