LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_316780773280124764373<CUDNN_CONVOLUTION_FWD_ALGO_GEMM>,0.489720,236027904
batchnormalization_1,BatchNorm,BATCHNORM_FWD_INFERENCE11875549913047806263<CUDNN_BATCHNORM_SPATIAL>,0.079257,1605632
mul_1,ElementWise,OP_TENSOR_MUL_FWD16549895943366584630,0.112633,1605632
add_1,ElementWise,OP_TENSOR_ADD_FWD6137963286995829956,0.112478,802816
relu_1,Relu,ACTIVATION_FWD8731790411514196767<CUDNN_ACTIVATION_RELU>,0.067411,2408448
maxpool_1,Pooling,POOLING_FWD8317600655594697260<CUDNN_POOLING_MAX_DETERMINISTIC>,0.075082,1806336
conv_2,Conv,CONV_FWD_013802355638736606925<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.065375,25690112
batchnormalization_2,BatchNorm,BATCHNORM_FWD_INFERENCE7045378800639860835<CUDNN_BATCHNORM_SPATIAL>,0.024007,401408
mul_2,ElementWise,OP_TENSOR_MUL_FWD2352376153401817186,0.045126,401408
add_2,ElementWise,OP_TENSOR_ADD_FWD10387049101011244432,0.045210,200704
relu_2,Relu,ACTIVATION_FWD13557477638093759051<CUDNN_ACTIVATION_RELU>,0.021825,602112
conv_3,Conv,CONV_FWD_316827538318024481492<CUDNN_CONVOLUTION_FWD_ALGO_GEMM>,0.909567,693633024
batchnormalization_3,BatchNorm,BATCHNORM_FWD_INFERENCE10135940811066305447<CUDNN_BATCHNORM_PER_ACTI...,0.150189,1204224
mul_3,ElementWise,OP_TENSOR_MUL_FWD2073321167670287940,0.097200,1204224
add_3,ElementWise,OP_TENSOR_ADD_FWD12413764624951063478,0.097154,602112
relu_3,Relu,ACTIVATION_FWD9242913849705038957<CUDNN_ACTIVATION_RELU>,0.051736,1806336
maxpool_2,Pooling,POOLING_FWD8356967066576081603<CUDNN_POOLING_MAX_DETERMINISTIC>,0.059385,1354752
conv_4,Conv,CONV_FWD_010029176863147555960<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.100364,19267584
batchnormalization_4,BatchNorm,BATCHNORM_FWD_INFERENCE13966833112401639445<CUDNN_BATCHNORM_PER_ACTI...,0.019346,100352
mul_4,ElementWise,OP_TENSOR_MUL_FWD5889541033744141814,0.019014,100352
add_4,ElementWise,OP_TENSOR_ADD_FWD16228930059306901508,0.018990,50176
relu_4,Relu,ACTIVATION_FWD14788517072062388191<CUDNN_ACTIVATION_CLIPPED_RELU>,0.013655,150528
conv_5,Conv,CONV_FWD_010029176863147555960<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.100364,19267584
batchnormalization_5,BatchNorm,BATCHNORM_FWD_INFERENCE13966833112401639445<CUDNN_BATCHNORM_PER_ACTI...,0.019346,100352
mul_5,ElementWise,OP_TENSOR_MUL_FWD5889541033744141814,0.019014,100352
add_5,ElementWise,OP_TENSOR_ADD_FWD16228930059306901508,0.018990,50176
relu_5,Relu,ACTIVATION_FWD14788517072062388191<CUDNN_ACTIVATION_CLIPPED_RELU>,0.013655,150528
conv_6,Conv,CONV_FWD_21456289446783836196<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.255173,57802752
batchnormalization_6,BatchNorm,BATCHNORM_FWD_INFERENCE13966833112401639445<CUDNN_BATCHNORM_PER_ACTI...,0.019346,100352
mul_6,ElementWise,OP_TENSOR_MUL_FWD5889541033744141814,0.019014,100352
add_6,ElementWise,OP_TENSOR_ADD_FWD16228930059306901508,0.018990,50176
relu_6,Relu,ACTIVATION_FWD14788517072062388191<CUDNN_ACTIVATION_CLIPPED_RELU>,0.013655,150528
