LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
squeezenet0_conv0_fwd,Conv,CONV_FWD_217918962939124130962<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.151942,681302016
squeezenet0_conv0_fwd,Conv,ADD_TENSOR15997541012542915146,0.104972,681302016
squeezenet0_relu0_fwd,Relu,ACTIVATION_FWD731123832922905534<CUDNN_ACTIVATION_RELU>,0.201533,37850112
squeezenet0_pool0_fwd,Pooling,POOLING_FWD7955584163866661046<CUDNN_POOLING_MAX>,0.127523,27878400
squeezenet0_conv1_fwd,Conv,CONV_FWD_18615848045726221557<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.048563,99123200
squeezenet0_conv1_fwd,Conv,ADD_TENSOR16089217181983142138,0.012072,99123200
squeezenet0_relu1_fwd,Relu,ACTIVATION_FWD15794443502896939015<CUDNN_ACTIVATION_CLIPPED_RELU>,0.011636,2323200
squeezenet0_conv2_fwd,Conv,CONV_FWD_35036732988470414715<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.047968,99123200
squeezenet0_conv2_fwd,Conv,ADD_TENSOR15676507260913606756,0.029975,99123200
squeezenet0_relu2_fwd,Relu,ACTIVATION_FWD16295360561266387388<CUDNN_ACTIVATION_CLIPPED_RELU>,0.051347,9292800
squeezenet0_conv3_fwd,Conv,CONV_FWD_17919832558636681781<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.105521,892108800
squeezenet0_conv3_fwd,Conv,ADD_TENSOR15676507260913606756,0.029975,892108800
squeezenet0_relu3_fwd,Relu,ACTIVATION_FWD16295360561266387388<CUDNN_ACTIVATION_CLIPPED_RELU>,0.051347,9292800
squeezenet0_conv4_fwd,Conv,CONV_FWD_216618815710846954727<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.073260,198246400
squeezenet0_conv4_fwd,Conv,ADD_TENSOR16089217181983142138,0.012072,198246400
squeezenet0_relu4_fwd,Relu,ACTIVATION_FWD15794443502896939015<CUDNN_ACTIVATION_CLIPPED_RELU>,0.011636,2323200
squeezenet0_conv5_fwd,Conv,CONV_FWD_35036732988470414715<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.047968,99123200
squeezenet0_conv5_fwd,Conv,ADD_TENSOR15676507260913606756,0.029975,99123200
squeezenet0_relu5_fwd,Relu,ACTIVATION_FWD16295360561266387388<CUDNN_ACTIVATION_CLIPPED_RELU>,0.051347,9292800
squeezenet0_conv6_fwd,Conv,CONV_FWD_17919832558636681781<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.105521,892108800
squeezenet0_conv6_fwd,Conv,ADD_TENSOR15676507260913606756,0.029975,892108800
squeezenet0_relu6_fwd,Relu,ACTIVATION_FWD16295360561266387388<CUDNN_ACTIVATION_CLIPPED_RELU>,0.051347,9292800
squeezenet0_pool1_fwd,Pooling,POOLING_FWD13808806370973650863<CUDNN_POOLING_MAX_DETERMINISTIC>,0.076132,13436928
squeezenet0_conv7_fwd,Conv,CONV_FWD_212416205916145638325<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.033599,95551488
squeezenet0_conv7_fwd,Conv,ADD_TENSOR6148747331507955871,0.009205,95551488
squeezenet0_relu7_fwd,Relu,ACTIVATION_FWD13975312433166832439<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007895,1119744
squeezenet0_conv8_fwd,Conv,CONV_FWD_413288363884231631588<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.030973,95551488
squeezenet0_conv8_fwd,Conv,ADD_TENSOR10303827119986738950,0.017741,95551488
squeezenet0_relu8_fwd,Relu,ACTIVATION_FWD6460958112189066613<CUDNN_ACTIVATION_CLIPPED_RELU>,0.027929,4478976
squeezenet0_conv9_fwd,Conv,CONV_FWD_014569682277312376444<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.112418,859963392
squeezenet0_conv9_fwd,Conv,ADD_TENSOR10303827119986738950,0.017741,859963392
squeezenet0_relu9_fwd,Relu,ACTIVATION_FWD6460958112189066613<CUDNN_ACTIVATION_CLIPPED_RELU>,0.027929,4478976
squeezenet0_conv10_fwd,Conv,CONV_FWD_112978987573409446406<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.055497,191102976
squeezenet0_conv10_fwd,Conv,ADD_TENSOR6148747331507955871,0.009205,191102976
squeezenet0_relu10_fwd,Relu,ACTIVATION_FWD13975312433166832439<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007895,1119744
squeezenet0_conv11_fwd,Conv,CONV_FWD_413288363884231631588<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.030973,95551488
squeezenet0_conv11_fwd,Conv,ADD_TENSOR10303827119986738950,0.017741,95551488
squeezenet0_relu11_fwd,Relu,ACTIVATION_FWD6460958112189066613<CUDNN_ACTIVATION_CLIPPED_RELU>,0.027929,4478976
squeezenet0_conv12_fwd,Conv,CONV_FWD_014569682277312376444<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.112418,859963392
squeezenet0_conv12_fwd,Conv,ADD_TENSOR10303827119986738950,0.017741,859963392
squeezenet0_relu12_fwd,Relu,ACTIVATION_FWD6460958112189066613<CUDNN_ACTIVATION_CLIPPED_RELU>,0.027929,4478976
squeezenet0_pool2_fwd,Pooling,POOLING_FWD22193090431742973<CUDNN_POOLING_MAX_DETERMINISTIC>,0.043580,6230016
squeezenet0_conv13_fwd,Conv,CONV_FWD_39268425372705706978<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.032760,66453504
squeezenet0_conv13_fwd,Conv,ADD_TENSOR10165621147406952954,0.007201,66453504
squeezenet0_relu13_fwd,Relu,ACTIVATION_FWD905962206290593070<CUDNN_ACTIVATION_CLIPPED_RELU>,0.006748,389376
squeezenet0_conv14_fwd,Conv,CONV_FWD_37453236022858981906<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.022842,49840128
