LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
relu_1,Relu,ACTIVATION_FWD2427895342727703615<CUDNN_ACTIVATION_RE...,18.359636,616562688
relu_2,Relu,ACTIVATION_FWD12765051768404204215<CUDNN_ACTIVATION_R...,4.614754,154140672
relu_3,Relu,ACTIVATION_FWD11841614068758124697<CUDNN_ACTIVATION_R...,13.845103,462422016
relu_4,Relu,ACTIVATION_FWD5458419290263439411<CUDNN_ACTIVATION_RE...,1.168191,38535168
conv_5,Conv,CONV_FWD_013313908372474617537<CUDNN_CONVOLUTION_FWD_...,5.790443,7398752256
conv_5,Conv,ADD_TENSOR5769063156981068169,0.806053,7398752256
relu_5,Relu,ACTIVATION_FWD12767539828503129757<CUDNN_ACTIVATION_R...,1.729321,57802752
conv_6,Conv,CONV_FWD_111620189250163117979<CUDNN_CONVOLUTION_FWD_...,14.680426,44392513536
conv_6,Conv,ADD_TENSOR2116411272749278197,1.070751,44392513536
relu_6,Relu,ACTIVATION_FWD5224402096529463936<CUDNN_ACTIVATION_RE...,2.327341,77070336
conv_7,Conv,CONV_FWD_0810237781302856412<CUDNN_CONVOLUTION_FWD_AL...,1.907172,1233125376
conv_7,Conv,ADD_TENSOR13051160190906783948,0.143628,1233125376
relu_7,Relu,ACTIVATION_FWD2996632461915788472<CUDNN_ACTIVATION_RE...,0.305275,9633792
relu_8,Relu,ACTIVATION_FWD3399922880853161830<CUDNN_ACTIVATION_RE...,0.585802,19267584
conv_9,Conv,CONV_FWD_0114097924365302158<CUDNN_CONVOLUTION_FWD_AL...,1.969194,2466250752
conv_9,Conv,ADD_TENSOR17933640823450678606,0.275419,2466250752
relu_9,Relu,ACTIVATION_FWD3399922880853161830<CUDNN_ACTIVATION_RE...,0.585802,19267584
relu_10,Relu,ACTIVATION_FWD5224402096529463936<CUDNN_ACTIVATION_RE...,2.327341,77070336
relu_11,Relu,ACTIVATION_FWD5224402096529463936<CUDNN_ACTIVATION_RE...,2.327341,77070336
conv_12,Conv,CONV_FWD_29136567091075411528<CUDNN_CONVOLUTION_FWD_A...,21.836577,88785027072
conv_12,Conv,ADD_TENSOR5399789760970027931,1.621594,88785027072
relu_12,Relu,ACTIVATION_FWD9673321208068760105<CUDNN_ACTIVATION_RE...,3.478360,115605504
relu_13,Relu,ACTIVATION_FWD3399922880853161830<CUDNN_ACTIVATION_RE...,0.585802,19267584
relu_14,Relu,ACTIVATION_FWD12767539828503129757<CUDNN_ACTIVATION_R...,1.729321,57802752
relu_15,Relu,ACTIVATION_FWD5458419290263439411<CUDNN_ACTIVATION_RE...,1.168191,38535168
conv_16,Conv,CONV_FWD_06216017222732688347<CUDNN_CONVOLUTION_FWD_A...,5.441568,9248440320
conv_16,Conv,ADD_TENSOR12203380410205341542,0.424232,9248440320
relu_16,Relu,ACTIVATION_FWD1431378728061420285<CUDNN_ACTIVATION_RE...,0.879100,28901376
relu_17,Relu,ACTIVATION_FWD861675160864923661<CUDNN_ACTIVATION_REL...,0.449733,14450688
conv_18,Conv,CONV_FWD_211577146964719648935<CUDNN_CONVOLUTION_FWD_...,6.508339,18034458624
conv_18,Conv,ADD_TENSOR14623115284255914228,0.460032,18034458624
relu_18,Relu,ACTIVATION_FWD16814679035775582044<CUDNN_ACTIVATION_R...,1.013801,31309824
conv_19,Conv,CONV_FWD_08829939649088949594<CUDNN_CONVOLUTION_FWD_A...,1.162996,770703360
conv_19,Conv,ADD_TENSOR11834558525824109216,0.045174,770703360
relu_19,Relu,ACTIVATION_FWD15372589956286395856<CUDNN_ACTIVATION_C...,0.083294,2408448
conv_20,Conv,CONV_FWD_05171892362003106849<CUDNN_CONVOLUTION_FWD_A...,1.595175,1926758400
conv_20,Conv,ADD_TENSOR3195039679347379417,0.114448,1926758400
relu_20,Relu,ACTIVATION_FWD16436019750890754064<CUDNN_ACTIVATION_R...,0.230054,7225344
conv_21,Conv,CONV_FWD_214949448067460675147<CUDNN_CONVOLUTION_FWD_...,1.911179,3082813440
conv_21,Conv,ADD_TENSOR18368638120837299502,0.149036,3082813440
relu_21,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_R...,0.305103,9633792
conv_22,Conv,CONV_FWD_115285200396421671491<CUDNN_CONVOLUTION_FWD_...,5.769185,8220835840
conv_22,Conv,ADD_TENSOR13302153594827118335,0.356200,8220835840
relu_22,Relu,ACTIVATION_FWD3479484957309618925<CUDNN_ACTIVATION_RE...,0.740014,24084480
relu_23,Relu,ACTIVATION_FWD14483018783822395955<CUDNN_ACTIVATION_R...,0.532928,16859136
relu_24,Relu,ACTIVATION_FWD10068207120859112613<CUDNN_ACTIVATION_R...,1.057406,33718272
conv_25,Conv,CONV_FWD_116990830581333167437<CUDNN_CONVOLUTION_FWD_...,1.240373,1233125376
conv_25,Conv,ADD_TENSOR7393328966972991758,0.062475,1233125376
relu_25,Relu,ACTIVATION_FWD3161993798545685543<CUDNN_ACTIVATION_RE...,0.121241,3612672
conv_26,Conv,CONV_FWD_19861124266931265702<CUDNN_CONVOLUTION_FWD_A...,2.348911,3853516800
conv_26,Conv,ADD_TENSOR18368638120837299502,0.149036,3853516800
relu_26,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_R...,0.305103,9633792
conv_27,Conv,CONV_FWD_015204707866353177210<CUDNN_CONVOLUTION_FWD_...,2.022967,3288334336
conv_27,Conv,ADD_TENSOR18368638120837299502,0.149036,3288334336
relu_27,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_R...,0.305103,9633792
conv_28,Conv,CONV_FWD_28128821574338640554<CUDNN_CONVOLUTION_FWD_A...,3.696335,6576668672
conv_28,Conv,ADD_TENSOR1578625792797381305,0.287144,6576668672
relu_28,Relu,ACTIVATION_FWD916104966596756244<CUDNN_ACTIVATION_REL...,0.588476,19267584
conv_29,Conv,CONV_FWD_28128821574338640554<CUDNN_CONVOLUTION_FWD_A...,3.696335,6576668672
conv_29,Conv,ADD_TENSOR1578625792797381305,0.287144,6576668672
relu_29,Relu,ACTIVATION_FWD916104966596756244<CUDNN_ACTIVATION_REL...,0.588476,19267584
relu_30,Relu,ACTIVATION_FWD8929215504087982075<CUDNN_ACTIVATION_RE...,1.168190,38535168
conv_31,Conv,CONV_FWD_116990830581333167437<CUDNN_CONVOLUTION_FWD_...,1.240373,1233125376
conv_31,Conv,ADD_TENSOR7393328966972991758,0.062475,1233125376
relu_31,Relu,ACTIVATION_FWD3161993798545685543<CUDNN_ACTIVATION_RE...,0.121241,3612672
conv_32,Conv,CONV_FWD_19861124266931265702<CUDNN_CONVOLUTION_FWD_A...,2.348911,3853516800
conv_32,Conv,ADD_TENSOR18368638120837299502,0.149036,3853516800
relu_32,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_R...,0.305103,9633792
conv_33,Conv,CONV_FWD_015204707866353177210<CUDNN_CONVOLUTION_FWD_...,2.022967,3288334336
conv_33,Conv,ADD_TENSOR18368638120837299502,0.149036,3288334336
relu_33,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_R...,0.305103,9633792
relu_34,Relu,ACTIVATION_FWD14483018783822395955<CUDNN_ACTIVATION_R...,0.532928,16859136
conv_35,Conv,CONV_FWD_211306557562389929396<CUDNN_CONVOLUTION_FWD_...,5.758323,7398752256
conv_35,Conv,ADD_TENSOR14570832919809229547,0.321482,7398752256
relu_35,Relu,ACTIVATION_FWD16437139463705847361<CUDNN_ACTIVATION_R...,0.663828,21676032
conv_36,Conv,CONV_FWD_215695852731519498853<CUDNN_CONVOLUTION_FWD_...,9.663959,37456183296
conv_36,Conv,ADD_TENSOR10665131108957719959,0.632481,37456183296
relu_36,Relu,ACTIVATION_FWD15159496797756573957<CUDNN_ACTIVATION_R...,1.303289,43352064
conv_37,Conv,CONV_FWD_117214051428542838658<CUDNN_CONVOLUTION_FWD_...,1.246513,1644167168
conv_37,Conv,ADD_TENSOR10453290313569032727,0.079742,1644167168
relu_37,Relu,ACTIVATION_FWD14276671056251864410<CUDNN_ACTIVATION_R...,0.159388,4816896
conv_38,Conv,CONV_FWD_04942820732429716435<CUDNN_CONVOLUTION_FWD_A...,3.214770,5138022400
conv_38,Conv,ADD_TENSOR18368638120837299502,0.149036,5138022400
relu_38,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_R...,0.305103,9633792
conv_39,Conv,CONV_FWD_015204707866353177210<CUDNN_CONVOLUTION_FWD_...,2.022967,3288334336
conv_39,Conv,ADD_TENSOR18368638120837299502,0.149036,3288334336
relu_39,Relu,ACTIVATION_FWD15746256605626458943<CUDNN_ACTIVATION_R...,0.305103,9633792
relu_40,Relu,ACTIVATION_FWD8929215504087982075<CUDNN_ACTIVATION_RE...,1.168190,38535168
relu_41,Relu,ACTIVATION_FWD3479484957309618925<CUDNN_ACTIVATION_RE...,0.740014,24084480
relu_42,Relu,ACTIVATION_FWD8109650651352830689<CUDNN_ACTIVATION_RE...,1.459066,48168960
conv_43,Conv,CONV_FWD_02196656116585227275<CUDNN_CONVOLUTION_FWD_A...,1.278652,1695547392
conv_43,Conv,ADD_TENSOR10453290313569032727,0.079742,1695547392
relu_43,Relu,ACTIVATION_FWD14276671056251864410<CUDNN_ACTIVATION_R...,0.159388,4816896
conv_44,Conv,CONV_FWD_216669779750012920579<CUDNN_CONVOLUTION_FWD_...,5.700844,10276044800
conv_44,Conv,ADD_TENSOR1578625792797381305,0.287144,10276044800
relu_44,Relu,ACTIVATION_FWD916104966596756244<CUDNN_ACTIVATION_REL...,0.588476,19267584
relu_45,Relu,ACTIVATION_FWD916104966596756244<CUDNN_ACTIVATION_REL...,0.588476,19267584
conv_46,Conv,CONV_FWD_25788603531755572607<CUDNN_CONVOLUTION_FWD_A...,3.218974,5343543296
conv_46,Conv,ADD_TENSOR10391655132022787864,0.351315,5343543296
relu_46,Relu,ACTIVATION_FWD5882009041495585015<CUDNN_ACTIVATION_RE...,0.302493,9633792
relu_47,Relu,ACTIVATION_FWD11426636028276543381<CUDNN_ACTIVATION_R...,0.191287,6021120
conv_48,Conv,CONV_FWD_06831382228995472941<CUDNN_CONVOLUTION_FWD_A...,6.679592,11560550400
conv_48,Conv,ADD_TENSOR1149012724014192936,0.436628,11560550400
relu_48,Relu,ACTIVATION_FWD16404757150138279765<CUDNN_ACTIVATION_R...,0.373493,12042240
relu_49,Relu,ACTIVATION_FWD16650681293438747690<CUDNN_ACTIVATION_C...,0.037932,1204224
conv_50,Conv,CONV_FWD_22351421824875600143<CUDNN_CONVOLUTION_FWD_A...,1.637204,2569011200
conv_50,Conv,ADD_TENSOR1690919013156411291,0.180823,2569011200
relu_50,Relu,ACTIVATION_FWD3100316550704522508<CUDNN_ACTIVATION_RE...,0.160122,4816896
conv_51,Conv,CONV_FWD_17487042964097129916<CUDNN_CONVOLUTION_FWD_A...,1.694502,2671771648
conv_51,Conv,ADD_TENSOR1690919013156411291,0.180823,2671771648
relu_51,Relu,ACTIVATION_FWD3100316550704522508<CUDNN_ACTIVATION_RE...,0.160122,4816896
conv_52,Conv,CONV_FWD_211774393475883492071<CUDNN_CONVOLUTION_FWD_...,4.593483,8015314944
conv_52,Conv,ADD_TENSOR11673739145912355248,0.522111,8015314944
relu_52,Relu,ACTIVATION_FWD17355131143009050737<CUDNN_ACTIVATION_R...,0.449723,14450688
conv_53,Conv,CONV_FWD_16709635039834974460<CUDNN_CONVOLUTION_FWD_A...,2.519584,4007657472
conv_53,Conv,ADD_TENSOR11772692157238231018,0.266177,4007657472
relu_53,Relu,ACTIVATION_FWD2023380346653265801<CUDNN_ACTIVATION_RE...,0.230035,7225344
relu_54,Relu,ACTIVATION_FWD17355131143009050737<CUDNN_ACTIVATION_R...,0.449723,14450688
relu_55,Relu,ACTIVATION_FWD12377337906662400004<CUDNN_ACTIVATION_C...,0.063688,1806336
conv_56,Conv,CONV_FWD_09445919684756669504<CUDNN_CONVOLUTION_FWD_A...,2.023648,3853516800
conv_56,Conv,ADD_TENSOR1690919013156411291,0.180823,3853516800
relu_56,Relu,ACTIVATION_FWD3100316550704522508<CUDNN_ACTIVATION_RE...,0.160122,4816896
conv_57,Conv,CONV_FWD_17487042964097129916<CUDNN_CONVOLUTION_FWD_A...,1.694502,2671771648
conv_57,Conv,ADD_TENSOR1690919013156411291,0.180823,2671771648
relu_57,Relu,ACTIVATION_FWD3100316550704522508<CUDNN_ACTIVATION_RE...,0.160122,4816896
gemm_1,Gemm,GEMV_FWD13777500029188544064,0.054738,2049000
,,Total,270.100003,715585868776
