LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
Convolution362,Conv,CONV_FWD_110226715330448386383<CUDNN_CONVOLUTION_FWD_...,3.089829,1207959552
ReLU366,Relu,ACTIVATION_FWD7170853399133936745<CUDNN_ACTIVATION_RE...,5.829438,201326592
Convolution380,Conv,CONV_FWD_111158284399802890159<CUDNN_CONVOLUTION_FWD_...,32.059755,77309411328
ReLU384,Relu,ACTIVATION_FWD7170853399133936745<CUDNN_ACTIVATION_RE...,5.829438,201326592
Convolution418,Conv,CONV_FWD_115660994373841359358<CUDNN_CONVOLUTION_FWD_...,13.490095,38654705664
ReLU422,Relu,ACTIVATION_FWD17361338581259696496<CUDNN_ACTIVATION_R...,2.915628,100663296
ReLU440,Relu,ACTIVATION_FWD17361338581259696496<CUDNN_ACTIVATION_R...,2.915628,100663296
ReLU478,Relu,ACTIVATION_FWD564844991632005964<CUDNN_ACTIVATION_REL...,1.472073,50331648
ReLU496,Relu,ACTIVATION_FWD564844991632005964<CUDNN_ACTIVATION_REL...,1.472073,50331648
ReLU514,Relu,ACTIVATION_FWD564844991632005964<CUDNN_ACTIVATION_REL...,1.472073,50331648
Convolution548,Conv,CONV_FWD_216464032928997474512<CUDNN_CONVOLUTION_FWD_...,6.101081,19327352832
ReLU552,Relu,ACTIVATION_FWD11079209957782049667<CUDNN_ACTIVATION_R...,0.379466,12582912
Convolution566,Conv,CONV_FWD_216464032928997474512<CUDNN_CONVOLUTION_FWD_...,6.101081,19327352832
ReLU570,Relu,ACTIVATION_FWD11079209957782049667<CUDNN_ACTIVATION_R...,0.379466,12582912
Convolution584,Conv,CONV_FWD_216464032928997474512<CUDNN_CONVOLUTION_FWD_...,6.101081,19327352832
ReLU588,Relu,ACTIVATION_FWD11079209957782049667<CUDNN_ACTIVATION_R...,0.379466,12582912
Times622,Gemm,GEMV_FWD274938397999783245,0.174778,8389632
ReLU636,Relu,ACTIVATION_FWD15668666079541543922<CUDNN_ACTIVATION_C...,0.012184,3072
Times656,Gemm,GEMV_FWD13163291899517530130,0.051772,2098176
ReLU670,Relu,ACTIVATION_FWD15668666079541543922<CUDNN_ACTIVATION_C...,0.012184,3072
Times690,Gemm,GEMV_FWD5882512189920149445,0.014857,16392
,,Total,90.253445,175957368840
