LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
batchnorm,BatchNorm,BATCHNORM_FWD_INFERENCE10192737418752381644<CUDNN_BAT...,97.049266,2835349504
activation,Relu,ACTIVATION_FWD15902962014910814925<CUDNN_ACTIVATION_R...,95.321797,4253024256
pooling,Pooling,POOLING_FWD9344212883043463267<CUDNN_POOLING_MAX_DETE...,63.830771,1417674752
convolution1,Conv,CONV_FWD_114890007717820903930<CUDNN_CONVOLUTION_FWD_...,261.638065,204145164288
batchnorm1,BatchNorm,BATCHNORM_FWD_INFERENCE4038308242110099184<CUDNN_BATC...,48.436447,1417674752
activation1,Relu,ACTIVATION_FWD7623390132675700465<CUDNN_ACTIVATION_RE...,47.682771,2126512128
pooling1,Pooling,POOLING_FWD13152842954767752117<CUDNN_POOLING_MAX_DET...,31.960429,708837376
convolution2,Conv,CONV_FWD_010003276336779241172<CUDNN_CONVOLUTION_FWD_...,143.412864,204145164288
batchnorm2,BatchNorm,BATCHNORM_FWD_INFERENCE12675215585998569480<CUDNN_BAT...,24.624717,708837376
activation2,Relu,ACTIVATION_FWD18313362831194179593<CUDNN_ACTIVATION_R...,23.851170,1063256064
pooling2,Pooling,POOLING_FWD3714918257921353179<CUDNN_POOLING_MAX>,16.838581,354418688
convolution3,Conv,CONV_FWD_215592108067323391814<CUDNN_CONVOLUTION_FWD_...,173.850331,204145164288
batchnorm3,BatchNorm,BATCHNORM_FWD_INFERENCE2385690281876086487<CUDNN_BATC...,12.378700,354418688
activation3,Relu,ACTIVATION_FWD8132066853582804694<CUDNN_ACTIVATION_RE...,11.923971,531628032
pooling3,Pooling,POOLING_FWD17163077439075565154<CUDNN_POOLING_MAX>,8.724199,177209344
convolution4,Conv,CONV_FWD_347120150555395062<CUDNN_CONVOLUTION_FWD_ALG...,58.287675,204145164288
batchnorm4,BatchNorm,BATCHNORM_FWD_INFERENCE13061523624665044097<CUDNN_BAT...,6.410690,177209344
activation4,Relu,ACTIVATION_FWD17781638411039652601<CUDNN_ACTIVATION_R...,5.969597,265814016
pooling4,Pooling,POOLING_FWD16726038229844318894<CUDNN_POOLING_MAX>,4.601143,88604672
convolution5,Conv,CONV_FWD_26943622370916607825<CUDNN_CONVOLUTION_FWD_A...,56.932904,204145164288
batchnorm5,BatchNorm,BATCHNORM_FWD_INFERENCE598518193442707970<CUDNN_BATCH...,4.828979,88604672
activation5,Relu,ACTIVATION_FWD6453401238353056259<CUDNN_ACTIVATION_RE...,2.999839,132907008
pooling5,Pooling,POOLING_FWD5279374397018827192<CUDNN_POOLING_MAX_DETE...,6.331518,150994944
convolution6,Conv,CONV_FWD_1843968789910403817<CUDNN_CONVOLUTION_FWD_AL...,201.182554,695784701952
batchnorm6,BatchNorm,BATCHNORM_FWD_INFERENCE13012487771625153780<CUDNN_BAT...,9.261621,150994944
activation6,Relu,ACTIVATION_FWD16525096485966032117<CUDNN_ACTIVATION_R...,4.578132,226492416
convolution7,Conv,CONV_FWD_43476012797867363054<CUDNN_CONVOLUTION_FWD_A...,382.980391,1391569403904
batchnorm7,BatchNorm,BATCHNORM_FWD_INFERENCE13012487771625153780<CUDNN_BAT...,9.261621,150994944
activation7,Relu,ACTIVATION_FWD16525096485966032117<CUDNN_ACTIVATION_R...,4.578132,226492416
convolution8,Conv,CONV_FWD_38052054197899594776<CUDNN_CONVOLUTION_FWD_A...,15.543549,18874368000
convolution8,Conv,ADD_TENSOR9955462619160502720,0.467524,18874368000
,,Total,1835.739948,3163436613632
