LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
vgg0_conv0_fwd,Conv,CONV_FWD_09360063573861841547<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.901265,1387266048
vgg0_conv0_fwd,Conv,ADD_TENSOR15696665459825818293,0.867597,1387266048
vgg0_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE662672154087817154<CUDNN_BATCHNORM_PER_ACTIVA...,1.575192,51380224
vgg0_relu0_fwd,Relu,ACTIVATION_FWD7398989864926418640<CUDNN_ACTIVATION_RELU>,1.079967,77070336
vgg0_conv1_fwd,Conv,CONV_FWD_212850432369675846762<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,8.237858,29595009024
vgg0_conv1_fwd,Conv,ADD_TENSOR15696665459825818293,0.867597,29595009024
vgg0_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE662672154087817154<CUDNN_BATCHNORM_PER_ACTIVA...,1.575192,51380224
vgg0_relu1_fwd,Relu,ACTIVATION_FWD7398989864926418640<CUDNN_ACTIVATION_RELU>,1.079967,77070336
vgg0_pool0_fwd,Pooling,POOLING_FWD13053183506076938602<CUDNN_POOLING_MAX_DETERMINISTIC>,0.526773,25690112
vgg0_conv2_fwd,Conv,CONV_FWD_48808304219822221242<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,4.113751,14797504512
vgg0_conv2_fwd,Conv,ADD_TENSOR9024135841580852973,0.438274,14797504512
vgg0_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17302733863642302019<CUDNN_BATCHNORM_PER_ACTI...,0.793324,25690112
vgg0_relu2_fwd,Relu,ACTIVATION_FWD11494204409581170513<CUDNN_ACTIVATION_RELU>,0.506588,38535168
vgg0_conv3_fwd,Conv,CONV_FWD_176612481102123833<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,7.270285,29595009024
vgg0_conv3_fwd,Conv,ADD_TENSOR9024135841580852973,0.438274,29595009024
vgg0_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17302733863642302019<CUDNN_BATCHNORM_PER_ACTI...,0.793324,25690112
vgg0_relu3_fwd,Relu,ACTIVATION_FWD11494204409581170513<CUDNN_ACTIVATION_RELU>,0.506588,38535168
vgg0_pool1_fwd,Pooling,POOLING_FWD7947798230750171919<CUDNN_POOLING_MAX_DETERMINISTIC>,0.294081,12845056
vgg0_conv4_fwd,Conv,CONV_FWD_014262349906789927127<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,4.143679,14797504512
vgg0_conv4_fwd,Conv,ADD_TENSOR4566852793408336727,0.223374,14797504512
vgg0_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14152381087296592040<CUDNN_BATCHNORM_PER_ACTI...,0.401722,12845056
