LayerName,LayerType,Theoretical Flops,flop_count_sp
Minus340,ElementWise,4096,16384
Block352,ElementWise,8192,16384
Convolution362,Conv,4718592,8175872
Plus364,ElementWise,262144,1048576
ReLU366,Relu,524288,524288
Convolution380,Conv,301989888,285720832
Plus382,ElementWise,262144,1048576
ReLU384,Relu,524288,524288
Pooling398,Pooling,0,65536
Dropout408,Dropout,0,556990
Convolution418,Conv,150994944,136954368
Plus420,ElementWise,131072,524288
ReLU422,Relu,262144,262144
Convolution436,Conv,301989888,273793536
Plus438,ElementWise,131072,524288
ReLU440,Relu,262144,262144
Pooling454,Pooling,0,32768
Dropout464,Dropout,0,278487
Convolution474,Conv,150994944,132170752
Plus476,ElementWise,65536,262144
ReLU478,Relu,131072,131072
Convolution492,Conv,301989888,264291328
Plus494,ElementWise,65536,262144
ReLU496,Relu,131072,131072
Convolution510,Conv,301989888,264291328
Plus512,ElementWise,65536,262144
ReLU514,Relu,131072,131072
Pooling528,Pooling,0,16384
Dropout538,Dropout,0,139234
Convolution548,Conv,75497472,75506688
Plus550,ElementWise,16384,65536
ReLU552,Relu,32768,32768
Convolution566,Conv,75497472,75506688
Plus568,ElementWise,16384,65536
ReLU570,Relu,32768,32768
Convolution584,Conv,75497472,75506688
Plus586,ElementWise,16384,65536
ReLU588,Relu,32768,32768
Pooling602,Pooling,0,4096
Dropout612,Dropout,0,34801
Times622,Gemm,8389632,8557568
Plus624,ElementWise,1024,802816
ReLU636,Relu,2048,100352
Dropout646,Dropout,0,8691
Times656,Gemm,2098176,2141184
Plus658,ElementWise,1024,802816
ReLU670,Relu,2048,100352
Dropout680,Dropout,0,8691
Times690,Gemm,16392,19192
Plus692,ElementWise,8,25088
