LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,236027904,245661696
conv_1,Conv,236027904,3211264
relu_1,Relu,1605632,1605632
maxpool_1,Pooling,0,200704
conv_2,Conv,24780800,25097280
conv_2,Conv,24780800,774400
relu_2,Relu,387200,387200
conv_3,Conv,669081600,672980160
conv_3,Conv,669081600,2323200
relu_3,Relu,1161600,1161600
maxpool_2,Pooling,0,139968
conv_4,Conv,17915904,18134592
conv_4,Conv,17915904,186624
relu_4,Relu,93312,93312
conv_5,Conv,26873856,37945344
conv_5,Conv,26873856,279936
relu_5,Relu,139968,139968
conv_6,Conv,161243136,162884736
conv_6,Conv,161243136,373248
relu_6,Relu,186624,186624
conv_7,Conv,4478976,9055632
conv_7,Conv,4478976,46656
relu_7,Relu,23328,23328
conv_8,Conv,18662400,18864928
conv_8,Conv,18662400,93312
relu_8,Relu,46656,46656
maxpool_3,Pooling,0,139968
conv_9,Conv,8957952,9067296
conv_9,Conv,8957952,93312
relu_9,Relu,46656,46656
conv_10,Conv,47775744,48327808
conv_10,Conv,47775744,373248
relu_10,Relu,186624,186624
conv_11,Conv,47775744,48327808
conv_11,Conv,47775744,373248
relu_11,Relu,186624,186624
conv_12,Conv,322486272,325722816
conv_12,Conv,322486272,559872
relu_12,Relu,279936,279936
conv_13,Conv,11943936,12081952
conv_13,Conv,11943936,93312
relu_13,Relu,46656,46656
conv_14,Conv,111974400,113119584
conv_14,Conv,111974400,279936
relu_14,Relu,139968,139968
maxpool_4,Pooling,0,186624
conv_15,Conv,23887872,24163904
conv_15,Conv,23887872,186624
relu_15,Relu,93312,93312
maxpool_5,Pooling,0,81120
conv_16,Conv,31150080,35421888
conv_16,Conv,31150080,129792
relu_16,Relu,64896,64896
conv_17,Conv,15575040,17710944
conv_17,Conv,15575040,64896
relu_17,Relu,32448,32448
conv_18,Conv,60742656,74352976
conv_18,Conv,60742656,140608
relu_18,Relu,70304,70304
conv_19,Conv,2595840,5900944
conv_19,Conv,2595840,10816
relu_19,Relu,5408,5408
conv_20,Conv,6489600,9838512
conv_20,Conv,6489600,32448
relu_20,Relu,16224,16224
maxpool_6,Pooling,0,81120
conv_21,Conv,10383360,11807296
conv_21,Conv,10383360,43264
relu_21,Relu,21632,21632
conv_22,Conv,27688960,31484320
conv_22,Conv,27688960,108160
relu_22,Relu,54080,54080
conv_23,Conv,19382272,25184752
conv_23,Conv,19382272,75712
relu_23,Relu,37856,37856
conv_24,Conv,76317696,86741984
conv_24,Conv,76317696,151424
relu_24,Relu,75712,75712
conv_25,Conv,4153344,16809984
conv_25,Conv,4153344,16224
relu_25,Relu,8112,8112
conv_26,Conv,12979200,19693568
