LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,1625868288,1650502656
conv_1,Conv,1625868288,2260992
relu_1,Relu,4478976,2239488
maxpool_1,Pooling,0,519168
conv2_2,Conv,3583180800,883886080
conv2_2,Conv,3583180800,1634304
relu_2,Relu,2985984,1492992
maxpool_2,Pooling,0,346112
conv_3,Conv,2392326144,2491935744
conv_3,Conv,2392326144,743424
relu_3,Relu,1038336,519168
conv4_2,Conv,1794244608,3737644032
conv4_2,Conv,1794244608,743424
relu_4,Relu,1038336,519168
conv5_2,Conv,1196163072,2491762688
conv5_2,Conv,1196163072,495616
relu_5,Relu,692224,346112
maxpool_3,Pooling,0,86016
gemm_1,Gemm,75501568,76992512
relu_6,Relu,8192,4096
dropout_1,Dropout,0,34794
dropout_1,Dropout,0,34794
gemm_2,Gemm,33558528,34230272
relu_7,Relu,8192,4096
dropout_2,Dropout,0,34794
dropout_2,Dropout,0,34794
gemm_3,Gemm,8193000,8523048
softmax_1,Softmax,3000,11260
