LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,812934144,1650502656
conv_1,Conv,812934144,2260992
relu_1,Relu,4478976,2239488
maxpool_1,Pooling,5038848,559104
conv2_2,Conv,1791590400,883886080
conv2_2,Conv,1791590400,1634304
relu_2,Relu,2985984,1492992
maxpool_2,Pooling,3115008,372736
conv_3,Conv,1196163072,2491935744
conv_3,Conv,1196163072,743424
relu_3,Relu,1038336,519168
conv4_2,Conv,897122304,3737644032
conv4_2,Conv,897122304,743424
relu_4,Relu,1038336,519168
conv5_2,Conv,598081536,2491762688
conv5_2,Conv,598081536,495616
relu_5,Relu,692224,346112
maxpool_3,Pooling,663552,86016
gemm_1,Gemm,37752832,76992512
relu_6,Relu,8192,4096
dropout_1,Dropout,4096,34794
dropout_1,Dropout,4096,34794
gemm_2,Gemm,16781312,34230272
relu_7,Relu,8192,4096
dropout_2,Dropout,4096,34794
dropout_2,Dropout,4096,34794
gemm_3,Gemm,819400,1645696
