LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,1625868288,1650502656
conv_1,Conv,1625868288,8957952
relu_1,Relu,4478976,4478976
maxpool_1,Pooling,0,559104
conv2_2,Conv,3583180800,7236667392
conv2_2,Conv,3583180800,5971968
relu_2,Relu,2985984,2985984
maxpool_2,Pooling,0,346112
conv_3,Conv,2392326144,2435312640
conv_3,Conv,2392326144,2076672
relu_3,Relu,1038336,1038336
conv4_2,Conv,1794244608,3652709376
conv4_2,Conv,1794244608,2076672
relu_4,Relu,1038336,1038336
conv5_2,Conv,1196163072,1684733952
conv5_2,Conv,1196163072,1384448
relu_5,Relu,692224,692224
maxpool_3,Pooling,0,86016
gemm_1,Gemm,75501568,76992512
relu_6,Relu,8192,8192
dropout_1,Dropout,0,34766
dropout_1,Dropout,0,34766
gemm_2,Gemm,33558528,34230272
relu_7,Relu,8192,8192
dropout_2,Dropout,0,34766
dropout_2,Dropout,0,34766
gemm_3,Gemm,1638600,1901000
