LayerName,LayerType,Theoretical Flops,flop_count_sp
resnetv15_conv0_fwd,Conv,118013952,245661696
resnetv15_batchnorm0_fwd,BatchNorm,1605632,15253504
resnetv15_relu0_fwd,Relu,1605632,1605632
resnetv15_pool0_fwd,Pooling,1806336,200704
resnetv15_stage1_conv0_fwd,Conv,115605504,231411712
resnetv15_stage1_batchnorm0_fwd,BatchNorm,401408,3813376
resnetv15_stage1_relu0_fwd,Relu,401408,401408
resnetv15_stage1_conv1_fwd,Conv,115605504,231411712
resnetv15_stage1_batchnorm1_fwd,BatchNorm,401408,3813376
resnetv15_stage1__plus0,ElementWise,200704,802816
resnetv15_stage1_activation0,Relu,401408,401408
resnetv15_stage1_conv2_fwd,Conv,115605504,231411712
resnetv15_stage1_batchnorm2_fwd,BatchNorm,401408,3813376
resnetv15_stage1_relu1_fwd,Relu,401408,401408
resnetv15_stage1_conv3_fwd,Conv,115605504,231411712
resnetv15_stage1_batchnorm3_fwd,BatchNorm,401408,3813376
resnetv15_stage1__plus1,ElementWise,200704,802816
resnetv15_stage1_activation1,Relu,401408,401408
resnetv15_stage2_conv2_fwd,Conv,6422528,13207552
resnetv15_stage2_batchnorm2_fwd,BatchNorm,200704,1906688
resnetv15_stage2_conv0_fwd,Conv,57802752,118065152
resnetv15_stage2_batchnorm0_fwd,BatchNorm,200704,1906688
resnetv15_stage2_relu0_fwd,Relu,200704,200704
resnetv15_stage2_conv1_fwd,Conv,115605504,236029952
resnetv15_stage2_batchnorm1_fwd,BatchNorm,200704,1906688
resnetv15_stage2__plus0,ElementWise,100352,401408
resnetv15_stage2_activation0,Relu,200704,200704
resnetv15_stage2_conv3_fwd,Conv,115605504,236029952
resnetv15_stage2_batchnorm3_fwd,BatchNorm,200704,1906688
resnetv15_stage2_relu1_fwd,Relu,200704,200704
resnetv15_stage2_conv4_fwd,Conv,115605504,236029952
resnetv15_stage2_batchnorm4_fwd,BatchNorm,200704,1906688
resnetv15_stage2__plus1,ElementWise,100352,401408
resnetv15_stage2_activation1,Relu,200704,200704
resnetv15_stage3_conv2_fwd,Conv,6422528,14730240
resnetv15_stage3_batchnorm2_fwd,BatchNorm,100352,953344
resnetv15_stage3_conv0_fwd,Conv,57802752,132170752
resnetv15_stage3_batchnorm0_fwd,BatchNorm,100352,953344
resnetv15_stage3_relu0_fwd,Relu,100352,100352
resnetv15_stage3_conv1_fwd,Conv,115605504,264291328
resnetv15_stage3_batchnorm1_fwd,BatchNorm,100352,953344
resnetv15_stage3__plus0,ElementWise,50176,200704
resnetv15_stage3_activation0,Relu,100352,100352
resnetv15_stage3_conv3_fwd,Conv,115605504,264291328
resnetv15_stage3_batchnorm3_fwd,BatchNorm,100352,953344
resnetv15_stage3_relu1_fwd,Relu,100352,100352
resnetv15_stage3_conv4_fwd,Conv,115605504,264291328
resnetv15_stage3_batchnorm4_fwd,BatchNorm,100352,953344
resnetv15_stage3__plus1,ElementWise,50176,200704
resnetv15_stage3_activation1,Relu,100352,100352
resnetv15_stage4_conv2_fwd,Conv,6422528,16802304
resnetv15_stage4_batchnorm2_fwd,BatchNorm,50176,476672
resnetv15_stage4_conv0_fwd,Conv,57802752,302120960
resnetv15_stage4_batchnorm0_fwd,BatchNorm,50176,476672
resnetv15_stage4_relu0_fwd,Relu,50176,50176
resnetv15_stage4_conv1_fwd,Conv,115605504,302014976
resnetv15_stage4_batchnorm1_fwd,BatchNorm,50176,476672
resnetv15_stage4__plus0,ElementWise,25088,100352
resnetv15_stage4_activation0,Relu,50176,50176
resnetv15_stage4_conv3_fwd,Conv,115605504,302014976
resnetv15_stage4_batchnorm3_fwd,BatchNorm,50176,476672
resnetv15_stage4_relu1_fwd,Relu,50176,50176
resnetv15_stage4_conv4_fwd,Conv,115605504,302014976
resnetv15_stage4_batchnorm4_fwd,BatchNorm,50176,476672
resnetv15_stage4__plus1,ElementWise,25088,100352
resnetv15_stage4_activation1,Relu,50176,50176
resnetv15_dense0_fwd,Gemm,513000,1073256
