LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv17_conv0_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_2964769934182490099<CUDNN_C...,3.998587,30211571712
resnetv17_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_18195742652857...,2.179128,205520896
resnetv17_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_10700186793041852316<CU...,1.259934,308281344
resnetv17_pool0_fwd,Pooling,POOLING_FWD_TENSORCOREHALF_4054163678183783156<CUDNN_...,1.151505,231211008
resnetv17_stage1_conv0_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_2_TENSORCOREHALF_70942376571...,0.559923,3288334336
resnetv17_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_17887897740646...,0.335950,51380224
resnetv17_stage1_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_10431573151567322168<CU...,0.253380,77070336
resnetv17_stage1_conv1_fwd,Conv,CONV_FWD_3_TENSORCOREHALF_16015430070961325689<CUDNN_...,1.114506,29595009024
resnetv17_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_17887897740646...,0.335950,51380224
resnetv17_stage1_relu1_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_10431573151567322168<CU...,0.253380,77070336
resnetv17_stage1_conv2_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_3_TENSORCOREHALF_97722150568...,2.653922,13153337344
resnetv17_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_62656017571977...,2.178947,205520896
resnetv17_stage1_conv3_fwd,Conv,CONV_FWD_3_TENSORCOREHALF_3493211741486029180<CUDNN_C...,2.319054,13153337344
resnetv17_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_62656017571977...,2.178947,205520896
resnetv17_stage1_activation0,Relu,ACTIVATION_FWD_TENSORCOREHALF_4470125140343557212<CUD...,1.259981,308281344
resnetv17_stage1_conv4_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_2_TENSORCOREHALF_16938621415...,1.527983,13153337344
resnetv17_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_17887897740646...,0.335950,51380224
resnetv17_stage1_relu2_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_10431573151567322168<CU...,0.253380,77070336
resnetv17_stage1_conv5_fwd,Conv,CONV_FWD_3_TENSORCOREHALF_16015430070961325689<CUDNN_...,1.114506,29595009024
resnetv17_stage1_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_17887897740646...,0.335950,51380224
resnetv17_stage1_relu3_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_10431573151567322168<CU...,0.253380,77070336
resnetv17_stage1_conv6_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_3_TENSORCOREHALF_97722150568...,2.653922,13153337344
resnetv17_stage1_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_62656017571977...,2.178947,205520896
resnetv17_stage1_activation1,Relu,ACTIVATION_FWD_TENSORCOREHALF_4470125140343557212<CUD...,1.259981,308281344
resnetv17_stage1_conv7_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_2_TENSORCOREHALF_16938621415...,1.527983,13153337344
resnetv17_stage1_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_17887897740646...,0.335950,51380224
