LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv17_conv0_fwd,Conv,CONV_FWD_0_TENSORCOREHALF_12770488739701185754<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>,0.748070,3776446464
resnetv17_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_8153177858002563666<CUDNN_BATCHNORM_PER_ACTIVATION>,0.276548,25690112
resnetv17_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_6012616492224805484<CUDNN_ACTIVATION_RELU>,0.120524,38535168
resnetv17_pool0_fwd,Pooling,POOLING_FWD_TENSORCOREHALF_2703722332032051931<CUDNN_POOLING_MAX>,0.149481,28901376
resnetv17_stage1_conv0_fwd,Conv,"CONV_BIAS_ACTIVATION_FWD_4_TENSORCOREHALF_8339298634155209321<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_GEMM, CUDN...",0.067006,411041792
resnetv17_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_321669949449251822<CUDNN_BATCHNORM_PER_ACTIVATION>,0.045613,6422528
resnetv17_stage1_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_2747828929035461584<CUDNN_ACTIVATION_RELU>,0.032983,9633792
resnetv17_stage1_conv1_fwd,Conv,CONV_FWD_0_TENSORCOREHALF_3301842615663706758<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_GEMM>,0.106708,3699376128
resnetv17_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_321669949449251822<CUDNN_BATCHNORM_PER_ACTIVATION>,0.045613,6422528
resnetv17_stage1_relu1_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_2747828929035461584<CUDNN_ACTIVATION_RELU>,0.032983,9633792
resnetv17_stage1_conv2_fwd,Conv,"CONV_BIAS_ACTIVATION_FWD_4_TENSORCOREHALF_7047528678967442956<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_GEMM, CUDN...",0.119519,1644167168
resnetv17_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_15232171443731032450<CUDNN_BATCHNORM_PER_ACTIVATION>,0.276643,25690112
resnetv17_stage1_conv3_fwd,Conv,CONV_FWD_0_TENSORCOREHALF_14117338993651359107<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_GEMM>,0.104442,1644167168
resnetv17_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_15232171443731032450<CUDNN_BATCHNORM_PER_ACTIVATION>,0.276643,25690112
resnetv17_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD_TENSORCOREHALF_6463498783093298247,0.254905,12845056
resnetv17_stage1_activation0,Relu,ACTIVATION_FWD_TENSORCOREHALF_17381495418957570492<CUDNN_ACTIVATION_RELU>,0.211714,38535168
resnetv17_stage1_conv4_fwd,Conv,"CONV_BIAS_ACTIVATION_FWD_0_TENSORCOREHALF_16369154045623889543<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_GEMM, CUD...",0.106583,1644167168
