LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD10561411637126037500<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.046705,236027904
conv_1,Conv,ADD_TENSOR4011698582896250467,0.009943,236027904
relu_1,Relu,ACTIVATION_FWD8731790411514196767<CUDNN_ACTIVATION_RELU>,0.011131,2408448
maxpool_1,Pooling,POOLING_FWD9570965962646194981<CUDNN_POOLING_MAX>,0.009100,1806336
conv_2,Conv,CONV_FWD17452696648446571200<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.013451,25690112
conv_2,Conv,ADD_TENSOR6271735633126097759,0.006413,25690112
relu_2,Relu,ACTIVATION_FWD13557477638093759051<CUDNN_ACTIVATION_RELU>,0.005806,602112
conv_3,Conv,CONV_FWD10662148419482117629<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.059475,693633024
conv_3,Conv,ADD_TENSOR3948053825303319650,0.009339,693633024
relu_3,Relu,ACTIVATION_FWD9242913849705038957<CUDNN_ACTIVATION_RELU>,0.007071,1806336
maxpool_2,Pooling,POOLING_FWD6567362934457967176<CUDNN_POOLING_MAX_DETERMINISTIC>,0.007894,1354752
conv_4,Conv,CONV_FWD14308346448410204277<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.015120,19267584
conv_4,Conv,ADD_TENSOR7182313689941060074,0.005571,19267584
relu_4,Relu,ACTIVATION_FWD14788517072062388191<CUDNN_ACTIVATION_RELU>,0.005354,150528
conv_5,Conv,CONV_FWD14136724815268146868<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.015744,28901376
conv_5,Conv,ADD_TENSOR6994790780056051499,0.005707,28901376
relu_5,Relu,ACTIVATION_FWD15303403217780868261<CUDNN_ACTIVATION_RELU>,0.005437,225792
conv_6,Conv,CONV_FWD6602975366167399320<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.030979,173408256
conv_6,Conv,ADD_TENSOR18347588375251974663,0.005819,173408256
relu_6,Relu,ACTIVATION_FWD8928652341575007392<CUDNN_ACTIVATION_RELU>,0.005578,301056
conv_7,Conv,CONV_FWD8635009853650860713<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.015046,4816896
conv_7,Conv,ADD_TENSOR15197527510644525878,0.005385,4816896
relu_7,Relu,ACTIVATION_FWD2001195147752358360<CUDNN_ACTIVATION_RELU>,0.005324,37632
conv_8,Conv,CONV_FWD4838405449351941394<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.022998,20070400
conv_8,Conv,ADD_TENSOR16580205890549136525,0.005401,20070400
relu_8,Relu,ACTIVATION_FWD14277212386201204674<CUDNN_ACTIVATION_CLIPPED_RELU...,0.005329,75264
maxpool_3,Pooling,POOLING_FWD14923411175791254962<CUDNN_POOLING_AVERAGE_COUNT_INCL...,0.008428,1354752
conv_9,Conv,CONV_FWD9042777506059651579<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.014874,9633792
conv_9,Conv,ADD_TENSOR15583483086019426404,0.005414,9633792
relu_9,Relu,ACTIVATION_FWD14277212386201204674<CUDNN_ACTIVATION_CLIPPED_RELU...,0.005329,75264
conv_10,Conv,CONV_FWD1650271673254265136<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.019221,51380224
conv_10,Conv,ADD_TENSOR12960005273361002671,0.005800,51380224
relu_10,Relu,ACTIVATION_FWD8928652341575007392<CUDNN_ACTIVATION_RELU>,0.005578,301056
conv_11,Conv,CONV_FWD1650271673254265136<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.019221,51380224
conv_11,Conv,ADD_TENSOR12960005273361002671,0.005800,51380224
relu_11,Relu,ACTIVATION_FWD8928652341575007392<CUDNN_ACTIVATION_RELU>,0.005578,301056
conv_12,Conv,CONV_FWD475482092721784816<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.040263,346816512
conv_12,Conv,ADD_TENSOR11791691595174590063,0.006185,346816512
relu_12,Relu,ACTIVATION_FWD17571973707714745213<CUDNN_ACTIVATION_RELU>,0.005726,451584
conv_13,Conv,CONV_FWD756214816848634275<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.017197,12845056
conv_13,Conv,ADD_TENSOR12629039110750507068,0.005401,12845056
relu_13,Relu,ACTIVATION_FWD14277212386201204674<CUDNN_ACTIVATION_CLIPPED_RELU...,0.005329,75264
conv_14,Conv,CONV_FWD3535039583639403291<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.042867,120422400
conv_14,Conv,ADD_TENSOR10678943686046222980,0.005688,120422400
relu_14,Relu,ACTIVATION_FWD15303403217780868261<CUDNN_ACTIVATION_RELU>,0.005437,225792
maxpool_4,Pooling,POOLING_FWD13266021206455465450<CUDNN_POOLING_AVERAGE_COUNT_INCL...,0.009910,1806336
conv_15,Conv,CONV_FWD12795164338633846829<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.017523,25690112
conv_15,Conv,ADD_TENSOR1489652828777398706,0.005603,25690112
relu_15,Relu,ACTIVATION_FWD14788517072062388191<CUDNN_ACTIVATION_RELU>,0.005354,150528
maxpool_5,Pooling,POOLING_FWD16974095963733317886<CUDNN_POOLING_MAX>,0.007201,846720
conv_16,Conv,CONV_FWD3073856231518116782<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.025653,36126720
conv_16,Conv,ADD_TENSOR10346253245473155633,0.005537,36126720
relu_16,Relu,ACTIVATION_FWD10920868867942923529<CUDNN_ACTIVATION_CLIPPED_RELU...,0.005332,112896
conv_17,Conv,CONV_FWD13086064112335333682<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.025051,18063360
conv_17,Conv,ADD_TENSOR1199866855525111981,0.005392,18063360
relu_17,Relu,ACTIVATION_FWD14174218363456462125<CUDNN_ACTIVATION_CLIPPED_RELU...,0.005299,56448
conv_18,Conv,CONV_FWD15634407727431969055<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.030487,70447104
conv_18,Conv,ADD_TENSOR9062741669771647104,0.005538,70447104
relu_18,Relu,ACTIVATION_FWD14920014419606312712<CUDNN_ACTIVATION_CLIPPED_RELU...,0.005342,122304
conv_19,Conv,CONV_FWD459650964319026479<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.025275,3010560
conv_19,Conv,ADD_TENSOR11771498392751721648,0.005416,3010560
relu_19,Relu,ACTIVATION_FWD10711696666906384792<CUDNN_ACTIVATION_CLIPPED_RELU...,0.005260,9408
conv_20,Conv,CONV_FWD4264202949937560660<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.023065,7526400
conv_20,Conv,ADD_TENSOR11389810766830472651,0.005426,7526400
relu_20,Relu,ACTIVATION_FWD12689390318470366136<CUDNN_ACTIVATION_RELU>,0.005298,28224
maxpool_6,Pooling,POOLING_FWD17203226837282514895<CUDNN_POOLING_MAX>,0.006851,846720
conv_21,Conv,CONV_FWD13197166364177702899<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.025232,12042240
conv_21,Conv,ADD_TENSOR1303793829779959404,0.005435,12042240
relu_21,Relu,ACTIVATION_FWD5874626462801946075<CUDNN_ACTIVATION_RELU>,0.005248,37632
conv_22,Conv,CONV_FWD3386354338846125632<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.026545,32112640
conv_22,Conv,ADD_TENSOR10071031877104066527,0.005466,32112640
relu_22,Relu,ACTIVATION_FWD304623015127258585<CUDNN_ACTIVATION_RELU>,0.005339,94080
conv_23,Conv,CONV_FWD10262011590053089842<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.026475,22478848
conv_23,Conv,ADD_TENSOR3122186815510193069,0.005402,22478848
relu_23,Relu,ACTIVATION_FWD5626863550794242251<CUDNN_ACTIVATION_RELU>,0.005282,65856
conv_24,Conv,CONV_FWD17702183211919846277<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.033471,88510464
conv_24,Conv,ADD_TENSOR5807119732665965082,0.005554,88510464
relu_24,Relu,ACTIVATION_FWD11579111737348777997<CUDNN_ACTIVATION_RELU>,0.005346,131712
conv_25,Conv,CONV_FWD1237014312135690574<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.026656,4816896
conv_25,Conv,ADD_TENSOR12976841405040621777,0.005405,4816896
relu_25,Relu,ACTIVATION_FWD4108898217390651459<CUDNN_ACTIVATION_RELU>,0.005181,14112
conv_26,Conv,CONV_FWD8230486463200175269<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.030547,15052800
conv_26,Conv,ADD_TENSOR15493876553437140282,0.005421,15052800
relu_26,Relu,ACTIVATION_FWD5874626462801946075<CUDNN_ACTIVATION_RELU>,0.005248,37632
maxpool_7,Pooling,POOLING_FWD17758017938232302131<CUDNN_POOLING_MAX>,0.006923,903168
conv_27,Conv,CONV_FWD12676160091257479695<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.026416,12845056
conv_27,Conv,ADD_TENSOR781098589966848912,0.005395,12845056
relu_27,Relu,ACTIVATION_FWD5874626462801946075<CUDNN_ACTIVATION_RELU>,0.005248,37632
conv_28,Conv,CONV_FWD620857977004577554<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.026488,25690112
conv_28,Conv,ADD_TENSOR12511134437992931981,0.005427,25690112
relu_28,Relu,ACTIVATION_FWD3423468786133236244<CUDNN_ACTIVATION_RELU>,0.005339,75264
conv_29,Conv,CONV_FWD620857977004577554<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.026488,25690112
conv_29,Conv,ADD_TENSOR12511134437992931981,0.005427,25690112
relu_29,Relu,ACTIVATION_FWD3423468786133236244<CUDNN_ACTIVATION_RELU>,0.005339,75264
conv_30,Conv,CONV_FWD9412980216849938868<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.037008,115605504
conv_30,Conv,ADD_TENSOR2854260532665665579,0.005548,115605504
relu_30,Relu,ACTIVATION_FWD135336045844557035<CUDNN_ACTIVATION_RELU>,0.005346,150528
conv_31,Conv,CONV_FWD1237014312135690574<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.026656,4816896
conv_31,Conv,ADD_TENSOR12976841405040621777,0.005405,4816896
relu_31,Relu,ACTIVATION_FWD4108898217390651459<CUDNN_ACTIVATION_RELU>,0.005181,14112
conv_32,Conv,CONV_FWD8230486463200175269<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.030547,15052800
conv_32,Conv,ADD_TENSOR15493876553437140282,0.005421,15052800
relu_32,Relu,ACTIVATION_FWD5874626462801946075<CUDNN_ACTIVATION_RELU>,0.005248,37632
maxpool_8,Pooling,POOLING_FWD17758017938232302131<CUDNN_POOLING_MAX>,0.006923,903168
conv_33,Conv,CONV_FWD12676160091257479695<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.026416,12845056
conv_33,Conv,ADD_TENSOR781098589966848912,0.005395,12845056
relu_33,Relu,ACTIVATION_FWD5874626462801946075<CUDNN_ACTIVATION_RELU>,0.005248,37632
conv_34,Conv,CONV_FWD10262011590053089842<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.026475,22478848
conv_34,Conv,ADD_TENSOR3122186815510193069,0.005402,22478848
relu_34,Relu,ACTIVATION_FWD5626863550794242251<CUDNN_ACTIVATION_RELU>,0.005282,65856
