LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
_minusscalar0,ElementWise,OP_TENSOR_ADD_FWD14388892001096911963,0.005977,37632
_mulscalar0,ElementWise,OP_TENSOR_MUL_FWD8587514223965954473,0.005991,75264
conv0,Conv,CONV_FWD_26045756764481009460<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.024983,43352064
bn0,BatchNorm,BATCHNORM_FWD_INFERENCE8485617627681512661<CUDNN_BATCHNORM_PER_A...,0.050386,1605632
relu0,Relu,ACTIVATION_FWD13750843308416020242<CUDNN_ACTIVATION_RELU>,0.020605,2408448
stage1_unit1_bn1,BatchNorm,BATCHNORM_FWD_INFERENCE8485617627681512661<CUDNN_BATCHNORM_PER_A...,0.050386,1605632
stage1_unit1_conv1,Conv,CONV_FWD_07085648214971764025<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.088338,924844032
stage1_unit1_bn2,BatchNorm,BATCHNORM_FWD_INFERENCE8485617627681512661<CUDNN_BATCHNORM_PER_A...,0.050386,1605632
stage1_unit1_relu1,Relu,ACTIVATION_FWD13750843308416020242<CUDNN_ACTIVATION_RELU>,0.020605,2408448
stage1_unit1_conv2,Conv,CONV_FWD_113863184191932093639<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.096936,231211008
stage1_unit1_bn3,BatchNorm,BATCHNORM_FWD_INFERENCE12739174055704890753<CUDNN_BATCHNORM_PER_...,0.017259,401408
stage1_unit1_conv1sc,Conv,CONV_FWD_07442849847783452189<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.021578,25690112
stage1_unit1_sc,BatchNorm,BATCHNORM_FWD_INFERENCE12739174055704890753<CUDNN_BATCHNORM_PER_...,0.017259,401408
_plus0,ElementWise,OP_TENSOR_ADD_FWD10387049101011244432,0.016232,200704
stage1_unit2_bn1,BatchNorm,BATCHNORM_FWD_INFERENCE12739174055704890753<CUDNN_BATCHNORM_PER_...,0.017259,401408
stage1_unit2_conv1,Conv,CONV_FWD_216064902162072726376<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.032927,231211008
stage1_unit2_bn2,BatchNorm,BATCHNORM_FWD_INFERENCE12739174055704890753<CUDNN_BATCHNORM_PER_...,0.017259,401408
stage1_unit2_relu1,Relu,ACTIVATION_FWD8925171475148176966<CUDNN_ACTIVATION_RELU>,0.006374,602112
stage1_unit2_conv2,Conv,CONV_FWD_216064902162072726376<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.032927,231211008
