LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD10561411637126037500<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.046903,236027904
conv_1,Conv,ADD_TENSOR4011698582896250467,0.013767,236027904
relu_1,Relu,ACTIVATION_FWD8731790411514196767<CUDNN_ACTIVATION_RELU>,0.012827,2408448
maxpool_1,Pooling,POOLING_FWD9570965962646194981<CUDNN_POOLING_MAX>,0.011314,1742400
conv_2,Conv,CONV_FWD17877970930560652356<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.018458,24780800
conv_2,Conv,ADD_TENSOR6712209114941433307,0.009342,24780800
relu_2,Relu,ACTIVATION_FWD17215024788201045314<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008741,580800
conv_3,Conv,CONV_FWD11085803498168927097<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.061662,669081600
conv_3,Conv,ADD_TENSOR4388035447143445222,0.012340,669081600
relu_3,Relu,ACTIVATION_FWD14289688402102769308<CUDNN_ACTIVATION_RELU>,0.009847,1742400
maxpool_2,Pooling,POOLING_FWD5815431148810300661<CUDNN_POOLING_MAX>,0.010125,1259712
conv_4,Conv,CONV_FWD5061871669701308861<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.021675,17915904
conv_4,Conv,ADD_TENSOR16357812721070243874,0.008317,17915904
relu_4,Relu,ACTIVATION_FWD2972221743649795636<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008130,139968
conv_5,Conv,CONV_FWD4936411857547118460<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.021959,26873856
conv_5,Conv,ADD_TENSOR16265991507246692067,0.008683,26873856
relu_5,Relu,ACTIVATION_FWD7744760979520937502<CUDNN_ACTIVATION_RELU>,0.008833,209952
conv_6,Conv,CONV_FWD15784112991459254864<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.038682,161243136
conv_6,Conv,ADD_TENSOR9093240803276641231,0.008978,161243136
relu_6,Relu,ACTIVATION_FWD14320052443616424887<CUDNN_ACTIVATION_CLIPPED_RELU...,0.009005,279936
conv_7,Conv,CONV_FWD17833026962223125345<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.021442,4478976
conv_7,Conv,ADD_TENSOR5928534809112421118,0.008186,4478976
relu_7,Relu,ACTIVATION_FWD3700692825224730099<CUDNN_ACTIVATION_RELU>,0.008088,34992
conv_8,Conv,CONV_FWD14090474747082138842<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.032970,18662400
conv_8,Conv,ADD_TENSOR7401293625438213445,0.008238,18662400
relu_8,Relu,ACTIVATION_FWD5229742042898716061<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008742,69984
maxpool_3,Pooling,POOLING_FWD2280090511925807489<CUDNN_POOLING_MAX>,0.010010,1259712
conv_9,Conv,CONV_FWD18289243452015812659<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.021609,8957952
conv_9,Conv,ADD_TENSOR6407975149422793132,0.009011,8957952
relu_9,Relu,ACTIVATION_FWD5229742042898716061<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008742,69984
conv_10,Conv,CONV_FWD10829157539466930424<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.033127,47775744
conv_10,Conv,ADD_TENSOR3707909580722903399,0.008934,47775744
relu_10,Relu,ACTIVATION_FWD14320052443616424887<CUDNN_ACTIVATION_CLIPPED_RELU...,0.009005,279936
conv_11,Conv,CONV_FWD10829157539466930424<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.033127,47775744
conv_11,Conv,ADD_TENSOR3707909580722903399,0.008934,47775744
relu_11,Relu,ACTIVATION_FWD14320052443616424887<CUDNN_ACTIVATION_CLIPPED_RELU...,0.009005,279936
conv_12,Conv,CONV_FWD9671291420767645240<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.045471,322486272
conv_12,Conv,ADD_TENSOR2524994609261158311,0.009182,322486272
relu_12,Relu,ACTIVATION_FWD13746431358667031922<CUDNN_ACTIVATION_RELU>,0.008580,419904
conv_13,Conv,CONV_FWD10002645823365105771<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.025151,11943936
conv_13,Conv,ADD_TENSOR3453495753510631924,0.008245,11943936
relu_13,Relu,ACTIVATION_FWD5229742042898716061<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008742,69984
conv_14,Conv,CONV_FWD12799493999590888147<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.054614,111974400
conv_14,Conv,ADD_TENSOR1485394631749346124,0.008633,111974400
relu_14,Relu,ACTIVATION_FWD7744760979520937502<CUDNN_ACTIVATION_RELU>,0.008833,209952
maxpool_4,Pooling,POOLING_FWD7540285098489405913<CUDNN_POOLING_MAX>,0.011010,1679616
conv_15,Conv,CONV_FWD3548724439272823269<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.025026,23887872
conv_15,Conv,ADD_TENSOR10665187357829916794,0.008307,23887872
relu_15,Relu,ACTIVATION_FWD2972221743649795636<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008130,139968
maxpool_5,Pooling,POOLING_FWD7675915562594048271<CUDNN_POOLING_MAX>,0.008636,730080
conv_16,Conv,CONV_FWD3670551339277467370<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.037091,31150080
conv_16,Conv,ADD_TENSOR10938587672932601717,0.008227,31150080
relu_16,Relu,ACTIVATION_FWD1814196752091065573<CUDNN_ACTIVATION_RELU>,0.008792,97344
conv_17,Conv,CONV_FWD12521103109177052278<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.037047,15575040
conv_17,Conv,ADD_TENSOR647996654991146473,0.008204,15575040
relu_17,Relu,ACTIVATION_FWD12365708531632252593<CUDNN_ACTIVATION_RELU>,0.008082,48672
conv_18,Conv,CONV_FWD13880234738880466011<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.038343,60742656
conv_18,Conv,ADD_TENSOR7322218035751370180,0.008304,60742656
relu_18,Relu,ACTIVATION_FWD15409522921626465444<CUDNN_ACTIVATION_RELU>,0.008736,105456
conv_19,Conv,CONV_FWD2178034780662339691<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.036938,2595840
conv_19,Conv,ADD_TENSOR13475946981549009396,0.008178,2595840
relu_19,Relu,ACTIVATION_FWD7113755522867877372<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008710,8112
conv_20,Conv,CONV_FWD2555107756281878800<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.032955,6489600
conv_20,Conv,ADD_TENSOR9676073417906595983,0.008269,6489600
relu_20,Relu,ACTIVATION_FWD16452479447971596128<CUDNN_ACTIVATION_RELU>,0.008689,24336
maxpool_6,Pooling,POOLING_FWD17791134579386827403<CUDNN_POOLING_MAX>,0.008444,730080
conv_21,Conv,CONV_FWD12645313807405431479<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.037031,10383360
conv_21,Conv,ADD_TENSOR738850504743111464,0.008190,10383360
relu_21,Relu,ACTIVATION_FWD12147938280417277191<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008120,32448
conv_22,Conv,CONV_FWD3937925489400941316<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.038817,27688960
conv_22,Conv,ADD_TENSOR10636256745868622491,0.008233,27688960
relu_22,Relu,ACTIVATION_FWD8318363237305262241<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008102,81120
conv_23,Conv,CONV_FWD10822449116475029366<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.038888,19382272
conv_23,Conv,ADD_TENSOR3678545170968676073,0.008259,19382272
relu_23,Relu,ACTIVATION_FWD15500300406141075183<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008135,56784
conv_24,Conv,CONV_FWD17145807264274714305<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.042477,76317696
conv_24,Conv,ADD_TENSOR5246664614057541470,0.008265,76317696
relu_24,Relu,ACTIVATION_FWD5763341334437990465<CUDNN_ACTIVATION_RELU>,0.008751,113568
conv_25,Conv,CONV_FWD680655956708273162<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.038840,4153344
conv_25,Conv,ADD_TENSOR12416403878658137493,0.008184,4153344
relu_25,Relu,ACTIVATION_FWD12854748157225472871<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008097,12168
conv_26,Conv,CONV_FWD7665235274871374305<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_...,0.041575,12979200
conv_26,Conv,ADD_TENSOR14942279083326337150,0.008210,12979200
relu_26,Relu,ACTIVATION_FWD12147938280417277191<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008120,32448
maxpool_7,Pooling,POOLING_FWD17161470165035810679<CUDNN_POOLING_MAX>,0.009026,778752
conv_27,Conv,CONV_FWD13236687863494936395<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.038827,11075584
conv_27,Conv,ADD_TENSOR1337542758843152084,0.008179,11075584
relu_27,Relu,ACTIVATION_FWD12147938280417277191<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008120,32448
conv_28,Conv,CONV_FWD1208466634736858710<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.038738,22151168
conv_28,Conv,ADD_TENSOR13112396848294528969,0.008193,22151168
relu_28,Relu,ACTIVATION_FWD8018231500763011608<CUDNN_ACTIVATION_RELU>,0.008071,64896
conv_29,Conv,CONV_FWD1208466634736858710<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.038738,22151168
conv_29,Conv,ADD_TENSOR13112396848294528969,0.008193,22151168
relu_29,Relu,ACTIVATION_FWD8018231500763011608<CUDNN_ACTIVATION_RELU>,0.008071,64896
conv_30,Conv,CONV_FWD11167082819441335536<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.045272,99680256
conv_30,Conv,ADD_TENSOR4594995290062318959,0.008312,99680256
relu_30,Relu,ACTIVATION_FWD4136218071050283303<CUDNN_ACTIVATION_RELU>,0.008090,129792
conv_31,Conv,CONV_FWD680655956708273162<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.038840,4153344
conv_31,Conv,ADD_TENSOR12416403878658137493,0.008184,4153344
relu_31,Relu,ACTIVATION_FWD12854748157225472871<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008097,12168
conv_32,Conv,CONV_FWD7665235274871374305<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_...,0.041575,12979200
conv_32,Conv,ADD_TENSOR14942279083326337150,0.008210,12979200
