LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv1_1_3x3_s2,Conv,CONV_FWD5207926569643148001<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM...,0.800031,276480000
conv1_1_3x3_s2/bn,BatchNorm,BATCHNORM_FWD_INFERENCE9734598297839443202<CUDNN_BATCHNORM_PER_ACTIV...,1.893417,20480000
conv1_1_3x3_s2/relu,Relu,ACTIVATION_FWD10085609917221139144<CUDNN_ACTIVATION_RELU>,0.541611,20480000
conv1_2_3x3,Conv,CONV_FWD8363063692567346969<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,4.893081,5898240000
conv1_2_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE9734598297839443202<CUDNN_BATCHNORM_PER_ACTIV...,1.893417,20480000
conv1_2_3x3/relu,Relu,ACTIVATION_FWD10085609917221139144<CUDNN_ACTIVATION_RELU>,0.541611,20480000
conv1_3_3x3,Conv,CONV_FWD15238190357410778628<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,9.707306,11796480000
conv1_3_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE7492085149678817085<CUDNN_BATCHNORM_PER_ACTIV...,3.766225,40960000
conv1_3_3x3/relu,Relu,ACTIVATION_FWD7716441754775134455<CUDNN_ACTIVATION_RELU>,1.088567,40960000
pool1_3x3_s2,Pooling,POOLING_FWD6212348364225228261<CUDNN_POOLING_MAX>,1.068903,45620352
conv2_1_1x1_reduce,Conv,CONV_FWD4435839713185807064<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PREC...,0.624930,324411392
conv2_1_1x1_reduce/bn,BatchNorm,BATCHNORM_FWD_INFERENCE16993626331195697621<CUDNN_BATCHNORM_PER_ACTI...,0.476268,5068928
conv2_1_1x1_reduce/relu,Relu,ACTIVATION_FWD16661638874500171295<CUDNN_ACTIVATION_RELU>,0.196744,5068928
conv2_1_3x3,Conv,CONV_FWD11415239797488517369<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.327647,1459851264
conv2_1_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE16993626331195697621<CUDNN_BATCHNORM_PER_ACTI...,0.476268,5068928
conv2_1_3x3/relu,Relu,ACTIVATION_FWD16661638874500171295<CUDNN_ACTIVATION_RELU>,0.196744,5068928
conv2_1_1x1_increase,Conv,CONV_FWD8093893513391464444<CUDNN_CONVOLUTION_FWD_ALGO_GEMM>,1.887982,648822784
conv2_1_1x1_increase/bn,BatchNorm,BATCHNORM_FWD_INFERENCE16298302782500610341<CUDNN_BATCHNORM_PER_ACTI...,1.868755,20275712
conv2_1_1x1_proj,Conv,CONV_FWD3457003806800311997<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PREC...,1.732592,1297645568
conv2_1_1x1_proj/bn,BatchNorm,BATCHNORM_FWD_INFERENCE16298302782500610341<CUDNN_BATCHNORM_PER_ACTI...,1.868755,20275712
conv2_1,ElementWise,OP_TENSOR_ADD_FWD14034238261145958708,1.160436,10137856
conv2_1_relu,Relu,ACTIVATION_FWD17203822442607103727<CUDNN_ACTIVATION_CLIPPED_RELU>,1.114110,20275712
conv2_2_1x1_reduce,Conv,CONV_FWD16952792234314226232<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRE...,1.152774,648822784
