LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
mobilenetv20_features_conv0_fwd,Conv,CONV_FWD10520510898260125319<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEM...,0.048566,21676032
mobilenetv20_features_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10117904029390974122<CUDNN_BATCHNORM_SPATIAL>,0.034715,802816
mobilenetv20_features_relu0_fwd,Relu,ACTIVATION_FWD5875478700748844674<CUDNN_ACTIVATION_CLIPPED_RELU>,0.031242,1204224
mobilenetv20_features_linearbottleneck0_conv0_fwd,Conv,CONV_FWD2544993330837369973<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM...,0.051226,25690112
mobilenetv20_features_linearbottleneck0_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10117904029390974122<CUDNN_BATCHNORM_SPATIAL>,0.034715,802816
mobilenetv20_features_linearbottleneck0_relu0_fwd,Relu,ACTIVATION_FWD5875478700748844674<CUDNN_ACTIVATION_CLIPPED_RELU>,0.031242,1204224
mobilenetv20_features_linearbottleneck0_conv1_fwd,Conv,CONV_FWD16077576583462954773<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.138259,7225344
mobilenetv20_features_linearbottleneck0_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10117904029390974122<CUDNN_BATCHNORM_SPATIAL>,0.034715,802816
mobilenetv20_features_linearbottleneck0_relu1_fwd,Relu,ACTIVATION_FWD5875478700748844674<CUDNN_ACTIVATION_CLIPPED_RELU>,0.031242,1204224
mobilenetv20_features_linearbottleneck0_conv2_fwd,Conv,CONV_FWD3024853787694319399<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM...,0.048750,12845056
mobilenetv20_features_linearbottleneck0_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE15978775362193400676<CUDNN_BATCHNORM_SPATIAL>,0.022376,401408
mobilenetv20_features_linearbottleneck1_conv0_fwd,Conv,CONV_FWD5871042627182658172<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PREC...,0.090001,38535168
mobilenetv20_features_linearbottleneck1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14640654807096619589<CUDNN_BATCHNORM_SPATIAL>,0.079746,2408448
mobilenetv20_features_linearbottleneck1_relu0_fwd,Relu,ACTIVATION_FWD1643230429136711789<CUDNN_ACTIVATION_RELU>,0.073711,3612672
mobilenetv20_features_linearbottleneck1_conv1_fwd,Conv,CONV_FWD4286834865372073549<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM...,0.470822,5419008
mobilenetv20_features_linearbottleneck1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12629212808891365051<CUDNN_BATCHNORM_PER_ACTI...,0.065771,602112
mobilenetv20_features_linearbottleneck1_relu1_fwd,Relu,ACTIVATION_FWD11793959273694796145<CUDNN_ACTIVATION_CLIPPED_RELU>,0.025087,903168
mobilenetv20_features_linearbottleneck1_conv2_fwd,Conv,CONV_FWD11784811502022080637<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEM...,0.040164,14450688
mobilenetv20_features_linearbottleneck1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14477396721902272647<CUDNN_BATCHNORM_SPATIAL>,0.011203,150528
mobilenetv20_features_linearbottleneck2_conv0_fwd,Conv,CONV_FWD13273715223840498799<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEM...,0.049686,21676032
mobilenetv20_features_linearbottleneck2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE16488989159034265053<CUDNN_BATCHNORM_SPATIAL>,0.035812,903168
mobilenetv20_features_linearbottleneck2_relu0_fwd,Relu,ACTIVATION_FWD4122844124302057461<CUDNN_ACTIVATION_CLIPPED_RELU>,0.033656,1354752
