LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD5631196699454031000<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM...,0.041287,101616768
conv_1,Conv,ADD_TENSOR2865351981348039947,0.009018,101616768
relu_1,Relu,ACTIVATION_FWD1506774461810377604<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008292,559872
maxpool_1,Pooling,POOLING_FWD10450061830298950609<CUDNN_POOLING_MAX>,0.007232,584064
conv2_2,Conv,CONV_FWD909462304621148749<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>,0.204730,207667200
conv2_2,Conv,ADD_TENSOR7312384302513411038,0.008374,207667200
relu_2,Relu,ACTIVATION_FWD6095698385120626904<CUDNN_ACTIVATION_RELU>,0.008122,346112
maxpool_2,Pooling,POOLING_FWD13364347910319021393<CUDNN_POOLING_MAX>,0.006978,331776
conv_3,Conv,CONV_FWD11658558523636365469<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.073421,127401984
conv_3,Conv,ADD_TENSOR14424542347487072526,0.007683,127401984
relu_3,Relu,ACTIVATION_FWD14316274289877239219<CUDNN_ACTIVATION_RELU>,0.007616,110592
conv4_2,Conv,CONV_FWD11851527615303779717<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.105421,95551488
conv4_2,Conv,ADD_TENSOR14815950455872646166,0.007718,95551488
relu_4,Relu,ACTIVATION_FWD14316274289877239219<CUDNN_ACTIVATION_RELU>,0.007616,110592
conv5_2,Conv,CONV_FWD6290220085772593693<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.098255,63700992
conv5_2,Conv,ADD_TENSOR4516714830848705422,0.007593,63700992
relu_5,Relu,ACTIVATION_FWD3204589935015321621<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007605,73728
maxpool_3,Pooling,POOLING_FWD1476794823864465519<CUDNN_POOLING_MAX>,0.006572,82944
gemm_1,Gemm,GEMV_FWD15402659136871808490,0.282505,37752832
relu_6,Relu,ACTIVATION_FWD1263013196612366791<CUDNN_ACTIVATION_RELU>,0.007526,8192
dropout_1,Dropout,DROPOUT_FWD13972583525817633749,0.007542,4096
dropout_1,Dropout,DROPOUT_FWD13972583525817633749,0.007542,4096
gemm_2,Gemm,GEMV_FWD4632184029031234066,0.128375,16781312
relu_7,Relu,ACTIVATION_FWD1263013196612366791<CUDNN_ACTIVATION_RELU>,0.007526,8192
dropout_2,Dropout,DROPOUT_FWD13972583525817633749,0.007542,4096
dropout_2,Dropout,DROPOUT_FWD13972583525817633749,0.007542,4096
gemm_3,Gemm,GEMV_FWD5216557022179604397,0.069816,4097000
softmax_1,Softmax,"SOFTMAX_FWD17337716149880998901<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MO...",0.006486,3000
,,Total,1.155935,1252743456
