LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD6833779543404102236<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM...,0.054253,167664672
conv_1,Conv,ADD_TENSOR3977724843685030863,0.014318,167664672
relu_1,Relu,ACTIVATION_FWD9847956119118463676<CUDNN_ACTIVATION_CLIPPED_RELU>,0.019303,2281152
maxpool_1,Pooling,POOLING_FWD12550331694043663725<CUDNN_POOLING_MAX_DETERMINISTIC>,0.011556,2519424
conv_2,Conv,CONV_FWD3748046540159386937<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM...,0.181476,384000000
conv_2,Conv,ADD_TENSOR6766233592364035242,0.008278,384000000
relu_2,Relu,ACTIVATION_FWD11314869171642357403<CUDNN_ACTIVATION_RELU>,0.008042,320000
maxpool_2,Pooling,POOLING_FWD273495949424533029<CUDNN_POOLING_MAX>,0.006995,331776
conv_3,Conv,CONV_FWD5471521301514602731<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.078562,169869312
conv_3,Conv,ADD_TENSOR2453193237158666616,0.007950,169869312
relu_3,Relu,ACTIVATION_FWD14667843896358596541<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007698,147456
conv_4,Conv,CONV_FWD6797786886645312693<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.145731,339738624
conv_4,Conv,ADD_TENSOR4013647119351285030,0.007919,339738624
relu_4,Relu,ACTIVATION_FWD14667843896358596541<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007698,147456
conv_5,Conv,CONV_FWD6797786886645312693<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.145731,339738624
conv_5,Conv,ADD_TENSOR4013647119351285030,0.007919,339738624
relu_5,Relu,ACTIVATION_FWD14667843896358596541<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007698,147456
maxpool_3,Pooling,POOLING_FWD1248649497074147255<CUDNN_POOLING_MAX_DETERMINISTIC>,0.006495,73728
gemm_1,Gemm,GEMV_FWD1897151809919037737,0.557937,75501568
relu_6,Relu,ACTIVATION_FWD1263013196612366791<CUDNN_ACTIVATION_RELU>,0.007526,8192
gemm_2,Gemm,GEMV_FWD9005854050344490740,0.107618,4195328
relu_7,Relu,ACTIVATION_FWD2347389210476488979<CUDNN_ACTIVATION_RELU>,0.007527,2048
gemm_3,Gemm,GEMV_FWD17304607068497158829,0.012844,1025000
softmax_1,Softmax,"SOFTMAX_FWD17337716149880998901<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MO...",0.006486,3000
,,Total,1.427560,2888726048
