LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
relu_1,Relu,ACTIVATION_FWD13799100367117858965<CUDNN_ACTIVATION_RELU>,0.143847,38535168
maxpool_1,Pooling,POOLING_FWD14559856507219927239<CUDNN_POOLING_MAX>,0.120762,28901376
conv_2,Conv,CONV_FWD_2171402027607163390<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.066481,411041792
conv_2,Conv,ADD_TENSOR10603921814001007505,0.030878,411041792
relu_2,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.041304,9633792
relu_3,Relu,ACTIVATION_FWD13531965386697283963<CUDNN_ACTIVATION_RELU>,0.109062,28901376
maxpool_2,Pooling,POOLING_FWD1584725302969256362<CUDNN_POOLING_MAX>,0.097517,21676032
relu_4,Relu,ACTIVATION_FWD17106573198672782065<CUDNN_ACTIVATION_RELU>,0.012138,2408448
conv_5,Conv,CONV_FWD_33360184649565980919<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.068732,462422016
conv_5,Conv,ADD_TENSOR16755704964672443137,0.016633,462422016
relu_5,Relu,ACTIVATION_FWD6934628557780031199<CUDNN_ACTIVATION_CLIPPED_RELU>,0.020434,3612672
conv_6,Conv,CONV_FWD_212391343224848939174<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.147874,2774532096
conv_6,Conv,ADD_TENSOR1053574085838812733,0.019449,2774532096
relu_6,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.024827,4816896
conv_7,Conv,CONV_FWD_014018220475809499350<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.039369,77070336
conv_7,Conv,ADD_TENSOR11694103516479150512,0.009531,77070336
relu_7,Relu,ACTIVATION_FWD12530608249799061318<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008603,602112
conv_8,Conv,CONV_FWD_19073435007675039615<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.064922,321126400
conv_8,Conv,ADD_TENSOR11796112522372848063,0.010776,321126400
relu_8,Relu,ACTIVATION_FWD8568187484021135780<CUDNN_ACTIVATION_CLIPPED_RELU>,0.009321,1204224
maxpool_3,Pooling,POOLING_FWD16032789243320183468<CUDNN_POOLING_AVERAGE_COUNT_EXCL...,0.085552,21676032
conv_9,Conv,CONV_FWD_14877485484913965974<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.042159,154140672
conv_9,Conv,ADD_TENSOR11796112522372848063,0.010776,154140672
relu_9,Relu,ACTIVATION_FWD8568187484021135780<CUDNN_ACTIVATION_CLIPPED_RELU>,0.009321,1204224
conv_10,Conv,CONV_FWD_011797741768216490831<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.104169,822083584
conv_10,Conv,ADD_TENSOR1053574085838812733,0.019449,822083584
relu_10,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.024827,4816896
conv_11,Conv,CONV_FWD_011797741768216490831<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.104169,822083584
conv_11,Conv,ADD_TENSOR1053574085838812733,0.019449,822083584
relu_11,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.024827,4816896
conv_12,Conv,CONV_FWD_14059829580247233949<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.232340,5549064192
conv_12,Conv,ADD_TENSOR13660269527068607312,0.025369,5549064192
relu_12,Relu,ACTIVATION_FWD10403994762374761119<CUDNN_ACTIVATION_CLIPPED_RELU...,0.032955,7225344
conv_13,Conv,CONV_FWD_43546334816015944740<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.050326,205520896
conv_13,Conv,ADD_TENSOR11796112522372848063,0.010776,205520896
relu_13,Relu,ACTIVATION_FWD8568187484021135780<CUDNN_ACTIVATION_CLIPPED_RELU>,0.009321,1204224
conv_14,Conv,CONV_FWD_213932560392116308005<CUDNN_CONVOLUTION_FWD_ALGO_FFT_TI...,0.117922,1926758400
conv_14,Conv,ADD_TENSOR16755704964672443137,0.016633,1926758400
relu_14,Relu,ACTIVATION_FWD6934628557780031199<CUDNN_ACTIVATION_CLIPPED_RELU>,0.020434,3612672
maxpool_4,Pooling,POOLING_FWD12213502407216186100<CUDNN_POOLING_AVERAGE_COUNT_EXCL...,0.110264,28901376
relu_15,Relu,ACTIVATION_FWD17106573198672782065<CUDNN_ACTIVATION_RELU>,0.012138,2408448
maxpool_5,Pooling,POOLING_FWD11911454593048261404<CUDNN_POOLING_MAX>,0.067136,13547520
conv_16,Conv,CONV_FWD_011526832415362443729<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.080639,578027520
conv_16,Conv,ADD_TENSOR3087992020010685159,0.012267,578027520
relu_16,Relu,ACTIVATION_FWD6528096747788680191<CUDNN_ACTIVATION_CLIPPED_RELU>,0.009965,1806336
conv_17,Conv,CONV_FWD_055176844745169741<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.060695,289013760
conv_17,Conv,ADD_TENSOR9926316827496025275,0.010003,289013760
relu_17,Relu,ACTIVATION_FWD12342000617200320955<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008865,903168
conv_18,Conv,CONV_FWD_22930731614213511713<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.083000,1127153664
conv_18,Conv,ADD_TENSOR8674904245944718205,0.012614,1127153664
relu_18,Relu,ACTIVATION_FWD12616055868930271702<CUDNN_ACTIVATION_CLIPPED_RELU...,0.010023,1956864
conv_19,Conv,CONV_FWD_217741257846729133585<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.055980,48168960
conv_19,Conv,ADD_TENSOR13329748396744954787,0.008356,48168960
relu_19,Relu,ACTIVATION_FWD635796445361602442<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008048,150528
conv_20,Conv,CONV_FWD_010264392995777515051<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.040498,120422400
conv_20,Conv,ADD_TENSOR15213034198753921695,0.009122,120422400
relu_20,Relu,ACTIVATION_FWD3294069179907745414<CUDNN_ACTIVATION_RELU>,0.008545,451584
maxpool_6,Pooling,POOLING_FWD11557297836296080429<CUDNN_POOLING_MAX_DETERMINISTIC>,0.048111,13547520
conv_21,Conv,CONV_FWD_25148000288515026125<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.057245,192675840
conv_21,Conv,ADD_TENSOR1825539467825455064,0.009465,192675840
relu_21,Relu,ACTIVATION_FWD7730130224878684665<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008710,602112
conv_22,Conv,CONV_FWD_011214439857409907775<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.082064,513802240
conv_22,Conv,ADD_TENSOR15494653426981379378,0.011553,513802240
relu_22,Relu,ACTIVATION_FWD17087410377353874663<CUDNN_ACTIVATION_CLIPPED_RELU...,0.009556,1505280
conv_23,Conv,CONV_FWD_37270928937966269553<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.079805,359661568
conv_23,Conv,ADD_TENSOR7662592187335675920,0.010530,359661568
relu_23,Relu,ACTIVATION_FWD3998896131402857645<CUDNN_ACTIVATION_CLIPPED_RELU>,0.009069,1053696
conv_24,Conv,CONV_FWD_114656086308735293928<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.092012,1416167424
conv_24,Conv,ADD_TENSOR6164106363542483195,0.012980,1416167424
relu_24,Relu,ACTIVATION_FWD9920346590082548691<CUDNN_ACTIVATION_CLIPPED_RELU>,0.010143,2107392
conv_25,Conv,CONV_FWD_13451139372665256739<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.059955,77070336
conv_25,Conv,ADD_TENSOR10307697700077118704,0.008678,77070336
relu_25,Relu,ACTIVATION_FWD14729405920602773753<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008066,225792
conv_26,Conv,CONV_FWD_45292026651770112290<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.045330,240844800
conv_26,Conv,ADD_TENSOR1825539467825455064,0.009465,240844800
relu_26,Relu,ACTIVATION_FWD7730130224878684665<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008710,602112
maxpool_7,Pooling,POOLING_FWD13307223986371342801<CUDNN_POOLING_MAX_DETERMINISTIC>,0.050712,14450688
conv_27,Conv,CONV_FWD_26899051113398587697<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.060558,205520896
conv_27,Conv,ADD_TENSOR1825539467825455064,0.009465,205520896
relu_27,Relu,ACTIVATION_FWD7730130224878684665<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008710,602112
conv_28,Conv,CONV_FWD_43734674781523295893<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.079751,411041792
conv_28,Conv,ADD_TENSOR2357849984840855578,0.010818,411041792
relu_28,Relu,ACTIVATION_FWD2856393370381587006<CUDNN_ACTIVATION_CLIPPED_RELU>,0.009176,1204224
conv_29,Conv,CONV_FWD_43734674781523295893<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.079751,411041792
conv_29,Conv,ADD_TENSOR2357849984840855578,0.010818,411041792
relu_29,Relu,ACTIVATION_FWD2856393370381587006<CUDNN_ACTIVATION_CLIPPED_RELU>,0.009176,1204224
conv_30,Conv,CONV_FWD_04034822110336404427<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.104024,1849688064
conv_30,Conv,ADD_TENSOR10470477150375428880,0.013864,1849688064
relu_30,Relu,ACTIVATION_FWD6462072370676149005<CUDNN_ACTIVATION_RELU>,0.012205,2408448
conv_31,Conv,CONV_FWD_13451139372665256739<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.059955,77070336
conv_31,Conv,ADD_TENSOR10307697700077118704,0.008678,77070336
relu_31,Relu,ACTIVATION_FWD14729405920602773753<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008066,225792
conv_32,Conv,CONV_FWD_45292026651770112290<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.045330,240844800
conv_32,Conv,ADD_TENSOR1825539467825455064,0.009465,240844800
relu_32,Relu,ACTIVATION_FWD7730130224878684665<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008710,602112
maxpool_8,Pooling,POOLING_FWD13307223986371342801<CUDNN_POOLING_MAX_DETERMINISTIC>,0.050712,14450688
conv_33,Conv,CONV_FWD_26899051113398587697<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.060558,205520896
conv_33,Conv,ADD_TENSOR1825539467825455064,0.009465,205520896
relu_33,Relu,ACTIVATION_FWD7730130224878684665<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008710,602112
conv_34,Conv,CONV_FWD_37270928937966269553<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.079805,359661568
conv_34,Conv,ADD_TENSOR7662592187335675920,0.010530,359661568
relu_34,Relu,ACTIVATION_FWD3998896131402857645<CUDNN_ACTIVATION_CLIPPED_RELU>,0.009069,1053696
conv_35,Conv,CONV_FWD_416137432074011302283<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.081089,462422016
conv_35,Conv,ADD_TENSOR10851129036072870760,0.011189,462422016
relu_35,Relu,ACTIVATION_FWD3400999617616120355<CUDNN_ACTIVATION_RELU>,0.009391,1354752
conv_36,Conv,CONV_FWD_35408400631342265758<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.129022,2341011456
conv_36,Conv,ADD_TENSOR9069309989518579823,0.014510,2341011456
relu_36,Relu,ACTIVATION_FWD14077754399127411811<CUDNN_ACTIVATION_CLIPPED_RELU...,0.015322,2709504
conv_37,Conv,CONV_FWD_216452011303842644159<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.059364,102760448
conv_37,Conv,ADD_TENSOR13779134325609333188,0.008946,102760448
relu_37,Relu,ACTIVATION_FWD11088263147124449244<CUDNN_ACTIVATION_CLIPPED_RELU...,0.008147,301056
conv_38,Conv,CONV_FWD_1485677399068133835<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.049679,321126400
conv_38,Conv,ADD_TENSOR1825539467825455064,0.009465,321126400
relu_38,Relu,ACTIVATION_FWD7730130224878684665<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008710,602112
maxpool_9,Pooling,POOLING_FWD13307223986371342801<CUDNN_POOLING_MAX_DETERMINISTIC>,0.050712,14450688
conv_39,Conv,CONV_FWD_26899051113398587697<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.060558,205520896
conv_39,Conv,ADD_TENSOR1825539467825455064,0.009465,205520896
relu_39,Relu,ACTIVATION_FWD7730130224878684665<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008710,602112
conv_40,Conv,CONV_FWD_117708411263298403320<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.128113,847773696
conv_40,Conv,ADD_TENSOR10470477150375428880,0.013864,847773696
relu_40,Relu,ACTIVATION_FWD6462072370676149005<CUDNN_ACTIVATION_RELU>,0.012205,2408448
conv_41,Conv,CONV_FWD_47144331783011066936<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.083113,529858560
conv_41,Conv,ADD_TENSOR15494653426981379378,0.011553,529858560
relu_41,Relu,ACTIVATION_FWD17087410377353874663<CUDNN_ACTIVATION_CLIPPED_RELU...,0.009556,1505280
