LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
relu_1,Relu,ACTIVATION_FWD12943811984379303011<CUDNN_ACTIVATION_C...,0.012166,2408448
maxpool_1,Pooling,POOLING_FWD1027227402585342566<CUDNN_POOLING_MAX_DETE...,0.011338,1742400
relu_2,Relu,ACTIVATION_FWD12026881263452167842<CUDNN_ACTIVATION_R...,0.008690,580800
relu_3,Relu,ACTIVATION_FWD13110907949064458292<CUDNN_ACTIVATION_C...,0.009786,1742400
maxpool_2,Pooling,POOLING_FWD3286488129786535103<CUDNN_POOLING_MAX>,0.010295,1259712
relu_4,Relu,ACTIVATION_FWD7989546292944395300<CUDNN_ACTIVATION_CL...,0.007985,139968
relu_5,Relu,ACTIVATION_FWD16279286090182436026<CUDNN_ACTIVATION_C...,0.008062,209952
relu_6,Relu,ACTIVATION_FWD1048357046955774627<CUDNN_ACTIVATION_CL...,0.008176,279936
relu_7,Relu,ACTIVATION_FWD16866182128494696719<CUDNN_ACTIVATION_C...,0.007927,34992
relu_8,Relu,ACTIVATION_FWD6996413920232182265<CUDNN_ACTIVATION_CL...,0.008005,69984
maxpool_3,Pooling,POOLING_FWD7101048953230145995<CUDNN_POOLING_MAX>,0.010156,1259712
relu_9,Relu,ACTIVATION_FWD6996413920232182265<CUDNN_ACTIVATION_CL...,0.008005,69984
relu_10,Relu,ACTIVATION_FWD1048357046955774627<CUDNN_ACTIVATION_CL...,0.008176,279936
relu_11,Relu,ACTIVATION_FWD1048357046955774627<CUDNN_ACTIVATION_CL...,0.008176,279936
relu_12,Relu,ACTIVATION_FWD2796257895443210706<CUDNN_ACTIVATION_CL...,0.008492,419904
relu_13,Relu,ACTIVATION_FWD6996413920232182265<CUDNN_ACTIVATION_CL...,0.008005,69984
relu_14,Relu,ACTIVATION_FWD16279286090182436026<CUDNN_ACTIVATION_C...,0.008062,209952
maxpool_4,Pooling,POOLING_FWD1552340010462826899<CUDNN_POOLING_MAX_DETE...,0.011130,1679616
relu_15,Relu,ACTIVATION_FWD7989546292944395300<CUDNN_ACTIVATION_CL...,0.007985,139968
maxpool_5,Pooling,POOLING_FWD1704938816557361477<CUDNN_POOLING_MAX>,0.008432,730080
relu_16,Relu,ACTIVATION_FWD2108925411169098781<CUDNN_ACTIVATION_CL...,0.007964,97344
relu_17,Relu,ACTIVATION_FWD17960753221029415293<CUDNN_ACTIVATION_C...,0.008037,48672
relu_18,Relu,ACTIVATION_FWD7108842730873530104<CUDNN_ACTIVATION_CL...,0.008119,105456
relu_19,Relu,ACTIVATION_FWD5034467464389840976<CUDNN_ACTIVATION_CL...,0.007949,8112
relu_20,Relu,ACTIVATION_FWD15737552520705682632<CUDNN_ACTIVATION_C...,0.007977,24336
maxpool_6,Pooling,POOLING_FWD10072778821647987393<CUDNN_POOLING_MAX>,0.008222,730080
relu_21,Relu,ACTIVATION_FWD7125968345748099863<CUDNN_ACTIVATION_CL...,0.007960,32448
relu_22,Relu,ACTIVATION_FWD14654883740999398109<CUDNN_ACTIVATION_C...,0.008055,81120
relu_23,Relu,ACTIVATION_FWD10677807155842654639<CUDNN_ACTIVATION_C...,0.008051,56784
relu_24,Relu,ACTIVATION_FWD5786371120247487745<CUDNN_ACTIVATION_CL...,0.008032,113568
relu_25,Relu,ACTIVATION_FWD11139211403224331251<CUDNN_ACTIVATION_C...,0.008042,12168
relu_26,Relu,ACTIVATION_FWD7125968345748099863<CUDNN_ACTIVATION_CL...,0.007960,32448
maxpool_7,Pooling,POOLING_FWD10594355746471595837<CUDNN_POOLING_MAX_DET...,0.008992,778752
relu_27,Relu,ACTIVATION_FWD7125968345748099863<CUDNN_ACTIVATION_CL...,0.007960,32448
relu_28,Relu,ACTIVATION_FWD9852130337903287668<CUDNN_ACTIVATION_CL...,0.007955,64896
relu_29,Relu,ACTIVATION_FWD9852130337903287668<CUDNN_ACTIVATION_CL...,0.007955,64896
relu_30,Relu,ACTIVATION_FWD10152878604369359671<CUDNN_ACTIVATION_C...,0.008067,129792
relu_31,Relu,ACTIVATION_FWD11139211403224331251<CUDNN_ACTIVATION_C...,0.008042,12168
relu_32,Relu,ACTIVATION_FWD7125968345748099863<CUDNN_ACTIVATION_CL...,0.007960,32448
maxpool_8,Pooling,POOLING_FWD10594355746471595837<CUDNN_POOLING_MAX_DET...,0.008992,778752
relu_33,Relu,ACTIVATION_FWD7125968345748099863<CUDNN_ACTIVATION_CL...,0.007960,32448
relu_34,Relu,ACTIVATION_FWD10677807155842654639<CUDNN_ACTIVATION_C...,0.008051,56784
relu_35,Relu,ACTIVATION_FWD8789470611194556677<CUDNN_ACTIVATION_CL...,0.008030,73008
relu_36,Relu,ACTIVATION_FWD7291877704344718621<CUDNN_ACTIVATION_CL...,0.008087,146016
relu_37,Relu,ACTIVATION_FWD6033330441162318706<CUDNN_ACTIVATION_CL...,0.007984,16224
relu_38,Relu,ACTIVATION_FWD7125968345748099863<CUDNN_ACTIVATION_CL...,0.007960,32448
maxpool_9,Pooling,POOLING_FWD10594355746471595837<CUDNN_POOLING_MAX_DET...,0.008992,778752
relu_39,Relu,ACTIVATION_FWD7125968345748099863<CUDNN_ACTIVATION_CL...,0.007960,32448
relu_40,Relu,ACTIVATION_FWD10152878604369359671<CUDNN_ACTIVATION_C...,0.008067,129792
relu_41,Relu,ACTIVATION_FWD14654883740999398109<CUDNN_ACTIVATION_C...,0.008055,81120
relu_42,Relu,ACTIVATION_FWD5050587983264807325<CUDNN_ACTIVATION_CL...,0.008000,162240
relu_43,Relu,ACTIVATION_FWD6033330441162318706<CUDNN_ACTIVATION_CL...,0.007984,16224
relu_44,Relu,ACTIVATION_FWD9852130337903287668<CUDNN_ACTIVATION_CL...,0.007955,64896
maxpool_10,Pooling,POOLING_FWD16542930065378076866<CUDNN_POOLING_MAX_DET...,0.008900,803088
relu_45,Relu,ACTIVATION_FWD9852130337903287668<CUDNN_ACTIVATION_CL...,0.007955,64896
maxpool_11,Pooling,POOLING_FWD14861609661594738408<CUDNN_POOLING_MAX>,0.007845,269568
relu_46,Relu,ACTIVATION_FWD9781630313445208035<CUDNN_ACTIVATION_CL...,0.007933,27648
relu_47,Relu,ACTIVATION_FWD14793154119284992905<CUDNN_ACTIVATION_C...,0.008076,17280
relu_48,Relu,ACTIVATION_FWD17505749922684858637<CUDNN_ACTIVATION_C...,0.008061,34560
relu_49,Relu,ACTIVATION_FWD4536917147863260538<CUDNN_ACTIVATION_CL...,0.008003,3456
relu_50,Relu,ACTIVATION_FWD2426835789464282688<CUDNN_ACTIVATION_CL...,0.008045,13824
maxpool_12,Pooling,POOLING_FWD20513287817165844<CUDNN_POOLING_MAX_DETERM...,0.007646,269568
relu_51,Relu,ACTIVATION_FWD2426835789464282688<CUDNN_ACTIVATION_CL...,0.008045,13824
relu_52,Relu,ACTIVATION_FWD12623275080031083793<CUDNN_ACTIVATION_C...,0.007982,41472
relu_53,Relu,ACTIVATION_FWD5503675998011791425<CUDNN_ACTIVATION_CL...,0.007969,20736
relu_54,Relu,ACTIVATION_FWD12623275080031083793<CUDNN_ACTIVATION_C...,0.007982,41472
relu_55,Relu,ACTIVATION_FWD16945780766671468356<CUDNN_ACTIVATION_C...,0.007944,5184
relu_56,Relu,ACTIVATION_FWD2426835789464282688<CUDNN_ACTIVATION_CL...,0.008045,13824
maxpool_13,Pooling,POOLING_FWD20513287817165844<CUDNN_POOLING_MAX_DETERM...,0.007646,269568
relu_57,Relu,ACTIVATION_FWD2426835789464282688<CUDNN_ACTIVATION_CL...,0.008045,13824
dropout_1,Dropout,DROPOUT_FWD15916673966359869912,0.008580,1024
dropout_1,Dropout,DROPOUT_FWD15916673966359869912,0.008580,1024
gemm_1,Gemm,GEMV_FWD10003385830724951581,0.011035,2049000
softmax_1,Softmax,"SOFTMAX_FWD18440445221543183201<CUDNN_SOFTMAX_FAST, C...",0.006927,3000
,,Total,3.179314,2883509296
