LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv18_conv0_fwd,Conv,CONV_FWD_417924724977167021820<CUDNN_CONVOLUTION_FWD_...,0.077925,472055808
resnetv18_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE9100550651633946381<CUDNN_BATC...,0.055530,3211264
resnetv18_relu0_fwd,Relu,ACTIVATION_FWD6852594140578207931<CUDNN_ACTIVATION_RE...,0.028279,4816896
resnetv18_pool0_fwd,Pooling,POOLING_FWD9240476157489154913<CUDNN_POOLING_MAX_DETE...,0.024470,3612672
resnetv18_stage1_conv0_fwd,Conv,CONV_FWD_28347996602117025925<CUDNN_CONVOLUTION_FWD_A...,0.021237,51380224
resnetv18_stage1_conv0_fwd,Conv,ADD_TENSOR16474968127717166457,0.009749,51380224
resnetv18_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8753455589369015865<CUDNN_BATC...,0.018120,802816
resnetv18_stage1_relu0_fwd,Relu,ACTIVATION_FWD6352448163533453711<CUDNN_ACTIVATION_RE...,0.007746,1204224
resnetv18_stage1_conv1_fwd,Conv,CONV_FWD_47217592217882241184<CUDNN_CONVOLUTION_FWD_A...,0.047937,462422016
resnetv18_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8753455589369015865<CUDNN_BATC...,0.018120,802816
resnetv18_stage1_relu1_fwd,Relu,ACTIVATION_FWD6352448163533453711<CUDNN_ACTIVATION_RE...,0.007746,1204224
resnetv18_stage1_conv2_fwd,Conv,CONV_FWD_27038265012042448096<CUDNN_CONVOLUTION_FWD_A...,0.043431,205520896
resnetv18_stage1_conv2_fwd,Conv,ADD_TENSOR17785878399574933788,0.021027,205520896
resnetv18_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1945947918085806357<CUDNN_BATC...,0.055520,3211264
resnetv18_stage1_conv3_fwd,Conv,CONV_FWD_27038265012042448096<CUDNN_CONVOLUTION_FWD_A...,0.043431,205520896
resnetv18_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1945947918085806357<CUDNN_BATC...,0.055520,3211264
resnetv18_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD8127437810882870180,0.038487,1605632
resnetv18_stage1_activation0,Relu,ACTIVATION_FWD4202858852911894179<CUDNN_ACTIVATION_RE...,0.028264,4816896
resnetv18_stage1_conv4_fwd,Conv,CONV_FWD_15972285032129174215<CUDNN_CONVOLUTION_FWD_A...,0.047405,205520896
resnetv18_stage1_conv4_fwd,Conv,ADD_TENSOR7909167399934395608,0.021032,205520896
resnetv18_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8753455589369015865<CUDNN_BATC...,0.018120,802816
resnetv18_stage1_relu2_fwd,Relu,ACTIVATION_FWD6352448163533453711<CUDNN_ACTIVATION_RE...,0.007746,1204224
