LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
vgg0_conv0_fwd,Conv,CONV_FWD_13321696471879980926<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.074243,346816512
vgg0_conv0_fwd,Conv,ADD_TENSOR6930362251486787532,0.058499,346816512
vgg0_relu0_fwd,Relu,ACTIVATION_FWD8981039896375023449<CUDNN_ACTIVATION_RELU>,0.095170,19267584
vgg0_conv1_fwd,Conv,CONV_FWD_015047400754842829980<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.380559,7398752256
vgg0_conv1_fwd,Conv,ADD_TENSOR6930362251486787532,0.058499,7398752256
vgg0_relu1_fwd,Relu,ACTIVATION_FWD8981039896375023449<CUDNN_ACTIVATION_RELU>,0.095170,19267584
vgg0_pool0_fwd,Pooling,POOLING_FWD14629992620950112833<CUDNN_POOLING_MAX_DETERMINISTIC>,0.060647,6422528
vgg0_conv2_fwd,Conv,CONV_FWD_416342796688394932521<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.194537,3699376128
vgg0_conv2_fwd,Conv,ADD_TENSOR880377388989406834,0.032241,3699376128
vgg0_relu2_fwd,Relu,ACTIVATION_FWD16852288315803100528<CUDNN_ACTIVATION_CLIPPED_RELU>,0.050615,9633792
vgg0_conv3_fwd,Conv,CONV_FWD_118339526513789636814<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.349289,7398752256
vgg0_conv3_fwd,Conv,ADD_TENSOR880377388989406834,0.032241,7398752256
vgg0_relu3_fwd,Relu,ACTIVATION_FWD16852288315803100528<CUDNN_ACTIVATION_CLIPPED_RELU>,0.050615,9633792
vgg0_pool1_fwd,Pooling,POOLING_FWD1180600173709158436<CUDNN_POOLING_MAX>,0.033812,3211264
vgg0_conv4_fwd,Conv,CONV_FWD_04062151858779644424<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.214156,3699376128
vgg0_conv4_fwd,Conv,ADD_TENSOR770590171414874698,0.019071,3699376128
vgg0_relu4_fwd,Relu,ACTIVATION_FWD4202858852911894179<CUDNN_ACTIVATION_RELU>,0.028307,4816896
