LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_112718711876500690091<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.085318,406467072
conv_1,Conv,ADD_TENSOR10553138141124997578,0.020630,406467072
relu_1,Relu,ACTIVATION_FWD902479011617325688<CUDNN_ACTIVATION_RELU>,0.015836,1679616
maxpool_1,Pooling,POOLING_FWD7200271266487241381<CUDNN_POOLING_MAX>,0.014500,1259712
conv2_2,Conv,CONV_FWD_210096485769234822766<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.178486,895795200
conv2_2,Conv,ADD_TENSOR5752098482467034152,0.015570,895795200
relu_2,Relu,ACTIVATION_FWD9012016737246248572<CUDNN_ACTIVATION_RELU>,0.007574,1119744
maxpool_2,Pooling,POOLING_FWD13673481874362278226<CUDNN_POOLING_MAX_DETERMINISTIC>,0.011648,778752
conv_3,Conv,CONV_FWD_415371015762202434184<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.101450,598081536
conv_3,Conv,ADD_TENSOR17972986639058366108,0.008776,598081536
relu_3,Relu,ACTIVATION_FWD6974270367892786053<CUDNN_ACTIVATION_CLIPPED_RELU>,0.005969,389376
conv4_2,Conv,CONV_FWD_415572213778166138271<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.082907,448561152
conv4_2,Conv,ADD_TENSOR17972986639058366108,0.008776,448561152
relu_4,Relu,ACTIVATION_FWD6974270367892786053<CUDNN_ACTIVATION_CLIPPED_RELU>,0.005969,389376
conv5_2,Conv,CONV_FWD_43110247540086532615<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.074440,299040768
conv5_2,Conv,ADD_TENSOR8458144106779879412,0.007519,299040768
relu_5,Relu,ACTIVATION_FWD17432660807868853019<CUDNN_ACTIVATION_CLIPPED_RELU>,0.005650,259584
maxpool_3,Pooling,POOLING_FWD3383448739713194914<CUDNN_POOLING_MAX_DETERMINISTIC>,0.006710,165888
gemm_1,Gemm,GEMV_FWD6934874432368006581,0.342094,75501568
relu_6,Relu,ACTIVATION_FWD9632149703998469964<CUDNN_ACTIVATION_RELU>,0.005072,12288
dropout_1,Dropout,DROPOUT_FWD1118422203442273626,0.006904,4096
dropout_1,Dropout,DROPOUT_FWD1118422203442273626,0.006904,4096
gemm_2,Gemm,GEMV_FWD14749961015086304009,0.154995,33558528
relu_7,Relu,ACTIVATION_FWD9632149703998469964<CUDNN_ACTIVATION_RELU>,0.005072,12288
dropout_2,Dropout,DROPOUT_FWD1118422203442273626,0.006904,4096
dropout_2,Dropout,DROPOUT_FWD1118422203442273626,0.006904,4096
gemm_3,Gemm,GEMV_FWD1899783961886106634,0.050416,8193000
softmax_1,Softmax,"SOFTMAX_FWD520896048550294790<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE...",0.005367,3000
,,Total,1.229185,5419230560
