LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_44866573393533051531<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.061720,236027904
batchnormalization_1,BatchNorm,BATCHNORM_FWD_INFERENCE8184446546979988514<CUDNN_BATCHNORM_PER_A...,0.050905,1605632
mul_1,ElementWise,OP_TENSOR_MUL_FWD8268856637051344817,0.033692,1605632
add_1,ElementWise,OP_TENSOR_ADD_FWD1900499491803367059,0.033709,802816
relu_1,Relu,ACTIVATION_FWD5820364087785894804<CUDNN_ACTIVATION_RELU>,0.020564,2408448
maxpool_1,Pooling,POOLING_FWD14803496113719496230<CUDNN_POOLING_MAX>,0.022782,1806336
batchnormalization_2,BatchNorm,BATCHNORM_FWD_INFERENCE8795349745129247254<CUDNN_BATCHNORM_PER_A...,0.017663,401408
mul_2,ElementWise,OP_TENSOR_MUL_FWD8744658376077205893,0.016004,401408
add_2,ElementWise,OP_TENSOR_ADD_FWD1280230712664551591,0.015978,200704
relu_2,Relu,ACTIVATION_FWD6583615558023988640<CUDNN_ACTIVATION_RELU>,0.006300,602112
conv_2,Conv,CONV_FWD_49537270527459745450<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.023951,51380224
batchnormalization_3,BatchNorm,BATCHNORM_FWD_INFERENCE1624742800805963705<CUDNN_BATCHNORM_PER_A...,0.028932,802816
mul_3,ElementWise,OP_TENSOR_MUL_FWD1574044836708750378,0.023186,802816
add_3,ElementWise,OP_TENSOR_ADD_FWD9027234601227224328,0.023178,401408
relu_3,Relu,ACTIVATION_FWD4025890900778987535<CUDNN_ACTIVATION_RELU>,0.009394,1204224
conv_3,Conv,CONV_FWD_215031231754444017501<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.035428,231211008
batchnormalization_4,BatchNorm,BATCHNORM_FWD_INFERENCE17036331059197047468<CUDNN_BATCHNORM_PER_...,0.023183,602112
mul_4,ElementWise,OP_TENSOR_MUL_FWD17237856733320003903,0.018948,602112
add_4,ElementWise,OP_TENSOR_ADD_FWD9774539780578529309,0.018944,301056
relu_4,Relu,ACTIVATION_FWD14789782004629366042<CUDNN_ACTIVATION_CLIPPED_RELU...,0.006956,903168
conv_4,Conv,CONV_FWD_012509144233684394319<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.027794,77070336
batchnormalization_5,BatchNorm,BATCHNORM_FWD_INFERENCE1624742800805963705<CUDNN_BATCHNORM_PER_A...,0.028932,802816
mul_5,ElementWise,OP_TENSOR_MUL_FWD1574044836708750378,0.023186,802816
