LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
relu_1,Relu,ACTIVATION_FWD6852594140578207931<CUDNN_ACTIVATION_RELU>,0.035809,4816896
maxpool_1,Pooling,POOLING_FWD8610934664376169064<CUDNN_POOLING_MAX_DETERMINISTIC>,0.039028,3484800
conv_2,Conv,CONV_FWD_28787976817354429953<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.028222,49561600
conv_2,Conv,ADD_TENSOR6765032285687855299,0.016813,49561600
relu_2,Relu,ACTIVATION_FWD13667284123619255814<CUDNN_ACTIVATION_RELU>,0.008343,1161600
conv_3,Conv,CONV_FWD_36044133061862240381<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.135531,1338163200
conv_3,Conv,ADD_TENSOR10220758964951634506,0.036992,1338163200
relu_3,Relu,ACTIVATION_FWD16117808411191001296<CUDNN_ACTIVATION_RELU>,0.027239,3484800
maxpool_2,Pooling,POOLING_FWD11810204522465777080<CUDNN_POOLING_MAX_DETERMINISTIC>,0.029934,2519424
conv_4,Conv,CONV_FWD_310089993916493497017<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.036293,35831808
conv_4,Conv,ADD_TENSOR3803008814876543519,0.007978,35831808
relu_4,Relu,ACTIVATION_FWD603667010698873964<CUDNN_ACTIVATION_RELU>,0.005703,279936
conv_5,Conv,CONV_FWD_310283992954192606328<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.037550,53747712
conv_5,Conv,ADD_TENSOR11979242385037309086,0.009184,53747712
relu_5,Relu,ACTIVATION_FWD1148349437662631702<CUDNN_ACTIVATION_CLIPPED_RELU>,0.006004,419904
conv_6,Conv,CONV_FWD_412780281895581707088<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.055151,322486272
conv_6,Conv,ADD_TENSOR11181391786123396721,0.010484,322486272
relu_6,Relu,ACTIVATION_FWD229542307387656327<CUDNN_ACTIVATION_RELU>,0.006290,559872
conv_7,Conv,CONV_FWD_411325253446338845281<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.033712,8957952
conv_7,Conv,ADD_TENSOR12897157029006416267,0.005885,8957952
relu_7,Relu,ACTIVATION_FWD10571938855628936251<CUDNN_ACTIVATION_CLIPPED_RELU>,0.005332,69984
conv_8,Conv,CONV_FWD_3698851051862431710<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEM...,0.046453,37324800
conv_8,Conv,ADD_TENSOR6617702828293494425,0.006575,37324800
relu_8,Relu,ACTIVATION_FWD7434709271380756585<CUDNN_ACTIVATION_RELU>,0.005480,139968
maxpool_3,Pooling,POOLING_FWD17074918172182655180<CUDNN_POOLING_MAX_DETERMINISTIC>,0.022564,2519424
conv_9,Conv,CONV_FWD_28952618985633751670<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.033918,17915904
conv_9,Conv,ADD_TENSOR6617702828293494425,0.006575,17915904
relu_9,Relu,ACTIVATION_FWD7434709271380756585<CUDNN_ACTIVATION_RELU>,0.005480,139968
conv_10,Conv,CONV_FWD_21704191226095332029<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.047094,95551488
conv_10,Conv,ADD_TENSOR11181391786123396721,0.010484,95551488
