LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
squeezenet0_conv0_fwd,Conv,CONV_FWD_29878094140392527337<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.043435,85162752
squeezenet0_conv0_fwd,Conv,ADD_TENSOR2945053045486065897,0.050674,85162752
squeezenet0_relu0_fwd,Relu,ACTIVATION_FWD13132106344061199032<CUDNN_ACTIVATION_RELU>,0.035193,4731264
squeezenet0_pool0_fwd,Pooling,POOLING_FWD15269672840262255129<CUDNN_POOLING_MAX>,0.038515,3484800
squeezenet0_conv1_fwd,Conv,CONV_FWD_214461595677432116445<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.020839,12390400
squeezenet0_conv1_fwd,Conv,ADD_TENSOR4376364766415071925,0.008018,12390400
squeezenet0_relu1_fwd,Relu,ACTIVATION_FWD154067566408925781<CUDNN_ACTIVATION_RELU>,0.005768,290400
squeezenet0_conv2_fwd,Conv,CONV_FWD_19717656250638191262<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.018076,12390400
squeezenet0_conv2_fwd,Conv,ADD_TENSOR17907254410875718044,0.016840,12390400
squeezenet0_relu2_fwd,Relu,ACTIVATION_FWD13667284123619255814<CUDNN_ACTIVATION_RELU>,0.008980,1161600
squeezenet0_conv3_fwd,Conv,CONV_FWD_311033662661156473692<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.031323,111513600
squeezenet0_conv3_fwd,Conv,ADD_TENSOR17907254410875718044,0.016840,111513600
squeezenet0_relu3_fwd,Relu,ACTIVATION_FWD13667284123619255814<CUDNN_ACTIVATION_RELU>,0.008980,1161600
squeezenet0_conv4_fwd,Conv,CONV_FWD_48981790917219882713<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.030174,24780800
squeezenet0_conv4_fwd,Conv,ADD_TENSOR4376364766415071925,0.008018,24780800
squeezenet0_relu4_fwd,Relu,ACTIVATION_FWD154067566408925781<CUDNN_ACTIVATION_RELU>,0.005768,290400
squeezenet0_conv5_fwd,Conv,CONV_FWD_19717656250638191262<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.018076,12390400
squeezenet0_conv5_fwd,Conv,ADD_TENSOR17907254410875718044,0.016840,12390400
squeezenet0_relu5_fwd,Relu,ACTIVATION_FWD13667284123619255814<CUDNN_ACTIVATION_RELU>,0.008980,1161600
squeezenet0_conv6_fwd,Conv,CONV_FWD_311033662661156473692<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.031323,111513600
squeezenet0_conv6_fwd,Conv,ADD_TENSOR17907254410875718044,0.016840,111513600
squeezenet0_relu6_fwd,Relu,ACTIVATION_FWD13667284123619255814<CUDNN_ACTIVATION_RELU>,0.008980,1161600
squeezenet0_pool1_fwd,Pooling,POOLING_FWD156943281399586048<CUDNN_POOLING_MAX>,0.022893,1679616
squeezenet0_conv7_fwd,Conv,CONV_FWD_43912333856022782347<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.025488,11943936
squeezenet0_conv7_fwd,Conv,ADD_TENSOR9232324280472024704,0.006665,11943936
squeezenet0_relu7_fwd,Relu,ACTIVATION_FWD7434709271380756585<CUDNN_ACTIVATION_CLIPPED_RELU>,0.005464,139968
squeezenet0_conv8_fwd,Conv,CONV_FWD_112291491270679162565<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.017754,11943936
squeezenet0_conv8_fwd,Conv,ADD_TENSOR2601460392639384446,0.010463,11943936
squeezenet0_relu8_fwd,Relu,ACTIVATION_FWD229542307387656327<CUDNN_ACTIVATION_RELU>,0.006246,559872
squeezenet0_conv9_fwd,Conv,CONV_FWD_218338802458097507910<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.032645,107495424
squeezenet0_conv9_fwd,Conv,ADD_TENSOR2601460392639384446,0.010463,107495424
squeezenet0_relu9_fwd,Relu,ACTIVATION_FWD229542307387656327<CUDNN_ACTIVATION_RELU>,0.006246,559872
squeezenet0_conv10_fwd,Conv,CONV_FWD_2810345487699561006<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.041567,23887872
squeezenet0_conv10_fwd,Conv,ADD_TENSOR9232324280472024704,0.006665,23887872
squeezenet0_relu10_fwd,Relu,ACTIVATION_FWD7434709271380756585<CUDNN_ACTIVATION_CLIPPED_RELU>,0.005464,139968
squeezenet0_conv11_fwd,Conv,CONV_FWD_112291491270679162565<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.017754,11943936
squeezenet0_conv11_fwd,Conv,ADD_TENSOR2601460392639384446,0.010463,11943936
squeezenet0_relu11_fwd,Relu,ACTIVATION_FWD229542307387656327<CUDNN_ACTIVATION_RELU>,0.006246,559872
squeezenet0_conv12_fwd,Conv,CONV_FWD_218338802458097507910<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.032645,107495424
squeezenet0_conv12_fwd,Conv,ADD_TENSOR2601460392639384446,0.010463,107495424
squeezenet0_relu12_fwd,Relu,ACTIVATION_FWD229542307387656327<CUDNN_ACTIVATION_RELU>,0.006246,559872
squeezenet0_pool2_fwd,Pooling,POOLING_FWD13673481874362278226<CUDNN_POOLING_MAX>,0.011707,778752
squeezenet0_conv13_fwd,Conv,CONV_FWD_216987595636739930084<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.042427,8306688
squeezenet0_conv13_fwd,Conv,ADD_TENSOR15193844879742958815,0.005771,8306688
squeezenet0_relu13_fwd,Relu,ACTIVATION_FWD3720399943937968592<CUDNN_ACTIVATION_RELU>,0.005246,48672
squeezenet0_conv14_fwd,Conv,CONV_FWD_017732959621578253021<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.014107,6230016
squeezenet0_conv14_fwd,Conv,ADD_TENSOR17203037976305333463,0.006955,6230016
squeezenet0_relu14_fwd,Relu,ACTIVATION_FWD6703587948528685469<CUDNN_ACTIVATION_RELU>,0.005567,194688
squeezenet0_conv15_fwd,Conv,CONV_FWD_16348822923506628247<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.023098,56070144
