LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv1_1_3x3_s2,Conv,CONV_FWD_36155410446071824496<CUDNN_CONVOLUTION_FWD_A...,1.484074,1105920000
conv1_1_3x3_s2/bn,BatchNorm,BATCHNORM_FWD_INFERENCE15723146203950082366<CUDNN_BAT...,3.287227,40960000
conv1_1_3x3_s2/relu,Relu,ACTIVATION_FWD18113828047369600648<CUDNN_ACTIVATION_R...,1.784487,61440000
conv1_2_3x3,Conv,CONV_FWD_19991346406333591338<CUDNN_CONVOLUTION_FWD_A...,7.449028,23592960000
conv1_2_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE15723146203950082366<CUDNN_BAT...,3.287227,40960000
conv1_2_3x3/relu,Relu,ACTIVATION_FWD18113828047369600648<CUDNN_ACTIVATION_R...,1.784487,61440000
conv1_3_3x3,Conv,CONV_FWD_29621123883956403668<CUDNN_CONVOLUTION_FWD_A...,14.739705,47185920000
conv1_3_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE3331574439069540177<CUDNN_BATC...,6.527641,81920000
conv1_3_3x3/relu,Relu,ACTIVATION_FWD1112048004468295911<CUDNN_ACTIVATION_RE...,3.544802,122880000
pool1_3x3_s2,Pooling,POOLING_FWD11917782786444039336<CUDNN_POOLING_MAX_DET...,3.143911,91240704
conv2_1_1x1_reduce,Conv,CONV_FWD_114062685786379152107<CUDNN_CONVOLUTION_FWD_...,0.908303,1297645568
conv2_1_1x1_reduce/bn,BatchNorm,BATCHNORM_FWD_INFERENCE8745590638297879893<CUDNN_BATC...,0.816305,10137856
conv2_1_1x1_reduce/relu,Relu,ACTIVATION_FWD6344583211388699363<CUDNN_ACTIVATION_CL...,0.593580,15206784
conv2_1_3x3,Conv,CONV_FWD_214453986662948762409<CUDNN_CONVOLUTION_FWD_...,2.430830,5839405056
conv2_1_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE8745590638297879893<CUDNN_BATC...,0.816305,10137856
conv2_1_3x3/relu,Relu,ACTIVATION_FWD6344583211388699363<CUDNN_ACTIVATION_CL...,0.593580,15206784
conv2_1_1x1_increase,Conv,CONV_FWD_015904942102360475877<CUDNN_CONVOLUTION_FWD_...,1.987859,2595291136
conv2_1_1x1_increase/bn,BatchNorm,BATCHNORM_FWD_INFERENCE2957429005728612297<CUDNN_BATC...,3.236128,40551424
conv2_1_1x1_proj,Conv,CONV_FWD_09444967008624042404<CUDNN_CONVOLUTION_FWD_A...,3.273754,5190582272
conv2_1_1x1_proj/bn,BatchNorm,BATCHNORM_FWD_INFERENCE2957429005728612297<CUDNN_BATC...,3.236128,40551424
conv2_1,ElementWise,OP_TENSOR_ADD_FWD4810397389771365752,3.940705,20275712
