LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
vgg0_conv0_fwd,Conv,CONV_FWD_29674589072068064413<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.459538,346816512
vgg0_conv0_fwd,Conv,ADD_TENSOR229908313183648633,0.456245,346816512
vgg0_relu0_fwd,Relu,ACTIVATION_FWD8981039896375023449<CUDNN_ACTIVATION_RELU>,0.589387,19267584
vgg0_conv1_fwd,Conv,CONV_FWD_413941656561185172240<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,2.362140,7398752256
vgg0_conv1_fwd,Conv,ADD_TENSOR229908313183648633,0.456245,7398752256
vgg0_relu1_fwd,Relu,ACTIVATION_FWD8981039896375023449<CUDNN_ACTIVATION_RELU>,0.589387,19267584
vgg0_pool0_fwd,Pooling,POOLING_FWD14629992620950112833<CUDNN_POOLING_MAX>,0.324474,6422528
vgg0_conv2_fwd,Conv,CONV_FWD_34802029058154162989<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,1.197450,3699376128
vgg0_conv2_fwd,Conv,ADD_TENSOR5898458291473977371,0.233582,3699376128
vgg0_relu2_fwd,Relu,ACTIVATION_FWD16852288315803100528<CUDNN_ACTIVATION_RELU>,0.302217,9633792
vgg0_conv3_fwd,Conv,CONV_FWD_118339526513789636814<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,2.136201,7398752256
vgg0_conv3_fwd,Conv,ADD_TENSOR5898458291473977371,0.233582,7398752256
vgg0_relu3_fwd,Relu,ACTIVATION_FWD16852288315803100528<CUDNN_ACTIVATION_RELU>,0.302217,9633792
vgg0_pool1_fwd,Pooling,POOLING_FWD1180600173709158436<CUDNN_POOLING_MAX>,0.173212,3211264
vgg0_conv4_fwd,Conv,CONV_FWD_39916777868873004928<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,1.273362,3699376128
vgg0_conv4_fwd,Conv,ADD_TENSOR13392590256773713966,0.120715,3699376128
vgg0_relu4_fwd,Relu,ACTIVATION_FWD4202858852911894179<CUDNN_ACTIVATION_RELU>,0.155300,4816896
vgg0_conv5_fwd,Conv,CONV_FWD_21478181331398682145<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,2.634888,7398752256
vgg0_conv5_fwd,Conv,ADD_TENSOR13392590256773713966,0.120715,7398752256
vgg0_relu5_fwd,Relu,ACTIVATION_FWD4202858852911894179<CUDNN_ACTIVATION_RELU>,0.155300,4816896
