LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv23_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE99316898568972638<CUDNN_BATCHNORM_SPATIAL...,0.049868,602112
resnetv23_conv0_fwd,Conv,CONV_FWD_417924724977167021820<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.230978,472055808
resnetv23_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE9100550651633946381<CUDNN_BATCHNORM_PER_A...,0.107567,3211264
resnetv23_relu0_fwd,Relu,ACTIVATION_FWD6852594140578207931<CUDNN_ACTIVATION_RELU>,0.064983,4816896
resnetv23_pool0_fwd,Pooling,POOLING_FWD9240476157489154913<CUDNN_POOLING_MAX_DETERMINISTIC>,0.067470,3612672
resnetv23_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8753455589369015865<CUDNN_BATCHNORM_PER_A...,0.033580,802816
resnetv23_stage1_activation0,Relu,ACTIVATION_FWD6352448163533453711<CUDNN_ACTIVATION_RELU>,0.013846,1204224
resnetv23_stage1_conv0_fwd,Conv,CONV_FWD_47217592217882241184<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.168541,462422016
resnetv23_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8753455589369015865<CUDNN_BATCHNORM_PER_A...,0.033580,802816
resnetv23_stage1_activation1,Relu,ACTIVATION_FWD6352448163533453711<CUDNN_ACTIVATION_RELU>,0.013846,1204224
resnetv23_stage1_conv1_fwd,Conv,CONV_FWD_47217592217882241184<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.168541,462422016
resnetv23_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD1347022181792828552,0.026778,401408
resnetv23_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8753455589369015865<CUDNN_BATCHNORM_PER_A...,0.033580,802816
resnetv23_stage1_activation2,Relu,ACTIVATION_FWD6352448163533453711<CUDNN_ACTIVATION_RELU>,0.013846,1204224
resnetv23_stage1_conv2_fwd,Conv,CONV_FWD_47217592217882241184<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.168541,462422016
resnetv23_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8753455589369015865<CUDNN_BATCHNORM_PER_A...,0.033580,802816
resnetv23_stage1_activation3,Relu,ACTIVATION_FWD6352448163533453711<CUDNN_ACTIVATION_RELU>,0.013846,1204224
resnetv23_stage1_conv3_fwd,Conv,CONV_FWD_47217592217882241184<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.168541,462422016
resnetv23_stage1__plus1,ElementWise,OP_TENSOR_ADD_FWD1347022181792828552,0.026778,401408
resnetv23_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8753455589369015865<CUDNN_BATCHNORM_PER_A...,0.033580,802816
resnetv23_stage1_activation4,Relu,ACTIVATION_FWD6352448163533453711<CUDNN_ACTIVATION_RELU>,0.013846,1204224
resnetv23_stage1_conv4_fwd,Conv,CONV_FWD_47217592217882241184<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.168541,462422016
resnetv23_stage1_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8753455589369015865<CUDNN_BATCHNORM_PER_A...,0.033580,802816
resnetv23_stage1_activation5,Relu,ACTIVATION_FWD6352448163533453711<CUDNN_ACTIVATION_RELU>,0.013846,1204224
resnetv23_stage1_conv5_fwd,Conv,CONV_FWD_47217592217882241184<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.168541,462422016
resnetv23_stage1__plus2,ElementWise,OP_TENSOR_ADD_FWD1347022181792828552,0.026778,401408
resnetv23_stage2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8753455589369015865<CUDNN_BATCHNORM_PER_A...,0.033580,802816
resnetv23_stage2_activation0,Relu,ACTIVATION_FWD6352448163533453711<CUDNN_ACTIVATION_RELU>,0.013846,1204224
resnetv23_stage2_conv0_fwd,Conv,CONV_FWD_215110248376917926588<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.183337,231211008
resnetv23_stage2_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10312163411967606206<CUDNN_BATCHNORM_PER_...,0.015556,401408
resnetv23_stage2_activation1,Relu,ACTIVATION_FWD12560189119241316872<CUDNN_ACTIVATION_RELU>,0.010948,602112
resnetv23_stage2_conv1_fwd,Conv,CONV_FWD_317751717932441780660<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.199075,462422016
resnetv23_stage2_conv2_fwd,Conv,CONV_FWD_23313740701189255644<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.043101,25690112
resnetv23_stage2__plus0,ElementWise,OP_TENSOR_ADD_FWD16489711293590265615,0.012262,200704
resnetv23_stage2_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10312163411967606206<CUDNN_BATCHNORM_PER_...,0.015556,401408
resnetv23_stage2_activation2,Relu,ACTIVATION_FWD12560189119241316872<CUDNN_ACTIVATION_RELU>,0.010948,602112
resnetv23_stage2_conv3_fwd,Conv,CONV_FWD_317751717932441780660<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.199075,462422016
resnetv23_stage2_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10312163411967606206<CUDNN_BATCHNORM_PER_...,0.015556,401408
resnetv23_stage2_activation3,Relu,ACTIVATION_FWD12560189119241316872<CUDNN_ACTIVATION_RELU>,0.010948,602112
resnetv23_stage2_conv4_fwd,Conv,CONV_FWD_317751717932441780660<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.199075,462422016
resnetv23_stage2__plus1,ElementWise,OP_TENSOR_ADD_FWD16489711293590265615,0.012262,200704
resnetv23_stage2_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10312163411967606206<CUDNN_BATCHNORM_PER_...,0.015556,401408
resnetv23_stage2_activation4,Relu,ACTIVATION_FWD12560189119241316872<CUDNN_ACTIVATION_RELU>,0.010948,602112
resnetv23_stage2_conv5_fwd,Conv,CONV_FWD_317751717932441780660<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.199075,462422016
resnetv23_stage2_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10312163411967606206<CUDNN_BATCHNORM_PER_...,0.015556,401408
resnetv23_stage2_activation5,Relu,ACTIVATION_FWD12560189119241316872<CUDNN_ACTIVATION_RELU>,0.010948,602112
resnetv23_stage2_conv6_fwd,Conv,CONV_FWD_317751717932441780660<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.199075,462422016
resnetv23_stage2__plus2,ElementWise,OP_TENSOR_ADD_FWD16489711293590265615,0.012262,200704
resnetv23_stage2_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10312163411967606206<CUDNN_BATCHNORM_PER_...,0.015556,401408
resnetv23_stage2_activation6,Relu,ACTIVATION_FWD12560189119241316872<CUDNN_ACTIVATION_RELU>,0.010948,602112
resnetv23_stage2_conv7_fwd,Conv,CONV_FWD_317751717932441780660<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.199075,462422016
resnetv23_stage2_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10312163411967606206<CUDNN_BATCHNORM_PER_...,0.015556,401408
resnetv23_stage2_activation7,Relu,ACTIVATION_FWD12560189119241316872<CUDNN_ACTIVATION_RELU>,0.010948,602112
resnetv23_stage2_conv8_fwd,Conv,CONV_FWD_317751717932441780660<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.199075,462422016
resnetv23_stage2__plus3,ElementWise,OP_TENSOR_ADD_FWD16489711293590265615,0.012262,200704
resnetv23_stage3_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10312163411967606206<CUDNN_BATCHNORM_PER_...,0.015556,401408
resnetv23_stage3_activation0,Relu,ACTIVATION_FWD12560189119241316872<CUDNN_ACTIVATION_RELU>,0.010948,602112
resnetv23_stage3_conv0_fwd,Conv,CONV_FWD_0849527975342004480<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.309299,231211008
resnetv23_stage3_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage3_activation1,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage3_conv1_fwd,Conv,CONV_FWD_215385655523508771601<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.207226,462422016
resnetv23_stage3_conv2_fwd,Conv,CONV_FWD_416585961380709918188<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.047725,25690112
resnetv23_stage3__plus0,ElementWise,OP_TENSOR_ADD_FWD4633289699287880524,0.010353,100352
resnetv23_stage3_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage3_activation2,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage3_conv3_fwd,Conv,CONV_FWD_215385655523508771601<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.207226,462422016
resnetv23_stage3_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage3_activation3,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage3_conv4_fwd,Conv,CONV_FWD_215385655523508771601<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.207226,462422016
resnetv23_stage3__plus1,ElementWise,OP_TENSOR_ADD_FWD4633289699287880524,0.010353,100352
resnetv23_stage3_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage3_activation4,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage3_conv5_fwd,Conv,CONV_FWD_215385655523508771601<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.207226,462422016
resnetv23_stage3_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage3_activation5,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage3_conv6_fwd,Conv,CONV_FWD_215385655523508771601<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.207226,462422016
resnetv23_stage3__plus2,ElementWise,OP_TENSOR_ADD_FWD4633289699287880524,0.010353,100352
resnetv23_stage3_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage3_activation6,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage3_conv7_fwd,Conv,CONV_FWD_215385655523508771601<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.207226,462422016
resnetv23_stage3_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage3_activation7,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage3_conv8_fwd,Conv,CONV_FWD_215385655523508771601<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.207226,462422016
resnetv23_stage3__plus3,ElementWise,OP_TENSOR_ADD_FWD4633289699287880524,0.010353,100352
resnetv23_stage3_batchnorm8_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage3_activation8,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage3_conv9_fwd,Conv,CONV_FWD_215385655523508771601<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.207226,462422016
resnetv23_stage3_batchnorm9_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage3_activation9,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage3_conv10_fwd,Conv,CONV_FWD_215385655523508771601<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.207226,462422016
resnetv23_stage3__plus4,ElementWise,OP_TENSOR_ADD_FWD4633289699287880524,0.010353,100352
resnetv23_stage3_batchnorm10_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage3_activation10,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage3_conv11_fwd,Conv,CONV_FWD_215385655523508771601<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.207226,462422016
resnetv23_stage3_batchnorm11_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage3_activation11,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage3_conv12_fwd,Conv,CONV_FWD_215385655523508771601<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.207226,462422016
resnetv23_stage3__plus5,ElementWise,OP_TENSOR_ADD_FWD4633289699287880524,0.010353,100352
resnetv23_stage4_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3136705035542327805<CUDNN_BATCHNORM_PER_A...,0.011929,200704
resnetv23_stage4_activation0,Relu,ACTIVATION_FWD780591776496674379<CUDNN_ACTIVATION_RELU>,0.009578,301056
resnetv23_stage4_conv0_fwd,Conv,CONV_FWD_416031889648998187006<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.478873,231211008
resnetv23_stage4_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1309056632027508125<CUDNN_BATCHNORM_PER_A...,0.009351,100352
resnetv23_stage4_activation1,Relu,ACTIVATION_FWD3708816116460517931<CUDNN_ACTIVATION_RELU>,0.008910,150528
resnetv23_stage4_conv1_fwd,Conv,CONV_FWD_417681756241543647720<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.466140,462422016
resnetv23_stage4_conv2_fwd,Conv,CONV_FWD_39393221322775352986<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.064183,25690112
resnetv23_stage4__plus0,ElementWise,OP_TENSOR_ADD_FWD8782482033515712300,0.009526,50176
resnetv23_stage4_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1309056632027508125<CUDNN_BATCHNORM_PER_A...,0.009351,100352
resnetv23_stage4_activation2,Relu,ACTIVATION_FWD3708816116460517931<CUDNN_ACTIVATION_RELU>,0.008910,150528
resnetv23_stage4_conv3_fwd,Conv,CONV_FWD_417681756241543647720<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.466140,462422016
resnetv23_stage4_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1309056632027508125<CUDNN_BATCHNORM_PER_A...,0.009351,100352
resnetv23_stage4_activation3,Relu,ACTIVATION_FWD3708816116460517931<CUDNN_ACTIVATION_RELU>,0.008910,150528
resnetv23_stage4_conv4_fwd,Conv,CONV_FWD_417681756241543647720<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.466140,462422016
resnetv23_stage4__plus1,ElementWise,OP_TENSOR_ADD_FWD8782482033515712300,0.009526,50176
resnetv23_stage4_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1309056632027508125<CUDNN_BATCHNORM_PER_A...,0.009351,100352
resnetv23_stage4_activation4,Relu,ACTIVATION_FWD3708816116460517931<CUDNN_ACTIVATION_RELU>,0.008910,150528
resnetv23_stage4_conv5_fwd,Conv,CONV_FWD_417681756241543647720<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.466140,462422016
resnetv23_stage4_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1309056632027508125<CUDNN_BATCHNORM_PER_A...,0.009351,100352
resnetv23_stage4_activation5,Relu,ACTIVATION_FWD3708816116460517931<CUDNN_ACTIVATION_RELU>,0.008910,150528
resnetv23_stage4_conv6_fwd,Conv,CONV_FWD_417681756241543647720<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,0.466140,462422016
resnetv23_stage4__plus2,ElementWise,OP_TENSOR_ADD_FWD8782482033515712300,0.009526,50176
resnetv23_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE1309056632027508125<CUDNN_BATCHNORM_PER_A...,0.009351,100352
resnetv23_relu1_fwd,Relu,ACTIVATION_FWD3708816116460517931<CUDNN_ACTIVATION_RELU>,0.008910,150528
resnetv23_dense0_fwd,Gemm,GEMM_FWD12650233364903600683,0.041038,2050000
,,Total,9.835121,14699654096
