LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv15_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14901140743263269465<CUDNN_BAT...,4.425112,411041792
resnetv15_relu0_fwd,Relu,ACTIVATION_FWD2427895342727703615<CUDNN_ACTIVATION_RE...,2.343706,616562688
resnetv15_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE6799436594138236113<CUDNN_BATC...,1.097220,102760448
resnetv15_stage1_relu0_fwd,Relu,ACTIVATION_FWD12765051768404204215<CUDNN_ACTIVATION_R...,0.565968,154140672
resnetv15_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE6799436594138236113<CUDNN_BATC...,1.097220,102760448
resnetv15_stage1_activation0,Relu,ACTIVATION_FWD12765051768404204215<CUDNN_ACTIVATION_R...,0.565968,154140672
resnetv15_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE6799436594138236113<CUDNN_BATC...,1.097220,102760448
resnetv15_stage1_relu1_fwd,Relu,ACTIVATION_FWD12765051768404204215<CUDNN_ACTIVATION_R...,0.565968,154140672
resnetv15_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE6799436594138236113<CUDNN_BATC...,1.097220,102760448
resnetv15_stage1_activation1,Relu,ACTIVATION_FWD12765051768404204215<CUDNN_ACTIVATION_R...,0.565968,154140672
resnetv15_stage2_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12104039157700183270<CUDNN_BAT...,0.364772,51380224
resnetv15_stage2_conv0_fwd,Conv,CONV_FWD_03222107921936158860<CUDNN_CONVOLUTION_FWD_A...,2.390222,29595009024
resnetv15_stage2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12104039157700183270<CUDNN_BAT...,0.364772,51380224
resnetv15_stage2_relu0_fwd,Relu,ACTIVATION_FWD5224402096529463936<CUDNN_ACTIVATION_CL...,0.282457,77070336
resnetv15_stage2_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12104039157700183270<CUDNN_BAT...,0.364772,51380224
resnetv15_stage2_activation0,Relu,ACTIVATION_FWD5224402096529463936<CUDNN_ACTIVATION_CL...,0.282457,77070336
resnetv15_stage2_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12104039157700183270<CUDNN_BAT...,0.364772,51380224
resnetv15_stage2_relu1_fwd,Relu,ACTIVATION_FWD5224402096529463936<CUDNN_ACTIVATION_CL...,0.282457,77070336
resnetv15_stage2_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12104039157700183270<CUDNN_BAT...,0.364772,51380224
resnetv15_stage2_activation1,Relu,ACTIVATION_FWD5224402096529463936<CUDNN_ACTIVATION_CL...,0.282457,77070336
resnetv15_stage3_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10705077531754725789<CUDNN_BAT...,0.157546,25690112
resnetv15_stage3_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10705077531754725789<CUDNN_BAT...,0.157546,25690112
resnetv15_stage3_relu0_fwd,Relu,ACTIVATION_FWD8929215504087982075<CUDNN_ACTIVATION_RE...,0.143902,38535168
resnetv15_stage3_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10705077531754725789<CUDNN_BAT...,0.157546,25690112
resnetv15_stage3_activation0,Relu,ACTIVATION_FWD8929215504087982075<CUDNN_ACTIVATION_RE...,0.143902,38535168
resnetv15_stage3_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10705077531754725789<CUDNN_BAT...,0.157546,25690112
