LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_412452468484247195714<CUDNN_CONVOLUTION_FWD_...,0.636611,6503473152
conv_1,Conv,ADD_TENSOR8711332258583671187,0.022821,6503473152
relu_1,Relu,ACTIVATION_FWD5252923620962492427<CUDNN_ACTIVATION_RE...,0.130210,26873856
maxpool_1,Pooling,POOLING_FWD16115262484882341522<CUDNN_POOLING_MAX_DET...,0.103866,20155392
conv2_2,Conv,CONV_FWD_31824843234582819560<CUDNN_CONVOLUTION_FWD_A...,0.392753,14332723200
conv2_2,Conv,ADD_TENSOR17015374681507655861,0.178362,14332723200
relu_2,Relu,ACTIVATION_FWD8310012721119179739<CUDNN_ACTIVATION_RE...,0.088828,17915904
maxpool_2,Pooling,POOLING_FWD110793499160384869<CUDNN_POOLING_MAX>,0.073634,12460032
conv_3,Conv,CONV_FWD_26673293227896137414<CUDNN_CONVOLUTION_FWD_A...,0.493038,9569304576
conv_3,Conv,ADD_TENSOR6832339066343397142,0.330639,9569304576
relu_3,Relu,ACTIVATION_FWD7641986264954997942<CUDNN_ACTIVATION_RE...,0.034710,6230016
conv4_2,Conv,CONV_FWD_49776967562082265552<CUDNN_CONVOLUTION_FWD_A...,0.411007,7176978432
conv4_2,Conv,ADD_TENSOR6024150158707836929,0.488381,7176978432
relu_4,Relu,ACTIVATION_FWD7641986264954997942<CUDNN_ACTIVATION_RE...,0.034710,6230016
conv5_2,Conv,CONV_FWD_36186183081635571140<CUDNN_CONVOLUTION_FWD_A...,0.313901,4784652288
conv5_2,Conv,ADD_TENSOR11576600575530133401,0.330576,4784652288
relu_5,Relu,ACTIVATION_FWD6640195824710627332<CUDNN_ACTIVATION_RE...,0.025298,4153344
maxpool_3,Pooling,POOLING_FWD10573332603482582933<CUDNN_POOLING_MAX>,0.023441,2654208
gemm_1,Gemm,GEMV_FWD11834086122963772656,0.244749,75501568
relu_6,Relu,ACTIVATION_FWD9601209836186449017<CUDNN_ACTIVATION_CL...,0.006171,12288
dropout_1,Dropout,DROPOUT_FWD4066049182186887235,0.007665,4096
dropout_1,Dropout,DROPOUT_FWD4066049182186887235,0.007665,4096
gemm_2,Gemm,GEMV_FWD756348454562328960,0.110754,33558528
relu_7,Relu,ACTIVATION_FWD9601209836186449017<CUDNN_ACTIVATION_CL...,0.006171,12288
dropout_2,Dropout,DROPOUT_FWD4066049182186887235,0.007665,4096
dropout_2,Dropout,DROPOUT_FWD4066049182186887235,0.007665,4096
gemm_3,Gemm,GEMV_FWD9123359289530762999,0.039444,8193000
softmax_1,Softmax,"SOFTMAX_FWD14810844336383846567<CUDNN_SOFTMAX_FAST, C...",0.005861,3000
,,Total,4.556596,84948233120
