LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_311341553762729948426<CUDNN_CONVOLUTION_FWD_...,0.995168,10730539008
conv_1,Conv,ADD_TENSOR7499812043649087319,0.022833,10730539008
relu_1,Relu,ACTIVATION_FWD9143160698602414111<CUDNN_ACTIVATION_RE...,0.517716,109495296
maxpool_1,Pooling,POOLING_FWD16226782574338080791<CUDNN_POOLING_MAX>,0.401737,80621568
conv_2,Conv,CONV_FWD_18299657107138569573<CUDNN_CONVOLUTION_FWD_A...,1.970438,24576000000
conv_2,Conv,ADD_TENSOR198551324422156338,0.343232,24576000000
relu_2,Relu,ACTIVATION_FWD13352384874409065580<CUDNN_ACTIVATION_R...,0.076985,15360000
maxpool_2,Pooling,POOLING_FWD5535214164300141407<CUDNN_POOLING_MAX_DETE...,0.062226,10616832
conv_3,Conv,CONV_FWD_39826153883472199613<CUDNN_CONVOLUTION_FWD_A...,0.475592,10871635968
conv_3,Conv,ADD_TENSOR9019697105715494368,0.405939,10871635968
relu_3,Relu,ACTIVATION_FWD268286509770121414<CUDNN_ACTIVATION_REL...,0.038857,7077888
conv_4,Conv,CONV_FWD_311377687427542997987<CUDNN_CONVOLUTION_FWD_...,0.899188,21743271936
conv_4,Conv,ADD_TENSOR7535734048711629246,0.799321,21743271936
relu_4,Relu,ACTIVATION_FWD268286509770121414<CUDNN_ACTIVATION_REL...,0.038857,7077888
conv_5,Conv,CONV_FWD_311377687427542997987<CUDNN_CONVOLUTION_FWD_...,0.899188,21743271936
conv_5,Conv,ADD_TENSOR7535734048711629246,0.799321,21743271936
relu_5,Relu,ACTIVATION_FWD268286509770121414<CUDNN_ACTIVATION_REL...,0.038857,7077888
maxpool_3,Pooling,POOLING_FWD6795572242776593101<CUDNN_POOLING_MAX_DETE...,0.029058,2359296
gemm_1,Gemm,GEMV_FWD8829970637362306735,0.485563,150999040
relu_6,Relu,ACTIVATION_FWD9601209836186449017<CUDNN_ACTIVATION_CL...,0.006171,12288
gemm_2,Gemm,GEMV_FWD5051095347874161922,0.052410,8389632
relu_7,Relu,ACTIVATION_FWD11130540404707653957<CUDNN_ACTIVATION_R...,0.006150,3072
gemm_3,Gemm,GEMV_FWD17756733285138477455,0.010786,2049000
softmax_1,Softmax,"SOFTMAX_FWD14810844336383846567<CUDNN_SOFTMAX_FAST, C...",0.005861,3000
,,Total,9.381454,179730580384
