LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_417912200847343062432<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,2.561765,1341317376
conv_1,Conv,ADD_TENSOR3911737744767316938,0.502457,1341317376
relu_1,Relu,ACTIVATION_FWD7878337245538020161<CUDNN_ACTIVATION_CLIPPED_RELU>,0.738077,13686912
maxpool_1,Pooling,POOLING_FWD1532822559795359861<CUDNN_POOLING_MAX_DETERMINISTIC>,0.489060,10077696
conv_2,Conv,CONV_FWD_410538741940339231429<CUDNN_CONVOLUTION_FWD_ALGO_GEMM>,4.166394,3072000000
conv_2,Conv,ADD_TENSOR3136563277698961601,0.034754,3072000000
relu_2,Relu,ACTIVATION_FWD13239612621031539022<CUDNN_ACTIVATION_RELU>,0.061443,1920000
maxpool_2,Pooling,POOLING_FWD13305241664117744445<CUDNN_POOLING_MAX>,0.086476,1327104
conv_3,Conv,CONV_FWD_113679838398928481901<CUDNN_CONVOLUTION_FWD_ALGO_GEMM>,2.048468,1358954496
conv_3,Conv,ADD_TENSOR6657488316017195766,0.028497,1358954496
relu_3,Relu,ACTIVATION_FWD11858190037475373040<CUDNN_ACTIVATION_RELU>,0.035578,884736
conv_4,Conv,CONV_FWD_417875924525195338569<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,4.198765,2717908992
conv_4,Conv,ADD_TENSOR6657488316017195766,0.028497,2717908992
relu_4,Relu,ACTIVATION_FWD11858190037475373040<CUDNN_ACTIVATION_RELU>,0.035578,884736
conv_5,Conv,CONV_FWD_417875924525195338569<CUDNN_CONVOLUTION_FWD_ALGO_WINOGR...,4.198765,2717908992
conv_5,Conv,ADD_TENSOR6657488316017195766,0.028497,2717908992
relu_5,Relu,ACTIVATION_FWD11858190037475373040<CUDNN_ACTIVATION_RELU>,0.035578,884736
maxpool_3,Pooling,POOLING_FWD12266127303831003823<CUDNN_POOLING_MAX_DETERMINISTIC>,0.039205,294912
gemm_1,Gemm,GEMV_FWD3012803393272109560,2.430767,150999040
relu_6,Relu,ACTIVATION_FWD13491423864519241330<CUDNN_ACTIVATION_CLIPPED_RELU...,0.017683,12288
gemm_2,Gemm,GEMV_FWD5653645893692388569,0.162013,8389632
relu_7,Relu,ACTIVATION_FWD18354076799367723294<CUDNN_ACTIVATION_RELU>,0.015441,3072
gemm_3,Gemm,GEMV_FWD11983693980394723532,0.069993,2049000
softmax_1,Softmax,"SOFTMAX_FWD13635604027139163812<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMA...",0.016839,3000
,,Total,22.030590,22607596576
