LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
squeezenet0_conv0_fwd,Conv,CONV_FWD_211811426565684132348<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.049668,170325504
squeezenet0_conv0_fwd,Conv,ADD_TENSOR14325211532998611965,0.031805,170325504
squeezenet0_relu0_fwd,Relu,ACTIVATION_FWD3169759923831571345<CUDNN_ACTIVATION_CLIPPED_RELU>,0.049812,9462528
squeezenet0_pool0_fwd,Pooling,POOLING_FWD11228633837516719692<CUDNN_POOLING_MAX>,0.041070,6969600
squeezenet0_conv1_fwd,Conv,CONV_FWD_012331517918925180577<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.019190,24780800
squeezenet0_conv1_fwd,Conv,ADD_TENSOR6552026148074537003,0.007657,24780800
squeezenet0_relu1_fwd,Relu,ACTIVATION_FWD1571281068804589328<CUDNN_ACTIVATION_RELU>,0.007030,580800
squeezenet0_conv2_fwd,Conv,CONV_FWD_416012944102640145745<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.021276,24780800
squeezenet0_conv2_fwd,Conv,ADD_TENSOR10617728124354118115,0.012398,24780800
squeezenet0_relu2_fwd,Relu,ACTIVATION_FWD5271462231968928231<CUDNN_ACTIVATION_RELU>,0.014995,2323200
squeezenet0_conv3_fwd,Conv,CONV_FWD_18215531357681200971<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.030612,223027200
squeezenet0_conv3_fwd,Conv,ADD_TENSOR10617728124354118115,0.012398,223027200
squeezenet0_relu3_fwd,Relu,ACTIVATION_FWD5271462231968928231<CUDNN_ACTIVATION_RELU>,0.014995,2323200
squeezenet0_conv4_fwd,Conv,CONV_FWD_47468224505117598128<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.030352,49561600
squeezenet0_conv4_fwd,Conv,ADD_TENSOR6552026148074537003,0.007657,49561600
squeezenet0_relu4_fwd,Relu,ACTIVATION_FWD1571281068804589328<CUDNN_ACTIVATION_RELU>,0.007030,580800
squeezenet0_conv5_fwd,Conv,CONV_FWD_416012944102640145745<CUDNN_CONVOLUTION_FWD_ALGO_IMPLIC...,0.021276,24780800
squeezenet0_conv5_fwd,Conv,ADD_TENSOR10617728124354118115,0.012398,24780800
squeezenet0_relu5_fwd,Relu,ACTIVATION_FWD5271462231968928231<CUDNN_ACTIVATION_RELU>,0.014995,2323200
squeezenet0_conv6_fwd,Conv,CONV_FWD_18215531357681200971<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.030612,223027200
squeezenet0_conv6_fwd,Conv,ADD_TENSOR10617728124354118115,0.012398,223027200
squeezenet0_relu6_fwd,Relu,ACTIVATION_FWD5271462231968928231<CUDNN_ACTIVATION_RELU>,0.014995,2323200
squeezenet0_pool1_fwd,Pooling,POOLING_FWD5337129931915286869<CUDNN_POOLING_MAX>,0.023345,3359232
squeezenet0_conv7_fwd,Conv,CONV_FWD_43263609136774289122<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.021351,23887872
squeezenet0_conv7_fwd,Conv,ADD_TENSOR13717508209460461038,0.007230,23887872
squeezenet0_relu7_fwd,Relu,ACTIVATION_FWD9016515621826220336<CUDNN_ACTIVATION_CLIPPED_RELU>,0.006607,279936
squeezenet0_conv8_fwd,Conv,CONV_FWD_22896574658730549555<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.019597,23887872
squeezenet0_conv8_fwd,Conv,ADD_TENSOR8810229692423227501,0.009161,23887872
