LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
vgg0_conv0_fwd,Conv,CONV_FWD_48573835929305385137<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.248056,693633024
vgg0_conv0_fwd,Conv,ADD_TENSOR12907120163589199556,0.360977,693633024
vgg0_relu0_fwd,Relu,ACTIVATION_FWD1850083273288418068<CUDNN_ACTIVATION_RELU>,0.251415,38535168
vgg0_conv1_fwd,Conv,CONV_FWD_311917371174947529341<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.108787,14797504512
vgg0_conv1_fwd,Conv,ADD_TENSOR12907120163589199556,0.360977,14797504512
vgg0_relu1_fwd,Relu,ACTIVATION_FWD1850083273288418068<CUDNN_ACTIVATION_RELU>,0.251415,38535168
vgg0_pool0_fwd,Pooling,POOLING_FWD9454450584037871124<CUDNN_POOLING_MAX>,0.163486,12845056
vgg0_conv2_fwd,Conv,CONV_FWD_417999914496812623424<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.550045,7398752256
vgg0_conv2_fwd,Conv,ADD_TENSOR13355812138373431639,0.170869,7398752256
vgg0_relu2_fwd,Relu,ACTIVATION_FWD15590529315453751929<CUDNN_ACTIVATION_RELU>,0.128041,19267584
vgg0_conv3_fwd,Conv,CONV_FWD_03840064658852219217<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.933587,14797504512
vgg0_conv3_fwd,Conv,ADD_TENSOR13355812138373431639,0.170869,14797504512
vgg0_relu3_fwd,Relu,ACTIVATION_FWD15590529315453751929<CUDNN_ACTIVATION_RELU>,0.128041,19267584
vgg0_pool1_fwd,Pooling,POOLING_FWD6367682959879466097<CUDNN_POOLING_MAX>,0.095787,6422528
vgg0_conv4_fwd,Conv,CONV_FWD_35615904234603070697<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.530819,7398752256
vgg0_conv4_fwd,Conv,ADD_TENSOR13564243311409673754,0.090941,7398752256
vgg0_relu4_fwd,Relu,ACTIVATION_FWD12616547177222835890<CUDNN_ACTIVATION_RELU>,0.066652,9633792
