LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
Minus340,ElementWise,OP_TENSOR_ADD_FWD174989830246674932,0.008667,16384
Block352,ElementWise,OP_TENSOR_MUL_FWD13685264836821452694,0.008603,32768
Convolution362,Conv,CONV_FWD15497391147117561448<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.028172,18874368
Plus364,ElementWise,OP_TENSOR_ADD_FWD5969702108857663091,0.046076,1048576
ReLU366,Relu,ACTIVATION_FWD86011940514180140<CUDNN_ACTIVATION_CLIPPED_RELU>,0.024482,3145728
Convolution380,Conv,CONV_FWD13846155157812517000<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.151683,1207959552
Plus382,ElementWise,OP_TENSOR_ADD_FWD5969702108857663091,0.046076,1048576
ReLU384,Relu,ACTIVATION_FWD86011940514180140<CUDNN_ACTIVATION_CLIPPED_RELU>,0.024482,3145728
Pooling398,Pooling,POOLING_FWD13700316623045349016<CUDNN_POOLING_MAX>,0.019681,1048576
Dropout408,Dropout,DROPOUT_FWD12720118180261101520,0.029441,262144
Convolution418,Conv,CONV_FWD9487495771787345625<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.090383,603979776
Plus420,ElementWise,OP_TENSOR_ADD_FWD10948761433496519314,0.026988,524288
ReLU422,Relu,ACTIVATION_FWD14130298457266114765<CUDNN_ACTIVATION_CLIPPED_RELU...,0.012041,1572864
Convolution436,Conv,CONV_FWD15852860638195849112<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.148744,1207959552
Plus438,ElementWise,OP_TENSOR_ADD_FWD10948761433496519314,0.026988,524288
ReLU440,Relu,ACTIVATION_FWD14130298457266114765<CUDNN_ACTIVATION_CLIPPED_RELU...,0.012041,1572864
Pooling454,Pooling,POOLING_FWD392360832920105109<CUDNN_POOLING_MAX>,0.011791,524288
Dropout464,Dropout,DROPOUT_FWD207280341041316568,0.028062,131072
Convolution474,Conv,CONV_FWD6095189047620117380<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.065348,603979776
Plus476,ElementWise,OP_TENSOR_ADD_FWD12014214751334347994,0.011615,262144
ReLU478,Relu,ACTIVATION_FWD17677235186948695685<CUDNN_ACTIVATION_CLIPPED_RELU...,0.009322,786432
Convolution492,Conv,CONV_FWD9393761314011202404<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.109606,1207959552
Plus494,ElementWise,OP_TENSOR_ADD_FWD12014214751334347994,0.011615,262144
ReLU496,Relu,ACTIVATION_FWD17677235186948695685<CUDNN_ACTIVATION_CLIPPED_RELU...,0.009322,786432
Convolution510,Conv,CONV_FWD9393761314011202404<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.109606,1207959552
Plus512,ElementWise,OP_TENSOR_ADD_FWD12014214751334347994,0.011615,262144
ReLU514,Relu,ACTIVATION_FWD17677235186948695685<CUDNN_ACTIVATION_CLIPPED_RELU...,0.009322,786432
Pooling528,Pooling,POOLING_FWD17162518443507243281<CUDNN_POOLING_MAX>,0.009341,262144
Dropout538,Dropout,DROPOUT_FWD13817473979625722260,0.026749,65536
Convolution548,Conv,CONV_FWD4338433478574965324<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.104211,301989888
Plus550,ElementWise,OP_TENSOR_ADD_FWD6618288329262922289,0.008570,65536
ReLU552,Relu,ACTIVATION_FWD590487482039150702<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007999,196608
Convolution566,Conv,CONV_FWD4338433478574965324<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.104211,301989888
Plus568,ElementWise,OP_TENSOR_ADD_FWD6618288329262922289,0.008570,65536
ReLU570,Relu,ACTIVATION_FWD590487482039150702<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007999,196608
Convolution584,Conv,CONV_FWD4338433478574965324<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.104211,301989888
Plus586,ElementWise,OP_TENSOR_ADD_FWD6618288329262922289,0.008570,65536
ReLU588,Relu,ACTIVATION_FWD590487482039150702<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007999,196608
Pooling602,Pooling,POOLING_FWD5784290918894442553<CUDNN_POOLING_MAX>,0.007651,65536
Dropout612,Dropout,DROPOUT_FWD10099422014733927730,0.013622,16384
Times622,Gemm,GEMV_FWD5653645893692388569,0.064741,8389632
Plus624,ElementWise,OP_TENSOR_ADD_FWD5648513788425641213,0.018232,1024
ReLU636,Relu,ACTIVATION_FWD2128718601305706146<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007842,3072
Dropout646,Dropout,DROPOUT_FWD8280582285885695453,0.008915,1024
Times656,Gemm,GEMV_FWD11730062151820982758,0.017389,2098176
Plus658,ElementWise,OP_TENSOR_ADD_FWD5648513788425641213,0.018232,1024
ReLU670,Relu,ACTIVATION_FWD2128718601305706146<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007842,3072
Dropout680,Dropout,DROPOUT_FWD8280582285885695453,0.008915,1024
Times690,Gemm,GEMV_FWD11240527932317057625,0.008448,16392
,,Total,1.672031,6994096136
