LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
relu_1,Relu,ACTIVATION_FWD5786023093710062685<CUDNN_ACTIVATION_RE...,1.590374,429981696
relu_2,Relu,ACTIVATION_FWD7700920577109031329<CUDNN_ACTIVATION_RE...,1.049681,286654464
relu_3,Relu,ACTIVATION_FWD3933245432795880316<CUDNN_ACTIVATION_RE...,0.362177,99680256
conv4_2,Conv,CONV_FWD_011165401870850178381<CUDNN_CONVOLUTION_FWD_...,4.788559,114831654912
conv4_2,Conv,ADD_TENSOR13773401213068497882,0.239825,114831654912
relu_4,Relu,ACTIVATION_FWD3933245432795880316<CUDNN_ACTIVATION_RE...,0.362177,99680256
relu_5,Relu,ACTIVATION_FWD15006453217995768378<CUDNN_ACTIVATION_R...,0.244040,66453504
gemm_1,Gemm,GEMV_FWD2221639256229745997,0.179276,75501568
relu_6,Relu,ACTIVATION_FWD528803066493842240<CUDNN_ACTIVATION_CLI...,0.007797,12288
gemm_2,Gemm,GEMV_FWD5314514162459566237,0.084618,33558528
relu_7,Relu,ACTIVATION_FWD528803066493842240<CUDNN_ACTIVATION_CLI...,0.007797,12288
gemm_3,Gemm,GEMV_FWD11780430220461947546,0.037466,8193000
,,Total,8.916321,230763037672
