LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
mobilenetv20_features_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12527737273842256353<CUDNN_BAT...,0.276574,51380224
mobilenetv20_features_relu0_fwd,Relu,ACTIVATION_FWD5772887516628173557<CUDNN_ACTIVATION_RE...,0.281837,77070336
mobilenetv20_features_linearbottleneck0_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12527737273842256353<CUDNN_BAT...,0.276574,51380224
mobilenetv20_features_linearbottleneck0_relu0_fwd,Relu,ACTIVATION_FWD5772887516628173557<CUDNN_ACTIVATION_RE...,0.281837,77070336
mobilenetv20_features_linearbottleneck0_conv1_fwd,Conv,CONV_FWD_0488046667329023464<CUDNN_CONVOLUTION_FWD_AL...,0.415090,462422016
mobilenetv20_features_linearbottleneck0_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12527737273842256353<CUDNN_BAT...,0.276574,51380224
mobilenetv20_features_linearbottleneck0_relu1_fwd,Relu,ACTIVATION_FWD5772887516628173557<CUDNN_ACTIVATION_RE...,0.281837,77070336
mobilenetv20_features_linearbottleneck0_conv2_fwd,Conv,CONV_FWD_08867362323143460488<CUDNN_CONVOLUTION_FWD_A...,0.239906,822083584
mobilenetv20_features_linearbottleneck0_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4973904756490852895<CUDNN_BATC...,0.144837,25690112
mobilenetv20_features_linearbottleneck1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE411914266776481130<CUDNN_BATCH...,0.803183,154140672
mobilenetv20_features_linearbottleneck1_relu0_fwd,Relu,ACTIVATION_FWD17902219629292529278<CUDNN_ACTIVATION_R...,0.843271,231211008
mobilenetv20_features_linearbottleneck1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE974611802249366630<CUDNN_BATCH...,0.201378,38535168
mobilenetv20_features_linearbottleneck1_relu1_fwd,Relu,ACTIVATION_FWD17312004600065886066<CUDNN_ACTIVATION_R...,0.213137,57802752
mobilenetv20_features_linearbottleneck1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2888032033048931584<CUDNN_BATC...,0.056463,9633792
mobilenetv20_features_linearbottleneck2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE5011595271962442238<CUDNN_BATC...,0.298057,57802752
mobilenetv20_features_linearbottleneck2_relu0_fwd,Relu,ACTIVATION_FWD13279672089653555946<CUDNN_ACTIVATION_R...,0.317706,86704128
mobilenetv20_features_linearbottleneck2_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE5011595271962442238<CUDNN_BATC...,0.298057,57802752
