LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
Minus340,ElementWise,OP_TENSOR_ADD_FWD12271790747696839756,0.006936,32768
Block352,ElementWise,OP_TENSOR_MUL_FWD4347143950544172774,0.007074,65536
Convolution362,Conv,CONV_FWD_49632421662508683999<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.033734,37748736
Plus364,ElementWise,OP_TENSOR_ADD_FWD1227435783756545791,0.050405,2097152
ReLU366,Relu,ACTIVATION_FWD6960782384555627412<CUDNN_ACTIVATION_RELU>,0.036705,6291456
Convolution380,Conv,CONV_FWD_28738355956876154326<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.183277,2415919104
Plus382,ElementWise,OP_TENSOR_ADD_FWD1227435783756545791,0.050405,2097152
ReLU384,Relu,ACTIVATION_FWD6960782384555627412<CUDNN_ACTIVATION_RELU>,0.036705,6291456
Pooling398,Pooling,POOLING_FWD9814329755636642278<CUDNN_POOLING_MAX_DETERMINISTIC>,0.023862,2097152
Dropout408,Dropout,DROPOUT_FWD11653099213578239356,0.015065,524288
Convolution418,Conv,CONV_FWD_011961145873802238382<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.094406,1207959552
Plus420,ElementWise,OP_TENSOR_ADD_FWD16478222387832150570,0.028579,1048576
ReLU422,Relu,ACTIVATION_FWD10754445352930817857<CUDNN_ACTIVATION_CLIPPED_RELU>,0.021462,3145728
Convolution436,Conv,CONV_FWD_27305718695759813318<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.162425,2415919104
Plus438,ElementWise,OP_TENSOR_ADD_FWD16478222387832150570,0.028579,1048576
ReLU440,Relu,ACTIVATION_FWD10754445352930817857<CUDNN_ACTIVATION_CLIPPED_RELU>,0.021462,3145728
Pooling454,Pooling,POOLING_FWD3702873218521059307<CUDNN_POOLING_MAX_DETERMINISTIC>,0.009438,1048576
Dropout464,Dropout,DROPOUT_FWD12723715171359504788,0.013227,262144
Convolution474,Conv,CONV_FWD_12498717347753372401<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.086748,1207959552
Plus476,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.009938,524288
ReLU478,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_RELU>,0.008519,1572864
Convolution492,Conv,CONV_FWD_415051504329780598739<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.157032,2415919104
Plus494,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.009938,524288
ReLU496,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_RELU>,0.008519,1572864
Convolution510,Conv,CONV_FWD_415051504329780598739<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.157032,2415919104
Plus512,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.009938,524288
ReLU514,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_RELU>,0.008519,1572864
Pooling528,Pooling,POOLING_FWD15582259120037504623<CUDNN_POOLING_MAX>,0.007279,524288
Dropout538,Dropout,DROPOUT_FWD10532454241010462916,0.012611,131072
Convolution548,Conv,CONV_FWD_01901059645248939323<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.086873,603979776
Plus550,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.007459,131072
ReLU552,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_RELU>,0.006849,393216
Convolution566,Conv,CONV_FWD_01901059645248939323<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.086873,603979776
Plus568,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.007459,131072
ReLU570,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_RELU>,0.006849,393216
Convolution584,Conv,CONV_FWD_01901059645248939323<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.086873,603979776
Plus586,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.007459,131072
ReLU588,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_RELU>,0.006849,393216
Pooling602,Pooling,POOLING_FWD7374398623897052999<CUDNN_POOLING_MAX_DETERMINISTIC>,0.005976,131072
Dropout612,Dropout,DROPOUT_FWD2505870008598185022,0.011492,32768
Times622,Gemm,GEMV_FWD18430978388806864932,0.046268,8389632
ReLU636,Relu,ACTIVATION_FWD7850337265161305475<CUDNN_ACTIVATION_CLIPPED_RELU>,0.006232,3072
Dropout646,Dropout,DROPOUT_FWD13242290263159655761,0.006982,1024
Times656,Gemm,GEMV_FWD6905426876734094563,0.011125,2098176
ReLU670,Relu,ACTIVATION_FWD7850337265161305475<CUDNN_ACTIVATION_CLIPPED_RELU>,0.006232,3072
Dropout680,Dropout,DROPOUT_FWD13242290263159655761,0.006982,1024
Times690,Gemm,GEMV_FWD13910513919972276568,0.006489,16392
,,Total,-9223372036854.775391,13977675784
