LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD5780118124719481047<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.043659,130056192
conv_1,Conv,ADD_TENSOR6683301860580736240,0.023103,130056192
batchnormalization_1,BatchNorm,BATCHNORM_FWD_INFERENCE12467321914410000700<CUDNN_BATCHNORM_PER_...,0.071385,4816896
relu_1,Relu,ACTIVATION_FWD14022210316512528430<CUDNN_ACTIVATION_CLIPPED_RELU...,0.040508,7225344
maxpool_1,Pooling,POOLING_FWD2904949151854870899<CUDNN_POOLING_MAX_DETERMINISTIC>,0.030053,5419008
batchnormalization_2,BatchNorm,BATCHNORM_FWD_INFERENCE406265897834596720<CUDNN_BATCHNORM_PER_AC...,0.082216,5619712
relu_2,Relu,ACTIVATION_FWD7655959297219403874<CUDNN_ACTIVATION_CLIPPED_RELU>,0.046466,8429568
batchnormalization_3,BatchNorm,BATCHNORM_FWD_INFERENCE1862226052134562817<CUDNN_BATCHNORM_PER_A...,0.005691,175616
batchnormalization_4,BatchNorm,BATCHNORM_FWD_INFERENCE1862226052134562817<CUDNN_BATCHNORM_PER_A...,0.005691,175616
averagepool_1,Pooling,POOLING_FWD13610252871770906884<CUDNN_POOLING_AVERAGE_COUNT_INCL...,0.008956,1354752
relu_3,Relu,ACTIVATION_FWD13059253489399731538<CUDNN_ACTIVATION_CLIPPED_RELU...,0.005602,319872
batchnormalization_5,BatchNorm,BATCHNORM_FWD_INFERENCE15755842330426768448<CUDNN_BATCHNORM_PER_...,0.005833,213248
relu_4,Relu,ACTIVATION_FWD13059253489399731538<CUDNN_ACTIVATION_CLIPPED_RELU...,0.005602,319872
batchnormalization_6,BatchNorm,BATCHNORM_FWD_INFERENCE15755842330426768448<CUDNN_BATCHNORM_PER_...,0.005833,213248
batchnormalization_7,BatchNorm,BATCHNORM_FWD_INFERENCE15755842330426768448<CUDNN_BATCHNORM_PER_...,0.005833,213248
sum_1,ElementWise,OP_TENSOR_ADD_FWD14171378041781418041,0.006297,106624
relu_5,Relu,ACTIVATION_FWD13059253489399731538<CUDNN_ACTIVATION_CLIPPED_RELU...,0.005602,319872
batchnormalization_8,BatchNorm,BATCHNORM_FWD_INFERENCE15755842330426768448<CUDNN_BATCHNORM_PER_...,0.005833,213248
relu_6,Relu,ACTIVATION_FWD13059253489399731538<CUDNN_ACTIVATION_CLIPPED_RELU...,0.005602,319872
batchnormalization_9,BatchNorm,BATCHNORM_FWD_INFERENCE15755842330426768448<CUDNN_BATCHNORM_PER_...,0.005833,213248
batchnormalization_10,BatchNorm,BATCHNORM_FWD_INFERENCE15755842330426768448<CUDNN_BATCHNORM_PER_...,0.005833,213248
sum_2,ElementWise,OP_TENSOR_ADD_FWD14171378041781418041,0.006297,106624
