LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
squeezenet0_conv0_fwd,Conv,CONV_FWD1797972856860957350<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.079745,340651008
squeezenet0_conv0_fwd,Conv,ADD_TENSOR1475896066914207361,0.056572,340651008
squeezenet0_relu0_fwd,Relu,ACTIVATION_FWD4502552310093034077<CUDNN_ACTIVATION_RELU>,0.097878,18925056
squeezenet0_pool0_fwd,Pooling,POOLING_FWD12521928292705925426<CUDNN_POOLING_MAX>,0.064849,13939200
squeezenet0_conv1_fwd,Conv,CONV_FWD6436853487499312018<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.024140,49561600
squeezenet0_conv1_fwd,Conv,ADD_TENSOR6186975337747703733,0.007499,49561600
squeezenet0_relu1_fwd,Relu,ACTIVATION_FWD1491582571058457376<CUDNN_ACTIVATION_RELU>,0.006549,1161600
squeezenet0_conv2_fwd,Conv,CONV_FWD13791053992643716658<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.026872,49561600
squeezenet0_conv2_fwd,Conv,ADD_TENSOR12964574594159507989,0.015990,49561600
squeezenet0_relu2_fwd,Relu,ACTIVATION_FWD13794837599321494543<CUDNN_ACTIVATION_CLIPPED_RELU...,0.027934,4646400
squeezenet0_conv3_fwd,Conv,CONV_FWD4840540304723211602<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.051534,446054400
squeezenet0_conv3_fwd,Conv,ADD_TENSOR5739218341253376373,0.015985,446054400
squeezenet0_relu3_fwd,Relu,ACTIVATION_FWD13794837599321494543<CUDNN_ACTIVATION_CLIPPED_RELU...,0.027934,4646400
squeezenet0_conv4_fwd,Conv,CONV_FWD504046665404601043<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.040004,99123200
squeezenet0_conv4_fwd,Conv,ADD_TENSOR753924863437426420,0.007528,99123200
