LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
mobilenetv20_features_conv0_fwd,Conv,CONV_FWD6131664339521722904<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.379214,173408256
mobilenetv20_features_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10152188060128533851<CUDNN_BATCHNORM_SPAT...,0.212746,6422528
mobilenetv20_features_relu0_fwd,Relu,ACTIVATION_FWD17707111484791685611<CUDNN_ACTIVATION_CLIPPED_RELU...,0.195412,9633792
mobilenetv20_features_linearbottleneck0_conv0_fwd,Conv,CONV_FWD16449944257398589674<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.392705,205520896
mobilenetv20_features_linearbottleneck0_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10152188060128533851<CUDNN_BATCHNORM_SPAT...,0.212746,6422528
mobilenetv20_features_linearbottleneck0_relu0_fwd,Relu,ACTIVATION_FWD17707111484791685611<CUDNN_ACTIVATION_CLIPPED_RELU...,0.195412,9633792
mobilenetv20_features_linearbottleneck0_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10152188060128533851<CUDNN_BATCHNORM_SPAT...,0.212746,6422528
mobilenetv20_features_linearbottleneck0_relu1_fwd,Relu,ACTIVATION_FWD17707111484791685611<CUDNN_ACTIVATION_CLIPPED_RELU...,0.195412,9633792
mobilenetv20_features_linearbottleneck0_conv2_fwd,Conv,CONV_FWD17213356634046675896<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.390108,102760448
mobilenetv20_features_linearbottleneck0_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE5886725031801402069<CUDNN_BATCHNORM_SPATI...,0.116067,3211264
mobilenetv20_features_linearbottleneck1_conv0_fwd,Conv,CONV_FWD10836350093403291363<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.810201,308281344
mobilenetv20_features_linearbottleneck1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17202197271839796064<CUDNN_BATCHNORM_SPAT...,0.594293,19267584
mobilenetv20_features_linearbottleneck1_relu0_fwd,Relu,ACTIVATION_FWD10945407442328467408<CUDNN_ACTIVATION_CLIPPED_RELU...,0.558232,28901376
