LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
squeezenet0_conv0_fwd,Conv,CONV_FWD_21263242846517227990<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.473672,340651008
squeezenet0_conv0_fwd,Conv,ADD_TENSOR8668653618202084451,0.562197,340651008
squeezenet0_relu0_fwd,Relu,ACTIVATION_FWD4502552310093034077<CUDNN_ACTIVATION_RELU>,0.655870,18925056
squeezenet0_pool0_fwd,Pooling,POOLING_FWD12521928292705925426<CUDNN_POOLING_MAX_DETERMINISTIC>,0.493841,13939200
squeezenet0_conv1_fwd,Conv,CONV_FWD_25773634788827779298<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.125178,49561600
squeezenet0_conv1_fwd,Conv,ADD_TENSOR11040804338230749501,0.025452,49561600
squeezenet0_relu1_fwd,Relu,ACTIVATION_FWD1491582571058457376<CUDNN_ACTIVATION_RELU>,0.033804,1161600
squeezenet0_conv2_fwd,Conv,CONV_FWD_35291467055952649331<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.121656,49561600
squeezenet0_conv2_fwd,Conv,ADD_TENSOR13452924203584576058,0.122866,49561600
squeezenet0_relu2_fwd,Relu,ACTIVATION_FWD13794837599321494543<CUDNN_ACTIVATION_RELU>,0.147269,4646400
squeezenet0_conv3_fwd,Conv,CONV_FWD_19584103124938054153<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.328598,446054400
squeezenet0_conv3_fwd,Conv,ADD_TENSOR13452924203584576058,0.122866,446054400
squeezenet0_relu3_fwd,Relu,ACTIVATION_FWD13794837599321494543<CUDNN_ACTIVATION_RELU>,0.147269,4646400
squeezenet0_conv4_fwd,Conv,CONV_FWD_317361939568476481682<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.200908,99123200
squeezenet0_conv4_fwd,Conv,ADD_TENSOR11040804338230749501,0.025452,99123200
squeezenet0_relu4_fwd,Relu,ACTIVATION_FWD1491582571058457376<CUDNN_ACTIVATION_RELU>,0.033804,1161600
squeezenet0_conv5_fwd,Conv,CONV_FWD_35291467055952649331<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.121656,49561600
squeezenet0_conv5_fwd,Conv,ADD_TENSOR13452924203584576058,0.122866,49561600
squeezenet0_relu5_fwd,Relu,ACTIVATION_FWD13794837599321494543<CUDNN_ACTIVATION_RELU>,0.147269,4646400
squeezenet0_conv6_fwd,Conv,CONV_FWD_19584103124938054153<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.328598,446054400
squeezenet0_conv6_fwd,Conv,ADD_TENSOR13452924203584576058,0.122866,446054400
squeezenet0_relu6_fwd,Relu,ACTIVATION_FWD13794837599321494543<CUDNN_ACTIVATION_RELU>,0.147269,4646400
squeezenet0_pool1_fwd,Pooling,POOLING_FWD8936134446089872939<CUDNN_POOLING_MAX>,0.255457,6718464
squeezenet0_conv7_fwd,Conv,CONV_FWD_19961109900630231770<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.077078,47775744
squeezenet0_conv7_fwd,Conv,ADD_TENSOR7627809329362374177,0.019364,47775744
