LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
Minus340,ElementWise,OP_TENSOR_ADD_FWD12271790747696839756,0.008660,32768
Block352,ElementWise,OP_TENSOR_MUL_FWD4347143950544172774,0.008617,65536
Convolution362,Conv,CONV_FWD_27958502191724481334<CUDNN_CONVOLUTION_FWD_A...,0.035058,37748736
Plus364,ElementWise,OP_TENSOR_ADD_FWD1227435783756545791,0.039871,2097152
ReLU366,Relu,ACTIVATION_FWD6960782384555627412<CUDNN_ACTIVATION_CL...,0.029756,6291456
Convolution380,Conv,CONV_FWD_410564208417796901951<CUDNN_CONVOLUTION_FWD_...,0.133643,2415919104
Plus382,ElementWise,OP_TENSOR_ADD_FWD1227435783756545791,0.039871,2097152
ReLU384,Relu,ACTIVATION_FWD6960782384555627412<CUDNN_ACTIVATION_CL...,0.029756,6291456
Pooling398,Pooling,POOLING_FWD9814329755636642278<CUDNN_POOLING_MAX_DETE...,0.020429,2097152
Dropout408,Dropout,DROPOUT_FWD11653099213578239356,0.026865,524288
Convolution418,Conv,CONV_FWD_011961145873802238382<CUDNN_CONVOLUTION_FWD_...,0.082296,1207959552
Plus420,ElementWise,OP_TENSOR_ADD_FWD16478222387832150570,0.024328,1048576
ReLU422,Relu,ACTIVATION_FWD10754445352930817857<CUDNN_ACTIVATION_R...,0.018105,3145728
Convolution436,Conv,CONV_FWD_311104686870154808311<CUDNN_CONVOLUTION_FWD_...,0.139117,2415919104
Plus438,ElementWise,OP_TENSOR_ADD_FWD16478222387832150570,0.024328,1048576
ReLU440,Relu,ACTIVATION_FWD10754445352930817857<CUDNN_ACTIVATION_R...,0.018105,3145728
Pooling454,Pooling,POOLING_FWD3702873218521059307<CUDNN_POOLING_MAX>,0.010283,1048576
Dropout464,Dropout,DROPOUT_FWD12723715171359504788,0.024643,262144
Convolution474,Conv,CONV_FWD_217146886675396407002<CUDNN_CONVOLUTION_FWD_...,0.078440,1207959552
Plus476,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.011090,524288
ReLU478,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_CL...,0.009696,1572864
Convolution492,Conv,CONV_FWD_415051504329780598739<CUDNN_CONVOLUTION_FWD_...,0.139263,2415919104
Plus494,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.011090,524288
ReLU496,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_CL...,0.009696,1572864
Convolution510,Conv,CONV_FWD_415051504329780598739<CUDNN_CONVOLUTION_FWD_...,0.139263,2415919104
Plus512,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.011090,524288
ReLU514,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_CL...,0.009696,1572864
Pooling528,Pooling,POOLING_FWD15582259120037504623<CUDNN_POOLING_MAX_DET...,0.008592,524288
Dropout538,Dropout,DROPOUT_FWD10532454241010462916,0.023439,131072
Convolution548,Conv,CONV_FWD_38804079182862982691<CUDNN_CONVOLUTION_FWD_A...,0.081767,603979776
Plus550,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.009396,131072
ReLU552,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_CL...,0.008474,393216
Convolution566,Conv,CONV_FWD_38804079182862982691<CUDNN_CONVOLUTION_FWD_A...,0.081767,603979776
Plus568,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.009396,131072
ReLU570,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_CL...,0.008474,393216
Convolution584,Conv,CONV_FWD_38804079182862982691<CUDNN_CONVOLUTION_FWD_A...,0.081767,603979776
Plus586,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.009396,131072
ReLU588,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_CL...,0.008474,393216
Pooling602,Pooling,POOLING_FWD7374398623897052999<CUDNN_POOLING_MAX_DETE...,0.007614,131072
Dropout612,Dropout,DROPOUT_FWD2505870008598185022,0.014383,32768
Times622,Gemm,GEMV_FWD18430978388806864932,0.050458,8389632
Plus624,ElementWise,OP_TENSOR_ADD_FWD2236676450438229036,0.008747,1024
ReLU636,Relu,ACTIVATION_FWD7850337265161305475<CUDNN_ACTIVATION_CL...,0.007877,3072
Dropout646,Dropout,DROPOUT_FWD3193681065201381972,0.008661,1024
Times656,Gemm,GEMV_FWD6905426876734094563,0.012751,2098176
Plus658,ElementWise,OP_TENSOR_ADD_FWD2236676450438229036,0.008747,1024
ReLU670,Relu,ACTIVATION_FWD7850337265161305475<CUDNN_ACTIVATION_CL...,0.007877,3072
Dropout680,Dropout,DROPOUT_FWD3193681065201381972,0.008661,1024
Times690,Gemm,GEMV_FWD13910513919972276568,0.007705,16392
,,Total,1.607478,13977677832
