LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_38053172077456622722<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.263910,2682634752
conv_1,Conv,ADD_TENSOR17488237717789124156,0.073098,2682634752
relu_1,Relu,ACTIVATION_FWD11629847960605767121<CUDNN_ACTIVATION_CLIPPED_RELU...,0.104182,27373824
maxpool_1,Pooling,POOLING_FWD2546610168451649291<CUDNN_POOLING_MAX_DETERMINISTIC>,0.089238,20155392
conv_2,Conv,CONV_FWD_41274739895102212927<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICI...,0.500504,6144000000
conv_2,Conv,ADD_TENSOR4885837842614501996,0.017203,6144000000
relu_2,Relu,ACTIVATION_FWD538251191083493810<CUDNN_ACTIVATION_CLIPPED_RELU>,0.021465,3840000
maxpool_2,Pooling,POOLING_FWD10283823819865775171<CUDNN_POOLING_MAX_DETERMINISTIC>,0.015492,2654208
conv_3,Conv,CONV_FWD_38861488391687605813<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.260629,2717908992
conv_3,Conv,ADD_TENSOR15541449370704534973,0.012203,2717908992
relu_3,Relu,ACTIVATION_FWD10241879302339615324<CUDNN_ACTIVATION_RELU>,0.009829,1769472
conv_4,Conv,CONV_FWD_38017106865278560875<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.504567,5435817984
conv_4,Conv,ADD_TENSOR15541449370704534973,0.012203,5435817984
relu_4,Relu,ACTIVATION_FWD10241879302339615324<CUDNN_ACTIVATION_RELU>,0.009829,1769472
conv_5,Conv,CONV_FWD_38017106865278560875<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRA...,0.504567,5435817984
conv_5,Conv,ADD_TENSOR15541449370704534973,0.012203,5435817984
relu_5,Relu,ACTIVATION_FWD10241879302339615324<CUDNN_ACTIVATION_RELU>,0.009829,1769472
maxpool_3,Pooling,POOLING_FWD11252459451785600465<CUDNN_POOLING_MAX>,0.009038,589824
gemm_1,Gemm,GEMV_FWD11035838480560253961,0.353555,150999040
relu_6,Relu,ACTIVATION_FWD11304941407100423307<CUDNN_ACTIVATION_RELU>,0.007897,12288
gemm_2,Gemm,GEMV_FWD18430978388806864932,0.050458,8389632
relu_7,Relu,ACTIVATION_FWD7850337265161305475<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007877,3072
gemm_3,Gemm,GEMV_FWD5618815124593369765,0.010891,2049000
softmax_1,Softmax,"SOFTMAX_FWD9955186565751125701<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX...",0.007050,3000
,,Total,2.867717,45053737120
