LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
vgg0_conv0_fwd,Conv,CONV_FWD763807211610466035<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECO...,0.173081,693633024
vgg0_conv0_fwd,Conv,ADD_TENSOR2394993727843847808,0.162096,693633024
vgg0_relu0_fwd,Relu,ACTIVATION_FWD7398989864926418640<CUDNN_ACTIVATION_RELU>,0.281795,51380224
vgg0_conv1_fwd,Conv,CONV_FWD11970163043652284987<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.165277,14797504512
vgg0_conv1_fwd,Conv,ADD_TENSOR10212936185322445384,0.162068,14797504512
vgg0_relu1_fwd,Relu,ACTIVATION_FWD7398989864926418640<CUDNN_ACTIVATION_RELU>,0.281795,51380224
vgg0_pool0_fwd,Pooling,POOLING_FWD13053183506076938602<CUDNN_POOLING_MAX>,0.166448,25690112
vgg0_conv2_fwd,Conv,CONV_FWD9631367922701912066<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.578164,7398752256
vgg0_conv2_fwd,Conv,ADD_TENSOR12541489906015985777,0.085331,7398752256
vgg0_relu2_fwd,Relu,ACTIVATION_FWD11494204409581170513<CUDNN_ACTIVATION_RELU>,0.142775,25690112
vgg0_conv3_fwd,Conv,CONV_FWD15709551630518411587<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.067321,14797504512
vgg0_conv3_fwd,Conv,ADD_TENSOR17412786970432817456,0.085337,14797504512
vgg0_relu3_fwd,Relu,ACTIVATION_FWD11494204409581170513<CUDNN_ACTIVATION_RELU>,0.142775,25690112
vgg0_pool1_fwd,Pooling,POOLING_FWD7947798230750171919<CUDNN_POOLING_MAX_DETERMINISTIC>,0.089088,12845056
vgg0_conv4_fwd,Conv,CONV_FWD5661654798735103151<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.607126,7398752256
vgg0_conv4_fwd,Conv,ADD_TENSOR7293317420599114972,0.046424,7398752256
vgg0_relu4_fwd,Relu,ACTIVATION_FWD12392619029784752570<CUDNN_ACTIVATION_RELU>,0.074504,12845056
vgg0_conv5_fwd,Conv,CONV_FWD10977826504040494159<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.167349,14797504512
vgg0_conv5_fwd,Conv,ADD_TENSOR12969310903298432060,0.046373,14797504512
vgg0_relu5_fwd,Relu,ACTIVATION_FWD12392619029784752570<CUDNN_ACTIVATION_RELU>,0.074504,12845056
vgg0_conv6_fwd,Conv,CONV_FWD10977826504040494159<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.167349,14797504512
vgg0_conv6_fwd,Conv,ADD_TENSOR12969310903298432060,0.046373,14797504512
vgg0_relu6_fwd,Relu,ACTIVATION_FWD12392619029784752570<CUDNN_ACTIVATION_RELU>,0.074504,12845056
vgg0_pool2_fwd,Pooling,POOLING_FWD11031391345291000699<CUDNN_POOLING_MAX_DETERMINISTIC>,0.047938,6422528
vgg0_conv7_fwd,Conv,CONV_FWD5443265593537323245<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.679245,7398752256
vgg0_conv7_fwd,Conv,ADD_TENSOR6930883353338071198,0.026818,7398752256
vgg0_relu7_fwd,Relu,ACTIVATION_FWD13952687925410928534<CUDNN_ACTIVATION_RELU>,0.040712,6422528
vgg0_conv8_fwd,Conv,CONV_FWD6787617046775088307<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.327394,14797504512
vgg0_conv8_fwd,Conv,ADD_TENSOR8473339331307498688,0.026826,14797504512
vgg0_relu8_fwd,Relu,ACTIVATION_FWD13952687925410928534<CUDNN_ACTIVATION_RELU>,0.040712,6422528
vgg0_conv9_fwd,Conv,CONV_FWD6787617046775088307<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.327394,14797504512
vgg0_conv9_fwd,Conv,ADD_TENSOR8473339331307498688,0.026826,14797504512
vgg0_relu9_fwd,Relu,ACTIVATION_FWD13952687925410928534<CUDNN_ACTIVATION_RELU>,0.040712,6422528
vgg0_pool3_fwd,Pooling,POOLING_FWD5074236947717706857<CUDNN_POOLING_MAX_DETERMINISTIC>,0.029625,3211264
vgg0_conv10_fwd,Conv,CONV_FWD6192756707660362447<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.434821,3699376128
vgg0_conv10_fwd,Conv,ADD_TENSOR9102966639053560508,0.012402,3699376128
vgg0_relu10_fwd,Relu,ACTIVATION_FWD13358678634010433774<CUDNN_ACTIVATION_RELU>,0.011418,1605632
vgg0_conv11_fwd,Conv,CONV_FWD6192756707660362447<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.434821,3699376128
vgg0_conv11_fwd,Conv,ADD_TENSOR9102966639053560508,0.012402,3699376128
vgg0_relu11_fwd,Relu,ACTIVATION_FWD13358678634010433774<CUDNN_ACTIVATION_RELU>,0.011418,1605632
vgg0_conv12_fwd,Conv,CONV_FWD6192756707660362447<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.434821,3699376128
vgg0_conv12_fwd,Conv,ADD_TENSOR9102966639053560508,0.012402,3699376128
vgg0_relu12_fwd,Relu,ACTIVATION_FWD13358678634010433774<CUDNN_ACTIVATION_RELU>,0.011418,1605632
vgg0_pool4_fwd,Pooling,POOLING_FWD5595772329805832725<CUDNN_POOLING_MAX_DETERMINISTIC>,0.009100,802816
vgg0_dense0_fwd,Gemm,GEMM_FWD12171390929365517729,0.064694,16809984
vgg0_dense0_relu_fwd,Relu,ACTIVATION_FWD1165084478259635542<CUDNN_ACTIVATION_RELU>,0.007287,65536
vgg0_dropout0_fwd,Dropout,DROPOUT_FWD14636460039493195140,0.012479,32768
vgg0_dense1_fwd,Gemm,GEMM_FWD13079116168267917823,0.311831,134250496
vgg0_dense1_relu_fwd,Relu,ACTIVATION_FWD1165084478259635542<CUDNN_ACTIVATION_RELU>,0.007287,65536
vgg0_dropout1_fwd,Dropout,DROPOUT_FWD14636460039493195140,0.012479,32768
vgg0_dense2_fwd,Gemm,GEMM_FWD1844235861953239520,0.138523,32776000
,,Total,13.441662,245995855680
