LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv17_conv0_fwd,Conv,CONV_FWD_2_TENSORCOREHALF_7089988842106632537<CUDNN_CONVOLUTION_FWD_...,0.058163,236027904
resnetv17_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_91653478991467112<CUDNN_BATCH...,0.028874,1605632
resnetv17_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_13726668956756611094<CUDNN_ACTIVATION_...,0.009782,2408448
resnetv17_pool0_fwd,Pooling,POOLING_FWD_TENSORCOREHALF_14088110120711082821<CUDNN_POOLING_MAX_DE...,0.011527,1806336
resnetv17_stage1_conv0_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_6861682798510423116<CUDNN_CONVOLUTION_FWD_...,0.025333,25690112
resnetv17_stage1_conv0_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_17060375191154420506,0.009481,25690112
resnetv17_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_14145178967298097980<CUDNN_BA...,0.009249,401408
resnetv17_stage1_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_8896500120779637058<CUDNN_ACTIVATION_C...,0.008558,602112
resnetv17_stage1_conv1_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_4535801008263762794<CUDNN_CONVOLUTION_FWD_...,0.051634,231211008
resnetv17_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_14145178967298097980<CUDNN_BA...,0.009249,401408
resnetv17_stage1_relu1_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_8896500120779637058<CUDNN_ACTIVATION_C...,0.008558,602112
resnetv17_stage1_conv2_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_15044903088762014831<CUDNN_CONVOLUTION_FWD...,0.028991,102760448
resnetv17_stage1_conv2_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_5441432868755534528,0.014653,102760448
resnetv17_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_3988839194200768836<CUDNN_BAT...,0.028870,1605632
resnetv17_stage1_conv3_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_15044903088762014831<CUDNN_CONVOLUTION_FWD...,0.028991,102760448
resnetv17_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_3988839194200768836<CUDNN_BAT...,0.028870,1605632
resnetv17_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD_TENSORCOREHALF_7217452127087694577,0.014799,802816
resnetv17_stage1_activation0,Relu,ACTIVATION_FWD_TENSORCOREHALF_9826932417503757114<CUDNN_ACTIVATION_R...,0.009810,2408448
resnetv17_stage1_conv4_fwd,Conv,CONV_FWD_2_TENSORCOREHALF_10061233328266542532<CUDNN_CONVOLUTION_FWD...,0.041283,102760448
resnetv17_stage1_conv4_fwd,Conv,ADD_TENSOR_TENSORCOREHALF_17060375191154420506,0.009481,102760448
resnetv17_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_14145178967298097980<CUDNN_BA...,0.009249,401408
resnetv17_stage1_relu2_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_8896500120779637058<CUDNN_ACTIVATION_C...,0.008558,602112
resnetv17_stage1_conv5_fwd,Conv,CONV_FWD_1_TENSORCOREHALF_4535801008263762794<CUDNN_CONVOLUTION_FWD_...,0.051634,231211008
