LayerName,LayerType,Theoretical Flops,flop_count_sp,flops_sp_add,flops_sp_fma,flops_sp_mul,flops_sp_special,achieved_occupancy,dram_read_bytes,dram_write_bytes
vgg0_conv0_fwd,Conv,173408256,208732160,0,102760448,3211264,0,0,0,0
vgg0_conv0_fwd,Conv,173408256,12845056,0,6422528,0,0,0,0,0
vgg0_relu0_fwd,Relu,6422528,6422528,0,3211264,0,0,0,0,0
vgg0_conv1_fwd,Conv,3699376128,3702587392,0,1849688064,3211264,0,0,0,0
vgg0_conv1_fwd,Conv,3699376128,12845056,0,6422528,0,0,0,0,0
vgg0_relu1_fwd,Relu,6422528,6422528,0,3211264,0,0,0,0,0
vgg0_pool0_fwd,Pooling,0,802816,0,0,802816,0,0,0,0
vgg0_conv2_fwd,Conv,1849688064,1851293696,0,924844032,1605632,0,0,0,0
vgg0_conv2_fwd,Conv,1849688064,6422528,0,3211264,0,0,0,0,0
vgg0_relu2_fwd,Relu,3211264,3211264,0,1605632,0,0,0,0,0
vgg0_conv3_fwd,Conv,3699376128,3700981760,0,1849688064,1605632,0,0,0,0
vgg0_conv3_fwd,Conv,3699376128,6422528,0,3211264,0,0,0,0,0
vgg0_relu3_fwd,Relu,3211264,3211264,0,1605632,0,0,0,0,0
vgg0_pool1_fwd,Pooling,0,401408,0,0,401408,0,0,0,0
vgg0_conv4_fwd,Conv,1849688064,1850490880,0,924844032,802816,0,0,0,0
vgg0_conv4_fwd,Conv,1849688064,3211264,0,1605632,0,0,0,0,0
vgg0_relu4_fwd,Relu,1605632,1605632,0,802816,0,0,0,0,0
vgg0_conv5_fwd,Conv,3699376128,3700178944,0,1849688064,802816,0,0,0,0
vgg0_conv5_fwd,Conv,3699376128,3211264,0,1605632,0,0,0,0,0
vgg0_relu5_fwd,Relu,1605632,1605632,0,802816,0,0,0,0,0
vgg0_conv6_fwd,Conv,3699376128,3700178944,0,1849688064,802816,0,0,0,0
vgg0_conv6_fwd,Conv,3699376128,3211264,0,1605632,0,0,0,0,0
vgg0_relu6_fwd,Relu,1605632,1605632,0,802816,0,0,0,0,0
vgg0_pool2_fwd,Pooling,0,200704,0,0,200704,0,0,0,0
vgg0_conv7_fwd,Conv,1849688064,1887838208,0,943718400,401408,0,0,0,0
vgg0_conv7_fwd,Conv,1849688064,1605632,0,802816,0,0,0,0,0
vgg0_relu7_fwd,Relu,802816,802816,0,401408,0,0,0,0,0
vgg0_conv8_fwd,Conv,3699376128,3775275008,0,1887436800,401408,0,0,0,0
vgg0_conv8_fwd,Conv,3699376128,1605632,0,802816,0,0,0,0,0
vgg0_relu8_fwd,Relu,802816,802816,0,401408,0,0,0,0,0
vgg0_conv9_fwd,Conv,3699376128,3775275008,0,1887436800,401408,0,0,0,0
vgg0_conv9_fwd,Conv,3699376128,1605632,0,802816,0,0,0,0,0
vgg0_relu9_fwd,Relu,802816,802816,0,401408,0,0,0,0,0
vgg0_pool3_fwd,Pooling,0,100352,0,0,100352,0,0,0,0
vgg0_conv10_fwd,Conv,924844032,1057064960,0,528482304,100352,0,0,0,0
vgg0_conv10_fwd,Conv,924844032,401408,0,200704,0,0,0,0,0
vgg0_relu10_fwd,Relu,200704,200704,0,100352,0,0,0,0,0
vgg0_conv11_fwd,Conv,924844032,1057064960,0,528482304,100352,0,0,0,0
vgg0_conv11_fwd,Conv,924844032,401408,0,200704,0,0,0,0,0
vgg0_relu11_fwd,Relu,200704,200704,0,100352,0,0,0,0,0
vgg0_conv12_fwd,Conv,924844032,1057064960,0,528482304,100352,0,0,0,0
vgg0_conv12_fwd,Conv,924844032,401408,0,200704,0,0,0,0,0
vgg0_relu12_fwd,Relu,200704,200704,0,100352,0,0,0,0,0
vgg0_pool4_fwd,Pooling,0,25088,0,0,25088,0,0,0,0
vgg0_dense0_fwd,Gemm,4198400,4296704,28672,2101248,65536,0,0,0,0
vgg0_dense0_relu_fwd,Relu,8192,8192,0,4096,0,0,0,0,0
vgg0_dropout0_fwd,Dropout,0,34796,8192,12288,2028,8320,0,0,0
vgg0_dense1_fwd,Gemm,33558528,34230272,143360,16781312,524288,0,0,0,0
vgg0_dense1_relu_fwd,Relu,8192,8192,0,4096,0,0,0,0,0
vgg0_dropout1_fwd,Dropout,0,34796,8192,12288,2028,8320,0,0,0
vgg0_dense2_fwd,Gemm,8193000,8523048,71000,4097000,258048,0,0,0,0
