LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv17_conv0_fwd,Conv,CONV_FWD_0_TENSORCOREHALF_9697623145238893528<CUDNN_C...,33.992219,60423143424
resnetv17_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_15162356341271...,10.853306,411041792
resnetv17_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_4426229709866920342<CUD...,6.618773,616562688
resnetv17_pool0_fwd,Pooling,POOLING_FWD_TENSORCOREHALF_9433389873137558853<CUDNN_...,5.956121,462422016
resnetv17_stage1_conv0_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_1_TENSORCOREHALF_12330562308...,4.225716,6576668672
resnetv17_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_96280794790809...,2.716213,102760448
resnetv17_stage1_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_12536384707644727070<CU...,1.472776,154140672
resnetv17_stage1_conv1_fwd,Conv,CONV_FWD_3_TENSORCOREHALF_13481375445461820364<CUDNN_...,7.407967,59190018048
resnetv17_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_96280794790809...,2.716213,102760448
resnetv17_stage1_relu1_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_12536384707644727070<CU...,1.472776,154140672
resnetv17_stage1_conv2_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_1_TENSORCOREHALF_13359944804...,13.630016,26306674688
resnetv17_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_36172569062689...,10.851244,411041792
resnetv17_stage1_conv3_fwd,Conv,CONV_FWD_0_TENSORCOREHALF_17602281774305366657<CUDNN_...,12.845752,26306674688
resnetv17_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_36172569062689...,10.851244,411041792
resnetv17_stage1_activation0,Relu,ACTIVATION_FWD_TENSORCOREHALF_1897409363726406954<CUD...,6.619123,616562688
resnetv17_stage1_conv4_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_3_TENSORCOREHALF_13057506245...,12.763941,26306674688
resnetv17_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_96280794790809...,2.716213,102760448
resnetv17_stage1_relu2_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_12536384707644727070<CU...,1.472776,154140672
resnetv17_stage1_conv5_fwd,Conv,CONV_FWD_3_TENSORCOREHALF_13481375445461820364<CUDNN_...,7.407967,59190018048
resnetv17_stage1_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_96280794790809...,2.716213,102760448
resnetv17_stage1_relu3_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_12536384707644727070<CU...,1.472776,154140672
resnetv17_stage1_conv6_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_1_TENSORCOREHALF_13359944804...,13.630016,26306674688
resnetv17_stage1_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_36172569062689...,10.851244,411041792
resnetv17_stage1_activation1,Relu,ACTIVATION_FWD_TENSORCOREHALF_1897409363726406954<CUD...,6.619123,616562688
resnetv17_stage1_conv7_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_3_TENSORCOREHALF_13057506245...,12.763941,26306674688
resnetv17_stage1_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_96280794790809...,2.716213,102760448
resnetv17_stage1_relu4_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_12536384707644727070<CU...,1.472776,154140672
resnetv17_stage1_conv8_fwd,Conv,CONV_FWD_3_TENSORCOREHALF_13481375445461820364<CUDNN_...,7.407967,59190018048
resnetv17_stage1_batchnorm8_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_96280794790809...,2.716213,102760448
resnetv17_stage1_relu5_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_12536384707644727070<CU...,1.472776,154140672
resnetv17_stage1_conv9_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_1_TENSORCOREHALF_13359944804...,13.630016,26306674688
resnetv17_stage1_batchnorm9_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_36172569062689...,10.851244,411041792
resnetv17_stage1_activation2,Relu,ACTIVATION_FWD_TENSORCOREHALF_1897409363726406954<CUD...,6.619123,616562688
resnetv17_stage2_conv0_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_4_TENSORCOREHALF_15040408321...,3.583380,13153337344
resnetv17_stage2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_89519110817335...,1.181368,51380224
resnetv17_stage2_relu0_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_6078860649801719593<CUD...,0.699513,77070336
resnetv17_stage2_conv1_fwd,Conv,CONV_FWD_4_TENSORCOREHALF_15759935261033544940<CUDNN_...,4.626289,59190018048
resnetv17_stage2_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_89519110817335...,1.181368,51380224
resnetv17_stage2_relu1_fwd,Relu,ACTIVATION_FWD_TENSORCOREHALF_6078860649801719593<CUD...,0.699513,77070336
resnetv17_stage2_conv2_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_0_TENSORCOREHALF_15426526972...,8.142850,26306674688
resnetv17_stage2_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE_TENSORCOREHALF_18227338512745...,5.433826,205520896
