LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_316780773280124764373<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.050152,236027904
batchnormalization_1,BatchNorm,BATCHNORM_FWD_INFERENCE11875549913047806263<CUDNN_BATCHNORM_SPATIAL>,0.022995,1605632
mul_1,ElementWise,OP_TENSOR_MUL_FWD16549895943366584630,0.022867,1605632
add_1,ElementWise,OP_TENSOR_ADD_FWD6137963286995829956,0.023136,802816
relu_1,Relu,ACTIVATION_FWD8731790411514196767<CUDNN_ACTIVATION_RELU>,0.015643,2408448
maxpool_1,Pooling,POOLING_FWD8317600655594697260<CUDNN_POOLING_MAX>,0.010915,1806336
batchnormalization_2,BatchNorm,BATCHNORM_FWD_INFERENCE7045378800639860835<CUDNN_BATCHNORM_SPATIAL>,0.006937,401408
mul_2,ElementWise,OP_TENSOR_MUL_FWD2352376153401817186,0.007896,401408
add_2,ElementWise,OP_TENSOR_ADD_FWD10387049101011244432,0.008054,200704
relu_2,Relu,ACTIVATION_FWD13557477638093759051<CUDNN_ACTIVATION_RELU>,0.006998,602112
conv_2,Conv,CONV_FWD_29639998256460073237<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.021412,51380224
batchnormalization_3,BatchNorm,BATCHNORM_FWD_INFERENCE118511502555690316<CUDNN_BATCHNORM_SPATIAL>,0.007814,802816
mul_3,ElementWise,OP_TENSOR_MUL_FWD4667539561764138317,0.010813,802816
add_3,ElementWise,OP_TENSOR_ADD_FWD17313254488311922879,0.010933,401408
relu_3,Relu,ACTIVATION_FWD15872630334843828068<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007675,1204224
conv_3,Conv,CONV_FWD_310398758164596811334<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.045290,231211008
batchnormalization_4,BatchNorm,BATCHNORM_FWD_INFERENCE12629212808891365051<CUDNN_BATCHNORM_PER_ACTI...,0.018968,602112
mul_4,ElementWise,OP_TENSOR_MUL_FWD4552022986126558040,0.008771,602112
add_4,ElementWise,OP_TENSOR_ADD_FWD10353616612265897642,0.008882,301056
relu_4,Relu,ACTIVATION_FWD11793959273694796145<CUDNN_ACTIVATION_RELU>,0.007372,903168
