LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
relu_1,Relu,ACTIVATION_FWD7322499358198547495<CUDNN_ACTIVATION_RE...,12.986293,2466250752
relu_2,Relu,ACTIVATION_FWD13819680790542580446<CUDNN_ACTIVATION_R...,2.936686,594739200
conv_3,Conv,CONV_FWD_017130491858025338753<CUDNN_CONVOLUTION_FWD_...,36.196891,685139558400
conv_3,Conv,ADD_TENSOR12238984776001818206,4.682205,685139558400
relu_3,Relu,ACTIVATION_FWD3058960541825136468<CUDNN_ACTIVATION_RE...,9.274298,1784217600
relu_4,Relu,ACTIVATION_FWD3575869294690551396<CUDNN_ACTIVATION_RE...,0.678871,143327232
relu_5,Relu,ACTIVATION_FWD9759668530843408746<CUDNN_ACTIVATION_RE...,1.021375,214990848
relu_6,Relu,ACTIVATION_FWD8139480009028026527<CUDNN_ACTIVATION_RE...,1.372212,286654464
conv_7,Conv,CONV_FWD_09446502079292229529<CUDNN_CONVOLUTION_FWD_A...,1.341294,4586471424
conv_7,Conv,ADD_TENSOR17245171959478827976,0.103281,4586471424
relu_7,Relu,ACTIVATION_FWD9850996560826121623<CUDNN_ACTIVATION_RE...,0.171702,35831808
relu_8,Relu,ACTIVATION_FWD1399259870083144825<CUDNN_ACTIVATION_RE...,0.340170,71663616
conv_9,Conv,CONV_FWD_09922386667752961227<CUDNN_CONVOLUTION_FWD_A...,1.445073,9172942848
conv_9,Conv,ADD_TENSOR8539967487216015767,0.197500,9172942848
relu_9,Relu,ACTIVATION_FWD1399259870083144825<CUDNN_ACTIVATION_RE...,0.340170,71663616
conv_10,Conv,CONV_FWD_016297385168562125824<CUDNN_CONVOLUTION_FWD_...,4.162065,48922361856
conv_10,Conv,ADD_TENSOR9005626665088458745,0.758064,48922361856
relu_10,Relu,ACTIVATION_FWD8139480009028026527<CUDNN_ACTIVATION_RE...,1.372212,286654464
conv_11,Conv,CONV_FWD_016297385168562125824<CUDNN_CONVOLUTION_FWD_...,4.162065,48922361856
conv_11,Conv,ADD_TENSOR9005626665088458745,0.758064,48922361856
relu_11,Relu,ACTIVATION_FWD8139480009028026527<CUDNN_ACTIVATION_RE...,1.372212,286654464
relu_12,Relu,ACTIVATION_FWD8264794110423928718<CUDNN_ACTIVATION_RE...,2.084854,429981696
relu_13,Relu,ACTIVATION_FWD1399259870083144825<CUDNN_ACTIVATION_RE...,0.340170,71663616
relu_14,Relu,ACTIVATION_FWD9759668530843408746<CUDNN_ACTIVATION_RE...,1.021375,214990848
relu_15,Relu,ACTIVATION_FWD3575869294690551396<CUDNN_ACTIVATION_RE...,0.678871,143327232
relu_16,Relu,ACTIVATION_FWD8153751459842720413<CUDNN_ACTIVATION_RE...,0.470081,99680256
relu_17,Relu,ACTIVATION_FWD8679941941513919609<CUDNN_ACTIVATION_RE...,0.237427,49840128
relu_18,Relu,ACTIVATION_FWD17507517792034162664<CUDNN_ACTIVATION_C...,0.509593,107986944
relu_19,Relu,ACTIVATION_FWD2779917317707320932<CUDNN_ACTIVATION_RE...,0.044489,8306688
relu_20,Relu,ACTIVATION_FWD12228944140257057272<CUDNN_ACTIVATION_R...,0.121109,24920064
relu_21,Relu,ACTIVATION_FWD12349954065788494555<CUDNN_ACTIVATION_R...,0.159699,33226752
relu_22,Relu,ACTIVATION_FWD14868015127023942077<CUDNN_ACTIVATION_R...,0.392331,83066880
conv_23,Conv,CONV_FWD_016308101870303175566<CUDNN_CONVOLUTION_FWD_...,2.029830,19847446528
conv_23,Conv,ADD_TENSOR1750422991232730368,0.163537,19847446528
relu_23,Relu,ACTIVATION_FWD11854862218995655591<CUDNN_ACTIVATION_R...,0.276782,58146816
relu_24,Relu,ACTIVATION_FWD4150193236957589061<CUDNN_ACTIVATION_RE...,0.550131,116293632
relu_25,Relu,ACTIVATION_FWD14408560675746363591<CUDNN_ACTIVATION_R...,0.063776,12460032
relu_26,Relu,ACTIVATION_FWD12349954065788494555<CUDNN_ACTIVATION_R...,0.159699,33226752
relu_27,Relu,ACTIVATION_FWD12349954065788494555<CUDNN_ACTIVATION_R...,0.159699,33226752
relu_28,Relu,ACTIVATION_FWD5234888845602197124<CUDNN_ACTIVATION_RE...,0.315564,66453504
relu_29,Relu,ACTIVATION_FWD5234888845602197124<CUDNN_ACTIVATION_RE...,0.315564,66453504
relu_30,Relu,ACTIVATION_FWD4279818122352055075<CUDNN_ACTIVATION_RE...,0.629444,132907008
relu_31,Relu,ACTIVATION_FWD14408560675746363591<CUDNN_ACTIVATION_R...,0.063776,12460032
relu_32,Relu,ACTIVATION_FWD12349954065788494555<CUDNN_ACTIVATION_R...,0.159699,33226752
relu_33,Relu,ACTIVATION_FWD12349954065788494555<CUDNN_ACTIVATION_R...,0.159699,33226752
conv_34,Conv,CONV_FWD_016308101870303175566<CUDNN_CONVOLUTION_FWD_...,2.029830,19847446528
conv_34,Conv,ADD_TENSOR1750422991232730368,0.163537,19847446528
relu_34,Relu,ACTIVATION_FWD11854862218995655591<CUDNN_ACTIVATION_R...,0.276782,58146816
conv_35,Conv,CONV_FWD_09836376206594704816<CUDNN_CONVOLUTION_FWD_A...,2.951755,25518145536
conv_35,Conv,ADD_TENSOR4247112274273991016,0.206574,25518145536
relu_35,Relu,ACTIVATION_FWD15487379169979975009<CUDNN_ACTIVATION_R...,0.354258,74760192
conv_36,Conv,CONV_FWD_014824720635426300513<CUDNN_CONVOLUTION_FWD_...,6.111248,129185611776
conv_36,Conv,ADD_TENSOR14816595716453528140,0.400774,129185611776
relu_36,Relu,ACTIVATION_FWD11436099038106203369<CUDNN_ACTIVATION_R...,0.708402,149520384
