LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv1_1_3x3_s2,Conv,CONV_FWD_310085099811797448119<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,3.777680,17694720000
conv1_1_3x3_s2/bn,BatchNorm,BATCHNORM_FWD_INFERENCE13124568807922940721<CUDNN_BATCHNORM_PER_ACTI...,8.997897,655360000
conv1_1_3x3_s2/relu,Relu,ACTIVATION_FWD12681488359979041875<CUDNN_ACTIVATION_CLIPPED_RELU>,7.265791,983040000
conv1_2_3x3,Conv,CONV_FWD_410878897426835647427<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,24.725747,377487360000
conv1_2_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE13124568807922940721<CUDNN_BATCHNORM_PER_ACTI...,8.997897,655360000
conv1_2_3x3/relu,Relu,ACTIVATION_FWD12681488359979041875<CUDNN_ACTIVATION_CLIPPED_RELU>,7.265791,983040000
conv1_3_3x3,Conv,CONV_FWD_110688483612625464920<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_N...,42.674615,754974720000
conv1_3_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE5100444910960107030<CUDNN_BATCHNORM_PER_ACTIV...,17.975576,1310720000
conv1_3_3x3/relu,Relu,ACTIVATION_FWD6851677274389848436<CUDNN_ACTIVATION_RELU>,14.822901,1966080000
pool1_3x3_s2,Pooling,POOLING_FWD1813843464920015007<CUDNN_POOLING_MAX_DETERMINISTIC>,6.182692,1459851264
conv2_1_1x1_reduce,Conv,CONV_FWD_416102986861760278018<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,1.856322,20762329088
conv2_1_1x1_reduce/bn,BatchNorm,BATCHNORM_FWD_INFERENCE13047622084780812590<CUDNN_BATCHNORM_PER_ACTI...,2.233082,162205696
conv2_1_1x1_reduce/relu,Relu,ACTIVATION_FWD12451345324646110796<CUDNN_ACTIVATION_RELU>,1.645264,243308544
conv2_1_3x3,Conv,CONV_FWD_115656454384738099365<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,6.333020,93430480896
conv2_1_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE13047622084780812590<CUDNN_BATCHNORM_PER_ACTI...,2.233082,162205696
conv2_1_3x3/relu,Relu,ACTIVATION_FWD12451345324646110796<CUDNN_ACTIVATION_RELU>,1.645264,243308544
conv2_1_1x1_increase,Conv,CONV_FWD_05780785969680301298<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,4.785384,41524658176
conv2_1_1x1_increase/bn,BatchNorm,BATCHNORM_FWD_INFERENCE9167625274051923430<CUDNN_BATCHNORM_PER_ACTIV...,8.924228,648822784
conv2_1_1x1_proj,Conv,CONV_FWD_414776230289760002663<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,7.313741,83049316352
conv2_1_1x1_proj/bn,BatchNorm,BATCHNORM_FWD_INFERENCE9167625274051923430<CUDNN_BATCHNORM_PER_ACTIV...,8.924228,648822784
conv2_1,ElementWise,OP_TENSOR_ADD_FWD9016909757267938795,9.116140,324411392
conv2_1_relu,Relu,ACTIVATION_FWD7415059341530919556<CUDNN_ACTIVATION_CLIPPED_RELU>,7.191519,973234176
