LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
mobilenetv20_features_conv0_fwd,Conv,CONV_FWD_212001971026529083996<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.172949,693633024
mobilenetv20_features_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17834016332764339089<CUDNN_BATCHNORM_SPATIAL>,0.193125,25690112
mobilenetv20_features_relu0_fwd,Relu,ACTIVATION_FWD833177135592601209<CUDNN_ACTIVATION_RELU>,0.205547,38535168
mobilenetv20_features_linearbottleneck0_conv0_fwd,Conv,CONV_FWD_17240754253723325481<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.203069,822083584
mobilenetv20_features_linearbottleneck0_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17834016332764339089<CUDNN_BATCHNORM_SPATIAL>,0.193125,25690112
mobilenetv20_features_linearbottleneck0_relu0_fwd,Relu,ACTIVATION_FWD833177135592601209<CUDNN_ACTIVATION_RELU>,0.205547,38535168
mobilenetv20_features_linearbottleneck0_conv1_fwd,Conv,CONV_FWD_08384176223055646537<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.219066,231211008
mobilenetv20_features_linearbottleneck0_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17834016332764339089<CUDNN_BATCHNORM_SPATIAL>,0.193125,25690112
mobilenetv20_features_linearbottleneck0_relu1_fwd,Relu,ACTIVATION_FWD833177135592601209<CUDNN_ACTIVATION_RELU>,0.205547,38535168
mobilenetv20_features_linearbottleneck0_conv2_fwd,Conv,CONV_FWD_414631203369943929853<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.157633,411041792
mobilenetv20_features_linearbottleneck0_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE15325057366418436323<CUDNN_BATCHNORM_SPATIAL>,0.099771,12845056
mobilenetv20_features_linearbottleneck1_conv0_fwd,Conv,CONV_FWD_08147030810746446194<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.484881,1233125376
mobilenetv20_features_linearbottleneck1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17657664594746491814<CUDNN_BATCHNORM_SPATIAL>,0.557264,77070336
mobilenetv20_features_linearbottleneck1_relu0_fwd,Relu,ACTIVATION_FWD712568233530289742<CUDNN_ACTIVATION_RELU>,0.726225,115605504
mobilenetv20_features_linearbottleneck1_conv1_fwd,Conv,CONV_FWD_311045347037554361850<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.346066,173408256
mobilenetv20_features_linearbottleneck1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3190420259186269580<CUDNN_BATCHNORM_PER_ACTIV...,0.269951,19267584
mobilenetv20_features_linearbottleneck1_relu1_fwd,Relu,ACTIVATION_FWD3862049848633565934<CUDNN_ACTIVATION_RELU>,0.148674,28901376
mobilenetv20_features_linearbottleneck1_conv2_fwd,Conv,CONV_FWD_09504351052689103731<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.113872,462422016
mobilenetv20_features_linearbottleneck1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE142413323718628476<CUDNN_BATCHNORM_SPATIAL>,0.040496,4816896
mobilenetv20_features_linearbottleneck2_conv0_fwd,Conv,CONV_FWD_010979642685138618209<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.217179,693633024
mobilenetv20_features_linearbottleneck2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE16632842221963432378<CUDNN_BATCHNORM_SPATIAL>,0.210638,28901376
mobilenetv20_features_linearbottleneck2_relu0_fwd,Relu,ACTIVATION_FWD1890549277506698322<CUDNN_ACTIVATION_RELU>,0.235693,43352064
mobilenetv20_features_linearbottleneck2_conv1_fwd,Conv,CONV_FWD_018075665713163381248<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.230696,260112384
mobilenetv20_features_linearbottleneck2_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE16632842221963432378<CUDNN_BATCHNORM_SPATIAL>,0.210638,28901376
mobilenetv20_features_linearbottleneck2_relu1_fwd,Relu,ACTIVATION_FWD1890549277506698322<CUDNN_ACTIVATION_RELU>,0.235693,43352064
mobilenetv20_features_linearbottleneck2_conv2_fwd,Conv,CONV_FWD_114364373799160656355<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.153019,693633024
mobilenetv20_features_linearbottleneck2_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE142413323718628476<CUDNN_BATCHNORM_SPATIAL>,0.040496,4816896
mobilenetv20_features_linearbottleneck2_elemwise_add0,ElementWise,OP_TENSOR_ADD_FWD16632694804761691899,0.056844,2408448
mobilenetv20_features_linearbottleneck3_conv0_fwd,Conv,CONV_FWD_010979642685138618209<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.217179,693633024
mobilenetv20_features_linearbottleneck3_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE16632842221963432378<CUDNN_BATCHNORM_SPATIAL>,0.210638,28901376
mobilenetv20_features_linearbottleneck3_relu0_fwd,Relu,ACTIVATION_FWD1890549277506698322<CUDNN_ACTIVATION_RELU>,0.235693,43352064
mobilenetv20_features_linearbottleneck3_conv1_fwd,Conv,CONV_FWD_17264265908817402134<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.136855,65028096
mobilenetv20_features_linearbottleneck3_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE11619055101149974518<CUDNN_BATCHNORM_SPATIAL>,0.057250,7225344
