LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv24_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE5624448442634879897<CUDNN_BATCHNORM_SPATIAL>,0.087696,9633792
resnetv24_conv0_fwd,Conv,CONV_FWD_28146439798628403890<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.732662,7552892928
resnetv24_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE18011774273158110142<CUDNN_BATCHNORM_PER_ACTI...,0.819495,51380224
resnetv24_relu0_fwd,Relu,ACTIVATION_FWD16152383226638083292<CUDNN_ACTIVATION_RELU>,0.364784,77070336
resnetv24_pool0_fwd,Pooling,POOLING_FWD4356297312077627222<CUDNN_POOLING_MAX>,0.284632,57802752
resnetv24_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10689600499606618310<CUDNN_BATCHNORM_PER_ACTI...,0.207726,12845056
resnetv24_stage1_activation0,Relu,ACTIVATION_FWD10198243811751264164<CUDNN_ACTIVATION_RELU>,0.095030,19267584
resnetv24_stage1_conv0_fwd,Conv,CONV_FWD_21272323084573329294<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.113964,822083584
resnetv24_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10689600499606618310<CUDNN_BATCHNORM_PER_ACTI...,0.207726,12845056
resnetv24_stage1_activation1,Relu,ACTIVATION_FWD10198243811751264164<CUDNN_ACTIVATION_RELU>,0.095030,19267584
resnetv24_stage1_conv1_fwd,Conv,CONV_FWD_217142552110294619374<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.424926,7398752256
resnetv24_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE10689600499606618310<CUDNN_BATCHNORM_PER_ACTI...,0.207726,12845056
resnetv24_stage1_activation2,Relu,ACTIVATION_FWD10198243811751264164<CUDNN_ACTIVATION_RELU>,0.095030,19267584
resnetv24_stage1_conv2_fwd,Conv,CONV_FWD_2278881264566930411<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRE...,0.387935,3288334336
